#{"t_start": 1752541602.0928226, "env_id": "None"}
r,l,t
-53.0,54,0.09124
-38.276824,45,0.163348
-0.495372,6,0.171884
-17.0,17,0.187281
-8.0,9,0.194568
-3.384413,11,0.204581
0.422838,6,0.211653
-12.161307,17,0.228121
-0.827659,6,0.233113
-0.048084,6,0.239917
-0.549899,6,0.24558
-56.498185,57,0.33076
-71.0,72,0.398543
-0.549899,6,0.405316
-1.738043,6,0.41048
-0.549899,6,0.416796
-57.498185,58,0.478855
-5.09157,6,0.504815
-24.611553,26,0.550608
-97.174798,100,0.653839
-5.09157,6,0.66093
-100.0,100,0.750959
-6.027262,7,0.758541
-99.524828,100,0.848701
-56.0,57,0.908689
-53.611553,55,0.95843
-76.0,76,1.024814
-88.0,89,1.102313
-98.525447,100,1.187652
-32.0,32,1.214449
-97.174798,100,1.30647
-23.174798,26,1.331105
-42.0,42,1.36933
-70.498185,71,1.431439
-46.498185,47,1.473334
-100.0,100,1.569215
-12.498185,13,1.581892
-100.0,100,1.666608
-5.215596,6,1.671896
-98.611553,100,1.756625
-57.497637,59,1.807488
-98.0,99,1.891937
-8.497637,10,1.900678
-32.497637,34,1.931144
-2.597283,10,1.939637
-100.0,100,2.026881
-2.695745,6,2.034796
-1.431193,6,2.045096
-34.0,34,2.195258
-17.0,17,2.209293
-9.524828,10,2.217928
-74.18314,77,2.287626
-99.593385,100,2.374561
-98.740382,100,2.458668
-99.498185,100,2.546109
-2.859214,6,2.550707
-97.617017,100,2.636864
-15.0,15,2.651493
-98.525447,100,2.74006
-7.174798,10,2.747909
-44.524828,45,2.788811
-98.497637,100,2.87374
-84.0,84,2.944713
-24.498185,25,2.966089
-5.524828,7,2.972986
-10.0,10,2.9805
-27.0,27,3.004652
-51.525447,53,3.048581
-98.611553,100,3.135441
-25.525447,27,3.159602
-8.498185,9,3.167649
-56.498185,57,3.216417
-97.174798,100,3.305707
-99.524828,100,3.390488
-99.498185,100,3.477856
-21.0,21,3.496958
-45.498185,46,3.536429
-97.174798,100,3.624515
-2.431193,7,3.632571
-72.525447,74,3.695179
-41.0,42,3.732026
-87.001947,92,3.813594
-17.498185,18,3.829219
-9.0,9,3.838504
-98.497637,100,3.927222
-13.0,13,3.937651
-20.0,21,3.958501
-66.525447,68,4.01618
-72.498185,73,4.081714
-8.247687,10,4.091779
-24.174798,27,4.116534
-9.247687,11,4.124924
-99.0,99,4.213853
-53.174798,56,4.263785
-41.174798,44,4.303575
-50.525447,52,4.347685
-30.498185,31,4.374028
-100.0,100,4.463101
-25.0,26,4.486959
-99.498185,100,4.575644
-99.498185,100,4.664909
-97.174798,100,4.770961
-99.498185,100,4.807802
-99.524828,100,4.84515
-98.611553,100,4.882587
-100.0,100,4.918758
-57.0,57,4.975823
-16.0,16,4.990823
-14.0,14,5.0016
-10.0,10,5.011371
-5.09157,6,5.015965
-12.498185,13,5.027637
-100.0,100,5.113068
-64.498185,65,5.17049
-83.0,84,5.243164
-29.174798,32,5.272295
-2.431193,7,5.284425
-18.498185,19,5.330969
-98.611553,100,5.429465
-20.238566,22,5.452053
-3.440306,6,5.456973
-40.0,40,5.491032
-99.498185,100,5.576728
-97.174798,100,5.663454
-78.0,79,5.77174
-19.497637,21,5.791021
-99.524828,100,5.876281
-98.525447,100,6.018829
-97.611553,99,6.106795
-95.525447,97,6.1903
-98.247687,100,6.274238
0.531819,6,6.283003
-24.0,24,6.30347
-98.525447,100,6.389372
-100.0,100,6.482762
-80.611553,82,6.555723
-3.210402,6,6.562357
-6.611553,8,6.56903
-0.349596,6,6.57392
-3.210402,6,6.582759
-5.027262,6,6.587057
-43.0,43,6.648452
-44.215596,47,6.689402
-3.681325,6,6.695977
-20.961149,28,6.722495
-36.242197,37,6.753253
-22.498185,23,6.772821
-1.431193,6,6.78166
-28.0,28,6.810677
-2.431193,7,6.815835
-29.611553,31,6.844511
-100.0,100,6.931182
-0.349596,6,6.937257
-13.215596,16,6.951271
-41.174798,44,6.987866
-1.001947,6,6.994349
-100.0,100,7.079873
-29.611553,31,7.107754
-1.431193,6,7.112859
-1.001947,6,7.123302
-100.0,100,7.208221
-96.772514,100,7.296579
-3.215596,6,7.300978
