#{"t_start": 1752541540.0520082, "env_id": "None"}
r,l,t
1.137273,6,0.031578
15.894267,16,0.229609
19.988328,5,0.233967
-1.615904,5,0.23937
-100.0,100,0.37064
-88.0,88,0.447828
23.752763,5,0.453648
-6.540847,35,0.482962
-97.717808,100,0.615751
-89.0,89,0.723184
-98.634557,100,0.804974
76.999796,5,0.810152
-15.0,15,0.823338
28.591162,5,0.827838
16.791476,5,0.831957
-1.094468,5,0.836929
-89.115425,100,0.918587
-18.0,18,0.934522
-88.202013,100,1.028408
36.96991,5,1.055036
3.396196,5,1.059843
-99.0,100,1.144124
-49.0,49,1.187163
-15.0,15,1.199765
-100.0,100,1.282178
62.554367,5,1.2883
-54.0,54,1.336366
14.345469,5,1.341602
26.633794,5,1.350961
-98.826938,100,1.433914
-98.913354,100,1.520595
4.493361,8,1.52887
0.937982,5,1.533187
13.709911,5,1.536974
-59.0,59,1.591603
-38.376288,76,1.655082
16.257408,5,1.659353
40.889775,5,1.663918
-100.0,100,1.756436
7.00022,5,1.763566
-98.540435,100,1.846588
12.116009,6,1.851439
15.384504,5,1.855826
-1.391273,5,1.86261
3.861434,6,1.867362
-52.634557,55,1.914887
-55.365204,100,2.003542
-45.0,45,2.041618
-99.0,100,2.126873
20.43775,5,2.131184
-2.869271,5,2.13764
-2.894193,5,2.142755
35.939372,5,2.146702
2.9896,5,2.150542
14.061926,5,2.15673
36.449701,5,2.161803
25.254498,16,2.174931
-9.068783,14,2.186197
-52.812984,58,2.237368
-92.716293,100,2.324972
-100.0,100,2.410263
-30.0,30,2.434321
-98.540435,100,2.516786
-100.0,100,2.60666
15.018701,5,2.612371
-3.568105,5,2.616294
41.467851,5,2.620554
-27.993031,34,2.653197
-73.399032,78,2.716881
5.56114,5,2.720945
3.101448,5,2.726812
4.956579,5,2.731638
13.912222,5,2.736073
-48.0,48,2.776454
-100.0,100,2.860157
0.77048,5,2.865186
0.68781,5,2.871308
-99.0,100,2.959374
-24.0,24,2.979019
2.692693,5,2.984152
2.512898,5,2.988945
76.375887,5,2.993258
-100.0,100,3.073918
-77.0,77,3.141584
-87.0,87,3.213937
9.011424,5,3.219774
6.8062,6,3.22422
39.289467,5,3.229082
