#{"t_start": 1752541272.566777, "env_id": "None"}
r,l,t
23.341046,3,0.015273
-42.0,42,0.107641
-99.0,100,0.193154
-100.0,100,0.31363
-62.639555,77,0.383673
-8.0,8,0.390418
-10.763216,41,0.424331
-100.0,100,0.545858
-94.0,94,0.625488
-100.0,100,0.709203
-22.658954,49,0.749615
22.341046,4,0.754357
-100.0,100,0.841271
-66.0,66,0.89716
10.835921,3,0.900475
-0.639555,14,0.914618
-100.0,100,0.998881
-79.0,79,1.067993
-16.639555,30,1.095204
-100.0,100,1.179745
-8.530995,24,1.200307
-40.639555,55,1.250125
20.236784,10,1.257612
-50.0,50,1.30594
-100.0,100,1.391318
-16.639555,31,1.416247
62.009383,3,1.419649
2.341046,24,1.440846
-100.0,100,1.522031
49.998319,3,1.52539
-100.0,100,1.626476
-31.0,31,1.652488
-100.0,100,1.733739
-39.0,39,1.763704
10.360445,4,1.7675
-15.639555,29,1.793495
-20.0,20,1.810065
-33.763216,65,1.863122
-45.763216,76,1.926857
3.341046,23,1.947766
-10.0,10,1.95532
-15.0,15,1.967835
-0.658954,27,1.990548
-12.763216,43,2.025487
-20.0,20,2.042713
62.009383,3,2.046071
-22.0,22,2.067728
62.009383,3,2.070269
-100.0,100,2.157713
-20.0,21,2.176189
-74.658954,100,2.260756
22.341046,4,2.265451
-100.0,100,2.348449
4.341046,21,2.365201
1.341046,25,2.38529
69.665959,3,2.391268
23.341046,3,2.394627
-8.0,8,2.400772
61.039507,3,2.40233
-100.0,100,2.487699
-100.0,100,2.569545
62.009383,3,2.572875
62.009383,3,2.576193
12.236784,19,2.593181
-5.763216,36,2.622774
39.256908,3,2.624089
69.665959,3,2.627343
11.360445,3,2.631502
22.828525,3,2.634673
23.341046,3,2.63637
8.341046,17,2.652004
-44.0,44,2.688048
69.215057,3,2.689691
39.256908,3,2.692701
23.341046,3,2.696033
69.665959,3,2.700113
-26.0,26,2.72053
-100.0,100,2.803663
23.341046,3,2.8088
-26.0,26,2.830311
-100.0,100,2.914373
22.341046,4,2.918195
-22.639555,36,2.948904
-5.639555,19,2.966158
-0.658954,26,2.988937
11.360445,3,2.990626
-48.0,48,3.029744
69.215057,3,3.03384
-66.0,66,3.090779
-60.0,60,3.141826
23.341046,3,3.143575
11.360445,3,3.147872
62.009383,3,3.15111
11.360445,3,3.154496
23.341046,3,3.156186
-100.0,100,3.238975
-100.0,100,3.321955
11.360445,3,3.325648
