#{"t_start": 1752541938.6158662, "env_id": "None"}
r,l,t
-100.0,100,0.211018
30.172284,3,0.214785
30.846448,3,0.219471
9.178672,3,0.223412
9.178672,3,0.225199
9.178672,3,0.229037
-89.422741,100,0.322005
19.242513,3,0.325711
8.149737,3,0.329166
-80.392272,93,0.413801
-100.0,100,0.498504
7.965061,26,0.54908
19.242513,3,0.552431
26.679203,10,0.562118
26.620539,3,0.564238
-63.0,64,0.617608
-1.850263,13,0.63233
-43.422741,55,0.681355
-48.0,49,0.725746
11.16,3,0.727084
-10.0,10,0.750614
-78.342875,100,0.843968
9.178672,3,0.848535
30.965061,3,0.850134
31.710328,3,0.853567
-10.392272,23,0.874312
-100.0,100,0.964147
-97.0,97,1.045934
8.607728,4,1.04995
33.656911,3,1.053435
8.607728,4,1.058463
32.656911,4,1.06209
19.20785,3,1.065245
9.178672,3,1.067044
-100.0,100,1.154335
42.292113,4,1.158239
-100.0,100,1.24459
-100.0,100,1.344828
-2.634557,3,1.349184
-7.0,8,1.35621
26.620539,3,1.359608
-2.634557,3,1.3629
26.620539,3,1.3653
-100.0,100,1.450279
-40.0,41,1.48662
-53.0,53,1.530659
-100.0,100,1.615343
9.178672,3,1.618864
-15.0,16,1.632441
-100.0,100,1.717099
26.620539,3,1.719653
-14.0,14,1.732484
9.178672,3,1.736194
-100.0,100,1.901086
-78.342875,100,1.98735
-77.79215,100,2.074
-78.342875,100,2.161826
7.577259,4,2.165689
41.230397,3,2.167862
9.178672,3,2.171376
7.577259,4,2.175025
24.011291,4,2.17874
7.577259,4,2.183267
-78.342875,100,2.267086
-25.241298,48,2.30922
-2.0,3,2.312602
43.292113,3,2.316552
-100.0,100,2.398702
30.965061,3,2.400357
33.656911,3,2.40368
6.577259,5,2.408473
9.178672,3,2.411914
6.577259,5,2.415855
-100.0,100,2.499316
-2.0,3,2.503577
7.928118,3,2.510911
7.928118,3,2.514248
-63.392272,76,2.580398
-85.993645,100,2.665973
-83.0,83,2.733377
-26.392272,39,2.779461
-2.0,3,2.782994
31.612313,3,2.787198
7.928118,3,2.788669
7.577259,4,2.792551
-39.0,40,2.831644
27.565015,3,2.835796
6.577259,5,2.839802
24.011291,4,2.843524
42.292113,4,2.847256
33.656911,3,2.851051
-54.0,54,2.897389
7.928118,3,2.898699
5.092776,6,2.904436
33.679203,3,2.908545
-33.0,33,2.934926
8.178672,4,2.938578
-99.0,100,3.0237
34.927749,3,3.027978
31.34121,3,3.02931
-100.0,100,3.113569
-95.0,95,3.19351
