#{"t_start": 1752541383.798371, "env_id": "None"}
r,l,t
-1.48826,3,0.011273
-100.0,100,0.133406
-83.0,83,0.207062
17.571592,3,0.210637
-100.0,100,0.295548
-49.0,50,0.340949
-78.0,78,0.409861
17.571592,3,0.412081
-100.0,100,0.497469
17.571592,3,0.501723
-100.0,100,0.604679
-2.0,3,0.607712
7.505171,3,0.610895
-100.0,100,0.696929
-100.0,100,0.845136
7.505171,3,0.846739
-2.0,3,0.85021
-100.0,100,0.940196
-83.0,83,1.016104
-40.0,40,1.062521
7.505171,3,1.065775
7.505171,3,1.069427
17.571592,3,1.072773
-2.0,3,1.076027
17.571592,3,1.079259
7.505171,3,1.082679
6.505171,4,1.08604
-11.0,11,1.095758
7.505171,3,1.099005
7.505171,3,1.104156
6.505171,4,1.107568
17.571592,3,1.109168
7.505171,3,1.112559
7.505171,3,1.117918
-100.0,100,1.199736
-3.0,4,1.203293
17.571592,3,1.206545
17.571592,3,1.210248
17.571592,3,1.213654
-100.0,100,1.300579
17.571592,3,1.303877
-24.0,24,1.325991
17.571592,3,1.329397
-2.0,3,1.330961
-34.0,34,1.360901
6.505171,4,1.366307
-8.0,8,1.372883
17.571592,3,1.376337
17.571592,3,1.37791
17.571592,3,1.383508
7.505171,3,1.386727
-76.0,76,1.449527
7.505171,3,1.452847
17.571592,3,1.456323
-18.0,18,1.47215
17.571592,3,1.475646
7.066421,3,1.477112
17.571592,3,1.482971
-67.0,67,1.539328
7.066421,3,1.5425
-2.0,3,1.544146
-100.0,100,1.629246
-2.0,3,1.632622
-2.0,3,1.635958
17.571592,3,1.639501
-100.0,100,1.72695
17.571592,3,1.728655
17.571592,3,1.731953
17.571592,3,1.735348
-100.0,100,1.824132
17.571592,3,1.827542
-43.0,43,1.86138
17.571592,3,1.865084
17.571592,3,1.870621
-2.0,3,1.873986
-100.0,100,1.958151
6.505171,4,1.961906
7.505171,3,1.965602
7.505171,3,1.968927
17.571592,3,1.972377
17.571592,3,1.985759
-2.0,3,1.989489
17.571592,3,1.993213
17.571592,3,1.997299
-3.0,4,2.000884
-100.0,100,2.099663
-70.0,70,2.159093
-2.0,3,2.162698
-2.0,3,2.166244
17.571592,3,2.171708
17.571592,3,2.17334
17.571592,3,2.176777
-2.0,3,2.180165
-100.0,100,2.265646
-100.0,100,2.350118
-36.494829,47,2.390953
-2.0,3,2.392677
17.571592,3,2.398194
7.505171,3,2.40153
17.571592,3,2.405043
-100.0,100,2.488659
17.571592,3,2.492697
17.571592,3,2.496341
-2.0,3,2.500212
17.571592,3,2.503741
17.571592,3,2.507521
17.571592,3,2.511033
-2.0,3,2.51451
7.505171,3,2.517958
-61.0,61,2.573489
-2.0,3,2.577739
-43.0,43,2.615378
-2.0,3,2.618833
-79.0,79,2.69785
17.571592,3,2.702295
-100.0,100,2.787721
-100.0,100,2.870975
-100.0,100,2.954651
-3.0,4,2.958465
-100.0,100,3.042618
17.571592,3,3.044336
7.505171,3,3.049913
17.571592,3,3.053196
7.505171,3,3.056379
-2.0,3,3.058006
17.571592,3,3.063325
17.571592,3,3.066686
17.571592,3,3.070112
-14.0,14,3.082191
-100.0,100,3.166435
-100.0,100,3.253355
-9.0,10,3.262929
-82.0,82,3.330217
17.571592,3,3.335994
-99.0,100,3.419335
-14.494829,25,3.439678
-1.48826,3,3.443106
-53.0,53,3.489644
17.571592,3,3.49315
7.505171,3,3.49651
-100.0,100,3.582043
-24.0,24,3.604748
7.505171,3,3.606247
-100.0,100,3.689813
-100.0,100,3.777406
-17.494829,28,3.802808
-46.494829,57,3.852287
-2.0,3,3.853966
-6.494829,17,3.870261
7.505171,3,3.873993
-2.0,3,3.877629
-22.0,22,3.896596
17.571592,3,3.898224
17.571592,3,3.903477
7.505171,3,3.908823
-100.0,100,3.99172
-20.494829,31,4.018089
-100.0,100,4.108262
17.571592,3,4.109909
-21.0,21,4.130216
17.571592,3,4.131793
-1.48826,3,4.137472
-1.48826,3,4.140875
17.571592,3,4.144122
17.571592,3,4.145728
17.571592,3,4.150936
17.571592,3,4.154222
17.571592,3,4.157581
17.571592,3,4.159137
17.571592,3,4.165382
17.571592,3,4.169393
17.571592,3,4.173055
-1.48826,3,4.174739
17.571592,3,4.179929
-2.0,3,4.183242
17.571592,3,4.186549
-1.48826,3,4.188224
-1.48826,3,4.193503
-1.48826,3,4.196967
-1.48826,3,4.200414
17.571592,3,4.202255
17.571592,3,4.207672
17.571592,3,4.210995
7.505171,3,4.214335
17.571592,3,4.215977
17.571592,3,4.221371
-2.0,3,4.224789
4.571592,16,4.238382
-1.48826,3,4.241845
-77.494829,88,4.319331
-100.0,100,4.402618
17.571592,3,4.404314
-17.0,18,4.419653
17.571592,3,4.425569
-75.0,76,4.489419
-100.0,100,4.574412
-100.0,100,4.613265
-100.0,100,4.649831
17.571592,3,4.651441
17.571592,3,4.653027
-100.0,100,4.689665
-16.0,17,4.714033
17.571592,3,4.716623
-2.0,3,4.719945
-2.0,3,4.72335
-2.0,3,4.726769
-100.0,100,4.812528
-39.0,40,4.846328
-100.0,100,4.953806
7.066421,3,4.955154
-34.0,34,4.986619
17.571592,3,4.989981
17.571592,3,4.991539
17.571592,3,4.994821
-35.0,35,5.025038
17.571592,3,5.028313
-67.0,68,5.085886
-2.0,3,5.087488
7.066421,4,5.092796
17.571592,3,5.096162
17.571592,3,5.099428
7.505171,3,5.102639
-28.0,28,5.12903
-100.0,100,5.209677
17.571592,3,5.211085
7.066421,3,5.214086
16.571592,4,5.219083
-46.0,46,5.259374
-100.0,100,5.339984
-0.494829,11,5.349438
-34.494829,45,5.388434
-2.0,3,5.390048
17.571592,3,5.39329
-57.0,57,5.439875
17.571592,3,5.44478
17.571592,3,5.448041
-100.0,100,5.529532
17.571592,3,5.532842
17.571592,3,5.535836
-78.0,78,5.599801
-90.0,91,5.673801
17.571592,3,5.675392
7.505171,3,5.680088
-100.0,100,5.805995
-100.0,100,5.89568
-100.0,100,5.977387
17.571592,3,6.009432
17.571592,3,6.012916
17.571592,3,6.014481
16.571592,4,6.017997
-81.0,81,6.088216
-21.494829,32,6.115411
-100.0,100,6.199103
-1.48826,3,6.200685
-89.494829,100,6.284309
-45.494829,56,6.332596
7.066421,3,6.335634
7.066421,3,6.338665
-100.0,100,6.435774
-89.494829,100,6.520841
-100.0,100,6.602095
-100.0,100,6.686508
17.571592,3,6.690804
-10.494829,21,6.707604
17.571592,3,6.710914
-64.0,64,6.763947
17.571592,3,6.76654
-87.0,88,6.845455
17.571592,3,6.849015
-100.0,100,6.934031
-100.0,100,7.025641
-2.0,3,7.029037
-2.0,3,7.032302
-100.0,100,7.113134
-99.0,100,7.196626
-100.0,100,7.278691
-16.494829,27,7.299725
17.571592,3,7.303034
-1.48826,3,7.30706
-10.0,11,7.316862
7.066421,3,7.318212
-99.0,99,7.400262
17.571592,3,7.404586
-100.0,100,7.489122
17.571592,3,7.492527
-1.48826,3,7.493962
1.505171,9,7.503803
-100.0,100,7.586519
17.571592,3,7.588221
7.066421,3,7.591234
-100.0,100,7.676396
-80.0,80,7.742996
-68.0,69,7.799032
-100.0,100,7.880336
17.571592,3,7.884606
7.505171,3,7.887789
17.571592,3,7.891065
7.505171,3,7.892585
17.571592,3,7.896543
17.571592,3,7.899796
17.571592,3,7.903154
17.571592,3,7.90476
6.505171,4,7.909019
8.571592,12,7.918777
-48.0,48,7.957948
17.571592,3,7.961244
17.571592,3,7.965366
-100.0,100,8.048709
-99.0,100,8.130363
17.571592,3,8.133747
-83.0,84,8.203701
-100.0,100,8.28754
-89.494829,100,8.370297
17.571592,3,8.371981
-99.0,100,8.456816
-57.0,57,8.506774
17.571592,3,8.50848
-58.494829,69,8.566747
-100.0,100,8.650742
-97.0,98,8.730422
8.066421,3,8.734268
-12.0,12,8.744864
-5.0,6,8.75
-20.0,21,8.76907
-48.0,48,8.808715
17.571592,3,8.810342
-75.494829,86,8.883422
-17.0,17,8.897119
-42.0,43,8.93265
-74.0,74,8.992003
-100.0,100,9.068311
17.571592,3,9.069893
-89.494829,100,9.105927
-99.0,100,9.141529
-100.0,100,9.176957
-16.0,16,9.192689
-89.494829,100,9.275462
-17.0,17,9.291121
-7.0,8,9.298177
3.505171,7,9.303651
-1.48826,3,9.308585
-31.494829,42,9.344697
-1.48826,3,9.346448
17.571592,3,9.350704
-2.0,3,9.354327
7.505171,3,9.357637
17.571592,3,9.359221
7.505171,3,9.363223
17.571592,3,9.366637
17.571592,3,9.369935
-1.48826,3,9.371575
-2.48826,4,9.375836
-1.48826,3,9.379252
-89.0,90,9.454467
-74.48826,76,9.519825
-63.494829,74,9.580605
17.571592,3,9.583911
17.571592,3,9.587331
-99.0,100,9.671421
1.505171,9,9.679301
-1.48826,3,9.682793
-1.48826,3,9.684625
-1.48826,3,9.687957
-1.48826,3,9.692213
-1.48826,3,9.696072
-1.48826,3,9.697746
-1.48826,3,9.701147
-1.48826,3,9.70527
-11.494829,22,9.722641
-2.0,3,9.725975
7.505171,3,9.729243
-3.48826,5,9.733826
17.571592,3,9.737208
-1.48826,3,9.740833
7.505171,3,9.742345
-1.48826,3,9.746547
17.571592,3,9.749911
-79.428408,100,9.833547
-1.48826,3,9.837125
17.571592,3,9.839535
-52.0,53,9.886519
-1.48826,3,9.888247
-1.48826,3,9.891599
-1.48826,3,9.895815
17.571592,3,9.899079
17.571592,3,9.900697
17.571592,3,9.903954
-1.48826,3,9.908042
17.571592,3,9.911294
-2.48826,4,9.914989
-99.0,100,9.997471
-1.48826,3,10.000084
-1.48826,3,10.003455
-1.48826,3,10.006959
-23.0,23,10.026219
-2.48826,4,10.030396
-1.48826,3,10.032089
17.571592,3,10.035366
-47.0,48,10.074335
17.571592,3,10.078538
-1.48826,3,10.081895
-1.48826,3,10.083539
-11.0,12,10.093503
-98.48826,100,10.174959
-79.428408,100,10.261042
17.571592,3,10.264408
-1.48826,3,10.267746
17.571592,3,10.271993
-1.48826,3,10.27365
-1.48826,3,10.277164
-1.48826,3,10.280559
-1.48826,3,10.284623
-100.0,100,10.366745
-1.48826,3,10.368493
-51.0,52,10.412387
-44.0,44,10.449217
-38.0,38,10.481495
-100.0,100,10.562926
-1.48826,3,10.566383
-100.0,100,10.649277
17.571592,3,10.650928
-100.0,100,10.735606
-99.0,100,10.81676
-99.0,100,10.899669
17.571592,3,10.903054
-19.0,19,10.919313
7.571592,13,10.929364
-2.48826,4,10.933894
-79.0,79,10.999945
-1.48826,3,11.003219
-70.0,70,11.060462
-99.0,100,11.144736
17.571592,3,11.148084
-70.0,71,11.209225
-1.48826,3,11.210932
-1.48826,3,11.215211
17.571592,3,11.218505
-1.48826,3,11.221869
-1.48826,3,11.22329
-100.0,100,11.306458
17.571592,3,11.309832
