#{"t_start": 1752541765.1533577, "env_id": "None"}
r,l,t
-21.768416,38,0.078619
-53.0,54,0.168326
-61.446094,70,0.232177
-11.177367,15,0.251226
12.546253,4,0.255224
10.971885,4,0.259415
-54.0,54,0.309329
-79.0,79,0.377022
50.96119,4,0.381024
-100.0,100,0.46857
0.779014,4,0.473489
0.779014,4,0.477478
81.992238,4,0.481175
0.853876,4,0.485162
-45.0,45,0.567071
-100.0,100,0.693514
20.006514,29,0.718304
29.874638,4,0.722173
-4.325415,5,0.730936
-16.182085,38,0.762134
29.874638,4,0.765663
-85.517046,100,0.852791
31.993186,4,0.858555
-47.0,47,0.900005
15.753261,4,0.903978
4.553906,4,0.908144
-100.0,100,0.994737
-6.0,6,0.999012
-21.0,21,1.070883
-27.0,27,1.093343
-12.0,12,1.10668
17.80766,4,1.112002
-100.0,100,1.198838
-100.0,100,1.286665
-38.0,38,1.324339
-0.146124,5,1.330729
-19.892876,54,1.379104
-23.0,24,1.399833
25.189612,4,1.406406
-100.0,100,1.494223
22.49683,4,1.497947
-44.0,44,1.536014
-100.0,100,1.646248
-46.912843,88,1.723679
-50.399207,100,1.810622
-6.004003,8,1.818049
-71.871706,73,1.884711
-27.0,27,1.908586
-87.641872,100,2.000968
-15.0,15,2.013271
-29.496273,45,2.057586
-47.311486,59,2.107753
69.73524,4,2.111799
-13.043802,25,2.140542
21.414566,5,2.149162
-13.0,13,2.160172
3.269793,4,2.164448
-40.0,40,2.199612
-12.24651,30,2.238183
-50.88194,60,2.292584
17.817915,4,2.296385
19.0393,4,2.30033
-100.0,100,2.387945
9.043564,4,2.39174
-23.0,23,2.410175
17.624692,4,2.414356
55.893019,4,2.421461
25.189612,4,2.425484
-0.327098,4,2.429836
-26.0,26,2.453012
-23.541976,25,2.476406
19.874638,14,2.490958
-99.0,100,2.575527
-99.0,100,2.661111
-74.0,74,2.725489
21.062855,13,2.736124
-100.0,100,2.82219
-8.511998,60,2.87511
-100.0,100,2.964845
35.528971,4,2.968903
27.017747,4,2.97283
3.269793,4,2.97666
-11.045734,13,2.992768
-28.0,28,3.017311
-13.118746,24,3.038122
28.35086,4,3.041762
49.186831,4,3.048653
41.563152,4,3.052668
-13.809984,18,3.066806
17.624692,4,3.070757
-24.117749,38,3.108528
-96.0,96,3.189058
-99.0,100,3.274403
-15.0,15,3.285786
-100.0,100,3.373097
-100.0,100,3.458936
13.926257,4,3.462671
-29.177367,33,3.492133
23.170947,4,3.499085
6.881254,4,3.502646
-100.0,100,3.603146
86.704036,4,3.607615
-2.623225,4,3.614506
-15.452951,30,3.641495
-52.0,52,3.685616
6.962378,5,3.689993
-68.0,68,3.750878
72.739217,5,3.756915
-4.177367,8,3.764161
59.128345,4,3.767792
-100.0,100,3.85531
-4.576906,23,3.873531
48.764663,5,3.879778
74.154204,4,3.883649
-10.799027,24,3.907217
1.900483,4,3.911084
28.579221,4,3.914903
1.900483,4,3.91871
-11.0,12,3.931663
-100.0,100,4.01757
27.017747,4,4.022037
-25.0,25,4.043033
-4.0,4,4.050669
4.553906,4,4.054652
-14.0,14,4.065339
-100.0,100,4.148924
33.074383,4,4.155782
86.704036,4,4.159659
-100.0,100,4.243942
-100.0,100,4.328582
-0.360267,4,4.335034
45.86827,4,4.338882
-97.336373,100,4.423457
8.41438,9,4.432875
-1.049737,4,4.439793
-46.0,46,4.477868
-100.0,100,4.562759
-100.0,100,4.648921
-100.0,100,4.759569
-100.0,100,4.79538
