#{"t_start": 1752542741.0008872, "env_id": "None"}
r,l,t
-6.0,6,0.06095
-100.0,100,0.201514
1.83188,5,0.206034
24.072852,6,0.213925
6.854188,5,0.217968
-100.0,100,0.324921
-16.597228,19,0.344632
-3.051622,8,0.353395
-100.0,100,0.439971
-16.0,16,0.453868
-100.0,100,0.589083
17.888926,5,0.594297
-42.0,42,0.660998
-25.0,25,0.685036
1.454066,5,0.689053
53.757027,5,0.694296
22.919748,5,0.69865
-6.0,6,0.704855
-100.0,100,0.795397
22.961444,5,0.800663
0.151129,5,0.804625
-57.0,57,0.860196
-16.0,16,0.873322
52.454524,5,0.878579
-99.095511,100,0.963088
76.494625,5,0.967462
-65.221092,66,1.070781
-99.0,100,1.158426
16.605273,5,1.162623
1.175012,5,1.167049
25.163519,16,1.181368
25.999835,5,1.190007
6.924747,5,1.204591
-65.795274,82,1.282844
-16.336376,22,1.30463
10.002134,5,1.310101
0.366362,5,1.315324
-76.0,76,1.380528
-36.708914,44,1.417662
11.722967,5,1.423064
-55.0,55,1.471794
19.990579,5,1.476229
-83.821013,100,1.565723
-57.0,57,1.616204
-99.0,100,1.703093
71.710642,5,1.707608
41.002974,5,1.71209
44.631731,5,1.71733
16.841543,5,1.72307
-100.0,100,1.809006
-96.79933,100,1.895722
53.251515,5,1.900863
23.855344,51,1.945007
-99.0,100,2.032169
-50.0,51,2.073556
4.221069,5,2.080834
-99.0,100,2.167995
-19.0,19,2.183327
-19.70564,25,2.211107
-93.0,93,2.295721
-100.0,100,2.381743
76.32949,5,2.386165
-67.0,67,2.442497
-26.07082,78,2.509011
-99.0,100,2.605172
-37.557361,45,2.64579
40.492499,5,2.650193
72.385346,5,2.656051
-100.0,100,2.741695
41.002974,5,2.746155
3.881938,5,2.752235
2.921675,5,2.75746
72.364043,5,2.761902
8.724907,5,2.766218
35.033472,5,2.772271
-1.808327,5,2.777263
58.089542,5,2.781304
-98.77533,100,2.868034
-96.756984,100,2.957427
-1.97595,5,2.963523
6.185218,5,2.9699
70.855548,5,2.974247
-23.0,23,2.994453
45.669557,5,2.99997
-1.628993,5,3.004321
-45.0,45,3.042997
2.727411,5,3.049862
68.04686,5,3.055092
-24.0,24,3.075667
-99.0,100,3.161688
-76.0,76,3.227471
-100.0,100,3.314678
-27.0,27,3.338362
73.470001,5,3.342824
-62.0,62,3.400295
-14.0,14,3.41525
-2.423199,5,3.419673
-56.0,56,3.470231
-20.445618,25,3.490744
76.52495,5,3.497766
-100.0,100,3.583501
-39.633284,44,3.62385
43.724951,5,3.628307
-84.412908,100,3.714958
-59.0,59,3.765542
7.25997,5,3.770136
-99.0,99,3.855823
-89.0,89,3.930923
-0.051622,5,3.93531
-1.628993,5,3.939659
76.433254,5,3.945846
24.945447,5,3.951058
69.637295,5,3.95561
-100.0,100,4.041239
52.30466,6,4.047745
-100.0,100,4.134027
-80.67631,88,4.211506
36.04953,5,4.216025
-90.0,91,4.294953
-13.0,13,4.306436
-2.157271,5,4.310956
2.630945,5,4.314899
-63.183446,65,4.370904
5.302258,5,4.376071
27.419344,5,4.380431
-81.0,81,4.451324
-48.0,48,4.492211
-100.0,100,4.580127
2.727411,5,4.586328
-35.244172,36,4.616937
-83.0,84,4.690696
1.414214,5,4.696373
-2.019545,5,4.699979
-99.095511,100,4.737736
43.875331,5,4.740276
-100.0,100,4.778397
46.176798,5,4.780811
35.880408,5,4.79566
-100.0,100,4.884167
40.492499,5,4.888668
-100.0,100,4.974617
-100.0,100,5.058727
4.534374,5,5.063164
23.8964,5,5.067491
-100.0,100,5.153843
-91.615904,95,5.237092
-100.0,100,5.322796
-72.0,73,5.420151
0.721319,5,5.42781
-56.943461,64,5.484955
74.976829,5,5.489304
44.631731,5,5.493882
-1.462004,16,5.509009
9.532279,5,5.513324
84.723584,5,5.520686
-100.0,100,5.606734
-32.883513,37,5.639335
-100.0,100,5.72462
-43.0,43,5.762387
-75.425134,83,5.831733
10.956719,5,5.839751
-100.0,100,5.924767
-31.0,31,5.949987
61.942026,6,5.956044
-24.0,25,5.981199
-69.0,69,6.039339
16.369188,5,6.045751
75.066944,5,6.050251
-46.77533,48,6.094146
-100.0,100,6.183578
22.379111,5,6.189548
-100.0,100,6.27427
75.341232,5,6.280293
9.047792,5,6.286545
-61.0,62,6.338538
-18.0,18,6.354582
0.175012,6,6.36095
-17.0,17,6.386097
1.175012,5,6.392271
15.219061,5,6.396676
-99.0,100,6.483594
-2.480269,6,6.488641
-5.857297,8,6.495768
17.204333,5,6.502002
-60.922302,65,6.561328
59.517962,5,6.565774
-25.0,26,6.589364
-65.67631,73,6.65445
17.204333,5,6.660382
1.244684,6,6.666568
-99.0,100,6.752411
-94.785205,100,6.83936
1.282388,5,6.845468
7.428054,5,6.849737
29.655129,5,6.854124
-56.0,57,6.903739
-8.369055,16,6.919162
40.156054,5,6.923526
31.443068,5,6.927588
-54.0,55,6.975657
-40.369055,48,7.018424
3.711452,5,7.022889
1.175012,5,7.027319
-72.243407,73,7.09093
-7.206985,8,7.099776
8.164057,5,7.103892
-7.0,7,7.110591
6.347017,5,7.115075
-42.0,43,7.152172
-2.157271,5,7.15654
54.414975,5,7.160889
0.964189,5,7.164986
5.385879,5,7.172604
68.436634,5,7.176939
19.869204,5,7.181327
-5.866531,8,7.188213
-4.146216,6,7.195641
-53.000317,64,7.249708
8.507533,5,7.254343
59.313156,5,7.258708
1.800091,5,7.264207
-2.398438,6,7.270983
2.945251,5,7.275295
-5.0,6,7.281392
84.723584,5,7.287674
0.43169,5,7.292504
65.483726,5,7.296644
36.845606,5,7.302798
-100.0,100,7.390388
7.08402,5,7.394792
-7.0,7,7.401689
-99.0,100,7.487598
-37.243407,38,7.520646
-37.574309,42,7.556782
-84.0,84,7.628521
-58.0,59,7.74923
13.637323,5,7.757089
-99.0,100,7.843889
46.832222,5,7.848279
-6.249507,7,7.854784
-99.0,100,7.944345
-2.320093,5,7.948378
16.326083,5,7.952705
-19.450842,21,7.970391
50.980433,5,7.978231
-100.0,100,8.063302
45.334805,5,8.067693
-74.8121,100,8.217034
-17.0,17,8.232945
23.396463,5,8.237518
12.009256,5,8.243363
18.329607,5,8.247709
-8.633284,12,8.259556
44.640336,5,8.264033
-98.569969,100,8.349328
77.9025,5,8.353848
5.347038,5,8.361252
0.39076,5,8.365418
-23.0,24,8.386211
-5.0,5,8.389953
3.971029,8,8.399507
-18.756984,22,8.41942
-99.0,100,8.503693
69.678909,5,8.508105
10.141691,5,8.514688
-2.157271,5,8.519022
-56.206985,57,8.568931
72.745284,5,8.574309
-99.0,100,8.664886
-7.0,7,8.67136
-17.615904,21,8.689699
-13.727559,23,8.711033
40.557036,5,8.718335
-66.212441,67,8.776502
6.185218,5,8.781129
-82.243407,83,8.853935
56.274061,5,8.861341
-55.243407,56,8.911077
8.206307,5,8.915664
-93.190296,100,9.003491
-20.27311,21,9.024206
7.682449,5,9.031001
7.25997,5,9.035626
-85.0,87,9.1102
-71.350628,91,9.191868
-43.0,43,9.229263
76.16592,5,9.233699
-100.0,100,9.321221
5.787681,5,9.330515
45.611165,5,9.400364
-100.0,100,9.43714
-91.240573,100,9.474262
-98.729174,100,9.510495
-100.0,100,9.546983
-96.79933,100,9.715813
57.069898,6,9.722959
72.651139,5,9.727425
-16.0,16,9.741741
1.301241,10,9.751634
-95.917728,100,9.848207
-80.0,80,9.916048
2.529808,5,9.921246
0.724907,13,9.932093
-1.866103,5,9.935769
4.975486,5,9.941857
71.476102,5,9.946837
-66.494032,70,10.004327
-45.540435,47,10.044473
-80.377402,100,10.129043
-3.454735,5,10.133977
-100.0,100,10.292392
26.815279,5,10.29856
-6.450842,8,10.305499
-12.369055,20,10.323131
-14.714264,37,10.353549
11.299652,5,10.357827
79.516103,5,10.362083
16.16804,8,10.37588
69.980113,5,10.381945
-81.211787,82,10.448683
-100.0,100,10.531375
-28.092204,33,10.55888
-100.0,100,10.641724
26.509612,5,10.647808
7.25997,5,10.652114
