#{"t_start": 1752541801.930389, "env_id": "None"}
r,l,t
-34.0,34,0.189575
-77.823033,100,0.293086
-94.507198,100,0.386994
59.00624,4,0.392302
0.582391,4,0.396326
-0.847456,4,0.400496
2.23387,4,0.404739
55.557961,4,0.409777
0.316773,4,0.414219
-20.0,20,0.433109
57.584281,4,0.437376
-100.0,100,0.574975
-21.0,21,0.594017
-80.514032,100,0.729861
3.386824,4,0.733981
-67.0,67,0.815204
44.937062,19,0.832111
-45.09,48,0.879434
-0.604946,4,0.883591
36.575125,4,0.888385
-84.0,85,0.964595
-1.604946,5,0.968972
-31.0,31,0.997046
22.325664,4,1.001894
5.05883,4,1.005704
-58.259345,70,1.072379
3.356281,4,1.07634
35.865845,4,1.081064
-51.0,51,1.125549
-1.884696,19,1.142944
-7.0,7,1.149313
2.209709,4,1.154046
-100.0,100,1.262109
-100.0,100,1.357093
12.228491,6,1.361739
-4.748794,26,1.385684
-22.0,22,1.402814
-100.0,100,1.488539
-0.847456,4,1.493404
-32.958988,40,1.528548
31.009887,15,1.541909
59.065998,4,1.545803
-100.0,100,1.630488
-0.847456,4,1.635415
-99.0,100,1.722196
62.033569,4,1.726161
-71.0,71,1.7873
39.029249,4,1.792093
-27.62759,30,1.817806
37.105225,4,1.821549
-100.0,100,1.944582
-100.0,100,2.033605
9.70553,4,2.037569
22.977922,4,2.041191
-40.0,40,2.075459
40.850584,38,2.110566
58.571531,4,2.114443
-99.0,100,2.210971
-100.0,100,2.295308
-85.0,85,2.373904
4.882669,4,2.377907
-74.769263,97,2.457454
-100.0,100,2.548155
15.613966,4,2.552953
-0.683227,5,2.557034
-12.62759,15,2.570951
56.593409,4,2.574757
-98.477564,100,2.668607
-100.0,100,2.754412
-11.09,14,2.767339
-100.0,100,2.850277
-0.604946,4,2.855768
10.486388,4,2.859534
51.286017,4,2.863328
38.147795,4,2.867136
5.212946,4,2.872342
5.57431,4,2.876137
-95.689157,100,2.96106
47.163686,4,2.964922
-99.0,100,3.051078
-8.0,8,3.057807
2.694449,4,3.061634
2.125686,5,3.065944
38.147795,4,3.072226
-11.0,11,3.081976
2.436483,4,3.08565
0.648902,4,3.089625
14.784524,4,3.095984
-99.0,100,3.177613
4.339223,4,3.181506
-95.826239,100,3.267483
-26.0,26,3.290589
2.436483,4,3.295084
-2.124331,22,3.314409
7.875669,12,3.325015
-100.0,100,3.417135
4.05883,5,3.421198
0.310843,4,3.424737
-100.0,100,3.507436
-100.0,100,3.59625
-99.0,100,3.67964
56.593409,4,3.683486
