#{"t_start": 1752541988.6545424, "env_id": "None"}
r,l,t
-29.762595,41,0.171559
64.080684,4,0.175754
-100.0,100,0.266979
-37.0,37,0.299086
8.527472,9,0.307783
58.58095,4,0.311856
58.585195,4,0.316813
-33.0,33,0.345275
3.22204,4,0.349051
-37.0,37,0.384642
-70.0,70,0.449222
-6.0,6,0.45559
-85.984855,100,0.589248
-8.0,8,0.596272
57.046739,4,0.601155
-12.0,12,0.611401
48.881442,4,0.615761
52.370317,4,0.62006
-99.0,100,0.734192
-21.0,21,0.754032
-96.979629,100,0.838667
11.642102,5,0.843547
54.471834,4,0.848347
-11.0,11,0.858236
-29.0,29,0.88333
20.897866,32,0.910756
58.585195,4,0.91532
56.888433,4,0.91914
5.715443,4,0.92271
-6.0,6,0.928994
-100.0,100,1.048226
-100.0,100,1.144161
5.17701,4,1.148148
-69.42,75,1.211035
24.324464,4,1.21572
-49.870997,93,1.301044
-55.52109,60,1.357942
-68.0,68,1.41502
-23.164991,28,1.439623
1.509384,4,1.443756
-44.0,44,1.480969
-5.402442,7,1.485697
-57.961233,61,1.539679
52.882413,4,1.545253
-6.402442,8,1.567813
-95.969743,100,1.65747
-12.391787,34,1.687109
48.843882,4,1.691118
-78.0,78,1.758262
3.331302,16,1.772509
24.751125,4,1.777276
-57.0,57,1.827847
1.684249,4,1.831724
25.180564,4,1.835564
36.527991,4,1.840099
-55.093614,59,1.891158
-62.792401,68,1.960182
6.961699,4,1.963787
-30.695133,39,1.996239
-9.0,9,2.005252
60.444479,4,2.009144
-99.0,100,2.095047
8.727104,8,2.102918
-23.754678,32,2.139756
-9.077261,11,2.148378
-29.0,29,2.174768
-57.103426,80,2.245955
-98.468605,100,2.340201
-52.045454,56,2.38989
-43.0,43,2.424888
40.75901,4,2.429431
-37.0,37,2.462543
3.154016,4,2.46647
-96.883154,100,2.551527
59.985782,4,2.55654
43.781266,4,2.560433
-4.743712,8,2.567271
46.420025,4,2.57125
1.166142,4,2.576056
-98.33707,100,2.661922
-99.0,100,2.753073
21.192626,4,2.757179
-14.284557,24,2.778656
2.879409,19,2.793705
-60.050071,62,2.849615
9.015145,5,2.855127
23.46207,4,2.861116
28.746814,11,2.870992
-19.329526,43,2.909885
11.746814,28,2.933872
-18.0,18,2.949134
-63.0,63,3.003214
2.694695,4,3.006955
-55.370744,76,3.071383
-96.743712,100,3.159169
1.166142,4,3.163089
-38.235913,58,3.213113
-3.402442,5,3.219023
-99.0,99,3.30304
-100.0,100,3.389197
-100.0,100,3.475216
11.629256,9,3.484719
-30.0,30,3.510154
29.501407,4,3.513818
-99.0,100,3.598225
-18.0,18,3.615418
-51.0,51,3.662874
60.766919,4,3.666821
-60.52632,68,3.727904
58.585195,4,3.731847
-100.0,100,3.819213
54.471834,4,3.82328
10.025632,4,3.827275
-14.103426,37,3.8632
56.888433,4,3.86812
0.836009,4,3.872117
59.82971,4,3.876281
-80.164991,85,3.949066
-100.0,100,4.038025
-1.994249,5,4.042264
44.849544,20,4.059729
-37.0,37,4.092542
39.467285,4,4.097629
5.766051,4,4.101489
-75.0,75,4.16644
-25.743712,29,4.190893
3.237345,4,4.1956
66.587478,4,4.199448
-89.159119,100,4.284684
36.436073,4,4.288379
5.793891,4,4.293156
55.720561,4,4.297015
-9.529424,24,4.317647
60.528418,4,4.322836
5.250339,4,4.327538
5.715443,4,4.331319
-18.0,18,4.347713
-21.892497,24,4.368038
-100.0,100,4.453743
-12.892497,15,4.466817
-51.335826,100,4.553461
66.587478,4,4.557518
-37.0,37,4.590551
-41.80531,63,4.645446
54.426691,4,4.649672
-1.994249,5,4.654084
-0.994249,4,4.715912
61.719741,4,4.717992
-93.066304,100,4.755145
-100.0,100,4.791453
64.963856,4,4.793456
-10.741974,34,4.831459
2.22204,5,4.835502
37.285278,4,4.839028
0.05496,4,4.843093
60.528437,4,4.848749
24.751125,4,4.852806
35.400421,4,4.856981
-96.969743,100,4.946539
17.995421,4,4.9524
58.294706,4,4.956625
37.562545,4,4.96037
-19.0,20,4.978215
-97.892497,100,5.070192
8.849544,56,5.119854
59.240109,5,5.124002
63.341438,4,5.128027
24.751125,4,5.133538
-79.49,85,5.207834
-7.598664,11,5.215852
4.953883,4,5.219438
-99.0,100,5.307677
-0.144632,4,5.311867
-15.0,15,5.325046
-60.833688,100,5.411907
-99.0,100,5.499452
-31.779698,41,5.535071
-53.0,53,5.584034
28.449866,4,5.588397
23.46207,4,5.593842
-27.0,28,5.618351
60.943472,4,5.622272
-60.565524,75,5.685089
58.910249,4,5.690702
33.722789,32,5.717952
61.53544,4,5.7221
-96.743712,100,5.808932
-98.077261,100,5.896926
9.729802,4,5.900874
60.528437,4,5.904719
-0.099993,5,5.91044
-82.16,86,5.984705
64.491218,4,5.988668
-25.142642,40,6.023086
36.854006,4,6.027104
1.422876,4,6.032856
63.32486,4,6.03695
-39.996245,43,6.075597
-40.790965,91,6.154466
10.04355,8,6.163097
51.48246,4,6.167048
4.335566,4,6.170901
-16.0,17,6.185338
55.757235,4,6.190873
-7.362765,11,6.200488
3.22204,4,6.204299
3.237345,4,6.208292
55.402619,4,6.213701
55.079516,4,6.217595
-99.0,100,6.302227
44.277475,4,6.306273
9.729802,4,6.312095
3.951529,4,6.316166
61.138118,4,6.320076
24.324464,4,6.323941
-50.0,50,6.368119
-99.0,100,6.455721
-0.205568,4,6.459386
54.865033,4,6.463472
-90.779698,100,6.552678
-0.996245,4,6.556737
32.133298,4,6.560763
63.324248,4,6.564651
58.196797,4,6.570233
41.147337,4,6.574134
58.585195,4,6.578001
19.670474,4,6.581773
-15.52632,22,6.604908
55.757235,4,6.608765
61.138118,4,6.613229
-4.259504,17,6.62763
-51.98096,73,6.690964
-97.19,100,6.777308
1.393986,4,6.781381
4.642629,4,6.785421
-94.49,100,6.871773
58.250826,4,6.875744
21.192626,4,6.879575
-0.996245,4,6.883517
52.895827,4,6.888958
-1.741974,25,6.910407
-83.357898,100,6.998646
-41.0,41,7.03747
57.60171,4,7.043064
57.282473,4,7.047316
42.112754,4,7.051445
-26.066304,33,7.08168
5.343099,4,7.087509
21.192626,4,7.091627
-10.096363,26,7.11344
47.010202,9,7.122988
41.234919,4,7.128605
-27.0,27,7.150543
63.272543,4,7.154546
1.393986,4,7.158539
-42.943494,65,7.218698
-95.969743,100,7.306454
1.393986,4,7.310297
-92.0,92,7.394576
-99.0,100,7.483753
-96.969743,100,7.801927
7.574545,4,7.805919
-64.100294,74,7.867385
-18.0,18,7.884897
5.17701,4,7.888737
10.992744,4,7.89273
-54.045454,58,7.942772
58.414558,4,7.947628
33.671531,4,7.951753
5.343099,4,7.955721
-99.0,100,8.04172
41.709156,4,8.046571
-46.066304,53,8.091775
58.17962,4,8.096018
-93.334663,100,8.181525
66.971668,10,8.192397
-95.519614,100,8.277861
-99.0,100,8.362993
-40.050709,100,8.446749
15.552922,4,8.451506
0.580196,4,8.455404
-100.0,100,8.54066
-68.0,68,8.598322
37.856678,4,8.602773
-33.95645,52,8.647929
56.023649,4,8.651933
-9.050071,11,8.661679
-20.0,20,8.67872
-100.0,100,8.76194
59.074514,4,8.765816
-60.0,60,8.816507
55.236522,4,8.821207
-90.0,91,8.894253
-0.996245,4,8.898196
-99.0,100,8.982791
2.703903,4,8.987468
-0.996245,4,8.991392
24.421461,4,8.995178
1.166142,4,8.998894
-65.0,65,9.055048
10.857358,4,9.058903
-52.565524,67,9.113653
56.023649,4,9.117475
0.512428,4,9.122105
-82.168137,100,9.208441
-60.49468,100,9.294836
-97.729757,100,9.378598
65.352455,4,9.448045
60.805092,4,9.449971
5.766051,4,9.451919
-100.0,100,9.487164
-91.656901,100,9.522592
-28.08731,32,9.55643
9.474266,10,9.565824
24.421461,4,9.569605
-0.994249,4,9.573536
-22.761432,32,9.601531
58.208029,4,9.605388
41.234919,4,9.609205
-12.334663,19,9.625956
36.897866,16,9.640355
59.82939,4,9.644221
58.325748,4,9.648063
-100.0,100,9.733507
-0.994249,4,9.739038
-65.518817,80,9.807055
58.414558,4,9.810951
4.225539,5,9.815301
-35.918517,100,9.901592
0.03717,4,9.905427
-7.0,7,9.911772
-31.918845,96,9.992848
-52.419804,56,10.048416
63.351298,4,10.067745
-94.0,94,10.144592
-62.16,66,10.200596
-67.579691,68,10.258855
-100.0,100,10.34517
-99.0,100,10.43141
29.293439,23,10.449501
-81.95645,100,10.534848
55.763448,4,10.538727
4.225539,5,10.545074
-94.49,100,10.630181
-56.0,56,10.678107
32.151158,5,10.682343
-61.180615,100,10.765961
-8.0,8,10.77273
0.03717,5,10.778378
-69.235657,100,10.860988
12.470102,4,10.864889
-66.0,66,10.923069
-52.19,55,10.968949
-99.0,100,11.051392
-97.19,100,11.134561
58.250826,4,11.13845
-57.437708,61,11.191868
-1.994249,5,11.195987
-48.0,48,11.236156
3.22204,4,11.239901
-1.063965,5,11.245758
0.620367,4,11.249282
7.727104,9,11.256283
51.4646,4,11.259933
-10.996245,14,11.276665
51.919942,4,11.280532
-96.442099,100,11.364154
24.421461,4,11.367959
27.726055,4,11.373258
-8.0,9,11.38102
-2.656901,12,11.391563
52.081155,12,11.402288
32.133298,5,11.407776
-69.711411,90,11.484212
58.414558,4,11.488056
15.160845,4,11.491918
-0.994249,4,11.497315
-21.284557,31,11.523957
-100.0,100,11.611175
-74.807416,77,11.676379
-21.974815,35,11.707408
-5.0,5,11.711179
-93.334663,100,11.827702
-99.0,100,11.911708
36.189201,6,11.917628
-21.565524,36,11.947955
-6.442099,10,11.957201
-13.973128,32,11.984312
-6.975998,19,12.002229
7.819385,31,12.027186
-35.918845,100,12.110382
-99.0,100,12.194638
23.46207,4,12.200179
58.325748,4,12.203991
-85.0,85,12.276918
43.492916,4,12.280782
-64.0,64,12.339709
58.208029,4,12.343833
64.491218,4,12.347683
-81.95645,100,12.432336
41.234919,4,12.437686
-32.05,36,12.472006
23.897866,29,12.49566
2.703903,4,12.499495
-99.0,100,12.586693
