#{"t_start": 1752541508.9299643, "env_id": "None"}
r,l,t
-0.758067,13,0.151584
-5.0,5,0.15666
-53.932464,63,0.237926
-13.0,13,0.248243
-39.0,39,0.284178
-15.0,15,0.296631
25.048291,5,0.30426
-7.900933,30,0.329059
-1.711479,5,0.333514
-11.274061,25,0.414961
-0.522987,5,0.420823
-99.105461,100,0.545793
69.232895,5,0.550105
35.559963,5,0.554327
-100.0,100,0.656068
-20.896595,32,0.685355
-27.359068,29,0.711041
30.405592,5,0.715393
9.728533,5,0.721481
-41.419322,54,0.768181
0.368219,5,0.772848
28.639431,5,0.777154
-17.903628,28,0.801932
-3.872335,6,0.808317
70.604678,5,0.812561
-0.289281,5,0.816932
18.254852,5,0.822015
19.980246,5,0.82804
-26.515076,57,0.876044
-11.0,11,0.885993
-28.0,29,0.911134
44.545761,5,0.915112
-28.0,29,0.944768
19.346942,5,0.951197
-20.0,20,0.971382
0.460964,5,0.975604
57.053855,7,0.983221
-91.0,92,1.115509
25.048291,5,1.12068
11.978537,5,1.124965
-18.0,18,1.141064
-24.0,24,1.168663
38.499897,5,1.173759
-75.054024,76,1.247034
18.794879,6,1.251703
2.860188,5,1.258547
-71.890698,100,1.382111
-100.0,100,1.466055
19.990579,5,1.470325
60.676209,5,1.47452
-24.940959,30,1.502178
0.622224,5,1.506637
-100.0,100,1.595649
11.536123,5,1.599653
67.247088,5,1.606181
18.177652,5,1.61217
28.639431,5,1.616874
74.4825,5,1.621104
-96.359091,100,1.719907
1.895775,5,1.724737
28.338016,5,1.730913
-79.100122,86,1.857567
26.815279,5,1.863023
17.011551,5,1.929397
-6.917067,15,1.941331
-23.249507,24,1.961838
-80.0,80,2.105274
12.349528,5,2.111421
18.848692,5,2.11584
-31.0,31,2.158148
-46.0,46,2.197921
10.33732,5,2.202183
53.175099,5,2.208351
-100.0,100,2.34902
-99.0,100,2.439657
14.677268,5,2.447339
-99.0,100,2.535129
14.273729,5,2.539518
4.775616,5,2.54509
-0.373952,6,2.551636
6.554355,5,2.555948
0.368051,5,2.560684
4.75125,5,2.568178
39.198135,5,2.572535
-12.134985,39,2.606217
18.787621,5,2.610582
-55.254638,92,2.724823
-38.0,38,2.759306
18.752263,5,2.765479
0.626048,5,2.770183
18.481231,5,2.777384
-1.364659,5,2.781681
-41.0,41,2.816516
10.599459,5,2.821002
64.908526,5,2.827999
0.368182,5,2.832831
19.253616,5,2.838889
18.848692,5,2.850577
0.460964,5,2.857811
1.096182,5,2.862516
18.046139,5,2.868644
5.193175,5,2.872703
28.395061,5,2.879791
74.4825,5,2.883884
-1.56222,5,2.889909
-38.0,38,2.937823
-64.0,64,2.994879
16.924724,5,2.999386
80.61789,5,3.006814
17.837879,5,3.011082
14.461455,5,3.018143
-92.0,92,3.096062
19.622115,5,3.100663
-76.0,76,3.165158
0.400826,5,3.174184
0.626048,5,3.178719
25.968972,5,3.183117
25.048291,5,3.187429
5.781801,5,3.196196
-99.095511,100,3.280524
-100.0,100,3.37439
17.437749,5,3.379015
-100.0,100,3.471143
75.633458,5,3.475798
-11.0,12,3.485958
36.694069,5,3.490451
-11.679125,32,3.521752
-85.0,85,3.595012
0.626048,5,3.599601
28.639431,5,3.603911
-20.037015,22,3.628416
21.484835,5,3.632656
-71.0,71,3.692262
-94.887646,100,3.77896
34.549885,5,3.786008
18.787621,5,3.790278
18.752263,5,3.794733
4.252002,5,3.801043
-16.323336,17,3.817583
18.177455,5,3.821873
-25.230653,32,3.849295
6.827745,5,3.853954
48.010385,5,3.862635
26.174185,5,3.867717
25.048291,5,3.872057
0.626008,5,3.876395
-40.856001,42,3.915329
15.395147,5,3.919697
36.357595,5,3.923987
7.931421,5,3.934067
-32.0,33,3.964079
-99.095511,100,4.056326
-45.0,45,4.094121
-13.329128,14,4.107334
14.140793,5,4.114378
-2.154973,5,4.118948
0.400826,5,4.123571
-98.468429,100,4.20856
18.574795,5,4.217554
-100.0,100,4.303837
17.132597,5,4.308287
76.476653,5,4.312699
-100.0,100,4.402055
-1.744531,5,4.406441
-39.815982,42,4.445031
68.84188,5,4.449441
-3.368402,7,4.459304
7.076395,5,4.463385
42.053054,5,4.467782
15.046145,5,4.473931
9.978395,5,4.48084
38.921785,5,4.485188
-7.13266,9,4.49383
-100.0,100,4.5781
4.286845,5,4.58696
5.24535,5,4.591267
-1.709936,5,4.595539
69.232895,5,4.599815
42.016447,5,4.609951
74.496526,5,4.614085
-36.0,37,4.647913
-100.0,100,4.732941
3.011709,5,4.739552
75.967347,5,4.745585
-37.284018,51,4.786077
-14.977006,21,4.805415
18.388317,5,4.812244
-15.0,15,4.825339
11.345164,5,4.829615
-5.088622,12,4.839777
12.349528,5,4.846926
-91.282401,100,4.931378
7.649074,5,4.935585
-1.615904,5,4.941704
16.785671,5,4.94868
30.956177,5,4.952685
24.89244,5,4.957102
26.205695,5,4.962884
-49.0,49,5.007415
21.334096,5,5.011699
32.126606,6,5.019034
18.787621,5,5.023284
-27.0,27,5.07458
28.395061,5,5.079123
11.30965,5,5.083441
23.327139,5,5.087724
-47.0,47,5.132018
0.626001,5,5.136603
48.010385,5,5.142536
11.536123,5,5.146523
11.412177,5,5.153453
67.49482,5,5.157962
80.421365,5,5.163982
-1.711479,5,5.168277
0.079818,6,5.175586
4.799127,5,5.182437
51.358473,5,5.18723
82.774645,5,5.191588
30.135508,5,5.197284
58.726989,5,5.20332
-2.520393,5,5.207323
36.514708,5,5.211661
19.340425,5,5.218351
10.531669,5,5.224349
-0.124375,5,5.228621
1.098224,11,5.239302
64.91391,5,5.245467
7.008863,5,5.249825
36.048834,5,5.254082
31.129772,5,5.260104
12.434232,6,5.266223
13.535053,5,5.270755
16.840346,5,5.273581
58.726989,5,5.27611
25.582455,5,5.278511
93.885196,5,5.280982
30.588756,5,5.28333
