#{"t_start": 1752542813.1426485, "env_id": "None"}
r,l,t
-22.557361,30,0.078645
-82.0,82,0.179388
7.588406,6,0.188025
3.4651,6,0.193072
-33.0,33,0.225085
-20.056353,31,0.250789
56.28366,6,0.257663
11.454964,6,0.262434
60.341232,20,0.282461
66.73481,6,0.289279
99.671169,6,0.294323
1.922684,6,0.300543
-13.700006,19,0.323006
-100.0,100,0.4091
55.766057,6,0.413737
-35.0,35,0.446327
-22.0,22,0.466691
-22.456839,25,0.490235
-11.004331,16,0.504554
-44.0,44,0.584306
-100.0,100,0.677045
-7.258611,11,0.686097
90.24727,6,0.693568
39.85215,6,0.698491
2.211665,6,0.707248
97.325517,6,0.712089
88.443588,6,0.720102
-98.884475,100,0.804893
107.245673,6,0.811867
-6.268814,9,0.821187
-6.332984,7,0.825827
-73.0,73,0.911274
-74.0,74,0.978686
-100.0,100,1.123457
-78.126293,93,1.208013
-100.0,100,1.306992
91.86856,6,1.316406
-36.748355,41,1.350663
-40.711479,44,1.389445
-26.0,26,1.41269
-2.339296,6,1.420024
91.859053,6,1.426668
-40.0,40,1.462873
-64.0,64,1.517754
-15.748355,20,1.53832
-90.527034,100,1.624575
52.211118,6,1.628687
4.475808,6,1.635222
-99.0,100,1.724826
99.282692,6,1.729814
-18.0,19,1.746375
-88.01366,100,1.833129
103.584726,6,1.840536
-25.0,25,1.863572
-100.0,100,1.94843
-65.049335,71,2.008165
-28.50383,43,2.046922
-28.591121,30,2.074034
-100.0,100,2.166693
-100.0,100,2.254309
-60.0,60,2.308157
-57.98556,100,2.393537
-100.0,100,2.488397
-100.0,100,2.574589
89.422536,6,2.581847
-79.010492,100,2.669576
25.222436,6,2.676383
-32.0,32,2.706439
-35.0,35,2.73802
-3.695329,6,2.744301
3.146266,6,2.749025
-10.09024,13,2.761821
97.157873,6,2.768913
-74.226042,85,2.84242
-91.791955,100,2.927082
-31.516159,33,2.956485
-99.0,100,3.081104
93.562099,6,3.08679
-41.0,41,3.121369
-16.0,17,3.13798
-100.0,100,3.225259
98.20319,6,3.230237
-24.0,24,3.323271
39.492858,6,3.330154
-16.0,16,3.346212
-38.0,38,3.377845
-34.893579,37,3.408969
56.760848,6,3.415252
41.179999,6,3.422411
-91.769203,100,3.506207
55.610601,6,3.51266
-23.33884,28,3.536726
127.321979,6,3.543635
69.770285,6,3.550448
-13.0,13,3.561109
28.02003,6,3.567358
-97.239997,100,3.656421
-33.26832,40,3.691708
-39.0,39,3.726296
97.632002,6,3.733565
-100.0,100,3.824875
52.809918,6,3.829938
-79.56945,86,3.918889
29.852805,6,3.923751
98.001197,6,3.931145
-91.791955,100,4.015269
-7.264249,11,4.025465
99.2888,7,4.030381
-7.293774,14,4.043798
-33.0,33,4.073442
-63.0,63,4.125739
-6.205279,60,4.177057
17.787621,6,4.1824
-48.0,48,4.222728
78.046812,6,4.230397
95.361032,6,4.235207
-16.0,16,4.249671
-100.0,100,4.334588
-0.883885,6,4.342147
-97.525173,100,4.426198
13.528264,6,4.431505
-69.0,69,4.490657
-89.893451,92,4.570805
-14.0,14,4.582509
-34.791955,43,4.620032
-98.516159,100,4.702643
96.044019,6,4.707427
56.659639,6,4.715046
60.044866,6,4.720604
-100.0,100,4.809372
97.379841,6,4.81218
23.420677,6,4.814864
61.67839,7,4.817959
-100.0,100,4.852959
-97.189249,100,4.941655
72.425708,6,4.947937
-99.0,100,5.030706
90.24727,6,5.036563
37.71855,6,5.043187
-14.0,14,5.053889
-12.897833,24,5.074128
-93.043866,100,5.166452
3.801353,6,5.173123
-55.0,55,5.220763
3.472966,6,5.225537
10.641023,6,5.233065
70.395029,6,5.237802
89.210979,6,5.244384
-91.791955,100,5.328558
-98.0,98,5.410235
-59.112303,63,5.463777
92.427313,6,5.468584
118.075123,6,5.475085
86.787947,6,5.48042
56.28366,6,5.486927
-23.0,23,5.5065
-88.897833,100,5.61215
-0.897833,12,5.62304
-92.0,93,5.701493
-81.0,83,5.775756
25.521393,6,5.780584
11.454964,6,5.787992
3.630681,6,5.792465
-71.524192,82,5.861536
-11.049335,17,5.875905
-7.988067,15,5.889904
117.49755,6,5.895624
-9.562647,11,5.90571
91.844343,6,5.912043
16.017451,6,5.919627
-25.566152,47,5.960843
