#{"t_start": 1752541721.7327714, "env_id": "None"}
r,l,t
-2.595794,4,0.010777
13.728168,3,0.109189
-28.0,28,0.134173
-66.227597,100,0.250066
3.824459,3,0.253394
-7.0,7,0.259748
-36.0,36,0.31561
-78.098086,82,0.401343
-55.0,55,0.449322
-99.0,100,0.554609
-9.0,9,0.561985
-6.0,6,0.570333
5.975743,18,0.584954
-9.707034,25,0.605853
-100.0,100,0.71068
-100.0,100,0.797414
-100.0,100,0.88207
-69.0,70,0.942425
-18.0,18,0.956638
-100.0,100,1.041388
-59.0,59,1.091573
-69.768665,71,1.156596
-43.0,43,1.192358
-52.0,52,1.23772
-5.0,5,1.25067
0.324804,17,1.265319
-68.660234,70,1.330573
-16.0,16,1.353257
-69.0,70,1.437847
-100.0,100,1.522516
-100.0,100,1.61116
-25.775454,26,1.635892
-73.0,73,1.696609
-39.0,39,1.729458
-1.937399,4,1.73339
0.111436,4,1.738778
-1.937399,4,1.74267
-24.0,24,1.761834
-53.0,53,1.805441
7.689005,3,1.810612
-100.0,100,1.896644
-89.336735,91,1.972586
-2.770194,4,1.976218
-100.0,100,2.062707
-54.0,54,2.110761
-15.0,15,2.123937
-21.0,21,2.141629
-1.660234,3,2.146561
-24.0,24,2.16778
26.683619,4,2.171353
-85.030767,100,2.253836
-11.0,11,2.263297
-100.0,100,2.346607
-1.729687,3,2.350051
1.650807,3,2.353445
-1.770194,3,2.358347
-100.0,100,2.453614
-6.0,6,2.457873
-0.937399,3,2.461305
-1.729687,3,2.46625
-100.0,100,2.549709
-82.595794,84,2.628577
12.804407,3,2.630022
-37.0,37,2.664889
-1.69004,3,2.666427
30.080583,3,2.669762
29.796223,3,2.673045
-3.030767,18,2.688579
45.071813,3,2.691912
21.244158,3,2.695244
-46.336735,48,2.735153
18.054041,3,2.739925
-100.0,100,2.823922
-1.768665,3,2.825648
1.13289,3,2.828968
-17.729687,19,2.847336
-1.768665,3,2.850774
-1.768665,3,2.852423
19.544299,3,2.855765
-1.575951,3,2.860698
13.292966,3,2.864189
-25.0,25,2.884999
-1.775454,3,2.888641
-12.0,12,2.900411
-1.775454,3,2.902121
-3.660234,5,2.907722
-15.883698,20,2.924368
16.273018,5,2.929849
-74.0,74,2.992813
-1.69004,3,2.996149
8.98528,3,2.999341
-39.888564,44,3.038446
-46.0,47,3.081905
-0.937399,3,3.083683
-99.0,100,3.167314
-98.595794,100,3.252874
-14.030767,29,3.278352
12.292966,4,3.282228
-2.196495,9,3.289301
-23.741652,28,3.31527
-99.0,100,3.398312
-100.0,100,3.483546
-83.624288,100,3.567717
-1.768665,3,3.572706
-60.0,60,3.622592
-12.349193,16,3.636042
-100.0,100,3.724976
1.752961,3,3.72825
-100.0,100,3.813793
-100.0,100,3.898351
4.504236,3,3.901938
-1.555422,6,3.909356
-99.0,100,3.99281
-1.729687,3,3.994539
-78.212441,79,4.062802
-50.0,50,4.107127
-100.0,100,4.190685
-2.770194,4,4.194866
-1.768665,3,4.19655
34.134078,3,4.201502
-14.0,14,4.215297
37.686089,3,4.216638
-1.937922,3,4.219996
34.134078,3,4.22533
7.899124,3,4.229131
-1.768665,3,4.230909
-55.295815,72,4.292791
-0.937399,3,4.297728
32.316952,3,4.301061
32.316952,3,4.30459
28.758437,3,4.306176
-1.768665,3,4.310899
-0.937399,3,4.314335
2.172018,3,4.317684
-1.775454,3,4.319359
6.931947,3,4.324028
-38.0,38,4.357902
-1.937922,3,4.359485
-2.67155,3,4.36253
-2.046135,3,4.367248
-1.575951,3,4.370673
-16.0,16,4.384073
29.079133,3,4.385789
-3.768665,5,4.392738
29.079133,3,4.394345
-2.260518,3,4.397842
-1.775454,3,4.401242
-1.775454,3,4.406215
-100.0,100,4.48985
19.610917,3,4.491568
-16.555422,21,4.510657
16.794537,3,4.513623
18.085669,3,4.516933
-27.0,28,4.542434
-1.937399,4,4.54628
-56.371349,68,4.60638
-8.729687,10,4.616291
-82.015756,100,4.655214
7.386906,4,4.657087
1.394634,3,4.658618
-100.0,100,4.695563
-100.0,100,4.732876
1.460502,3,4.744274
-100.0,100,4.827322
-6.195593,22,4.848859
-13.771217,18,4.863603
-100.0,100,4.946373
-100.0,100,5.032641
-41.669547,42,5.070239
-82.0,82,5.138576
-81.0,81,5.205765
-17.0,17,5.221269
