#{"t_start": 1752542915.8222804, "env_id": "None"}
r,l,t
-72.161869,100,0.135088
-100.0,100,0.274885
-50.0,50,0.318332
-35.875836,39,0.353369
-100.0,100,0.440012
-100.0,100,0.572309
-100.0,100,0.659028
-10.05455,13,0.670015
-96.485475,100,0.797616
-84.34207,100,0.886221
-6.0,6,0.890571
-88.0,88,0.968656
-52.972371,63,1.05725
58.587573,6,1.066249
-8.676214,59,1.120491
31.371006,6,1.147105
-100.0,100,1.237096
-70.020626,92,1.320716
-7.0,7,1.328538
-99.326127,100,1.418274
-42.0,42,1.454208
-82.0,82,1.532088
-63.0,63,1.587118
-100.0,100,1.676521
-2.820421,6,1.683351
-39.124654,46,1.724791
-31.618506,36,1.765223
-100.0,100,1.852426
-100.0,100,1.938452
-97.662311,100,2.025736
-100.0,100,2.111037
23.350244,6,2.117709
-100.0,100,2.210458
93.072485,6,2.217186
-99.225222,100,2.303575
-100.0,100,2.39141
-51.0,51,2.435141
-87.0,87,2.51245
-29.575593,35,2.542341
1.348968,8,2.549387
-100.0,100,2.633924
-90.793995,93,2.714099
87.301026,6,2.718709
-81.582961,88,2.820858
78.164245,6,2.82754
-100.0,100,3.137305
-98.0,98,3.548456
-100.0,100,3.696196
-59.89174,70,3.876673
-36.835,39,3.913232
-5.149074,21,3.930904
-24.0,24,3.987823
-100.0,100,4.075951
-15.456549,34,4.111152
-99.0,100,4.199243
94.314075,6,4.207235
-95.0,95,4.291445
-31.0,31,4.317811
-100.0,100,4.409678
-43.0,43,4.447727
-23.809148,29,4.473088
24.669968,2,4.477088
-100.0,100,4.56347
-76.486864,100,4.653276
-100.0,100,4.737698
-57.0,57,4.787261
-42.0,42,4.824205
-37.745995,58,4.875583
-23.0,23,4.896376
-100.0,100,4.981855
-80.0,80,5.051921
18.884209,6,5.056771
-88.0,88,5.131205
96.760968,7,5.138759
-98.314497,100,5.224168
-85.0,85,5.29599
-31.258571,58,5.346628
-30.585933,49,5.400709
7.81014,6,5.407264
-100.0,100,5.493092
-100.0,100,5.529069
-95.853346,100,5.565596
-76.486864,100,5.601353
0.486498,6,5.60444
-4.004129,8,5.907575
73.977413,6,5.914402
-100.0,100,6.005085
107.212688,6,6.009959
6.086451,6,6.016625
-49.248347,50,6.058336
-99.0,100,6.143873
-6.097371,24,6.164394
-42.0,42,6.20218
-24.0,24,6.222401
-54.442639,77,6.287909
40.281117,7,6.294781
-100.0,100,6.379833
-100.0,100,6.463327
-99.218985,100,6.551717
-100.0,100,6.635524
6.33299,18,6.650259
-51.373827,71,6.714731
-1.852177,6,6.72228
-61.912246,66,6.777132
-100.0,100,6.97618
-56.0,56,7.059847
6.431815,6,7.067521
33.358831,59,7.117264
85.977557,6,7.123942
-49.0,49,7.166231
-18.218985,19,7.184532
-99.0,100,7.378096
-14.427978,24,7.398829
-37.444052,39,7.432497
-9.657402,31,7.472717
-9.250279,10,7.529431
-95.959443,100,7.655986
38.109468,6,7.66094
-30.0,30,7.687808
75.336912,6,7.692776
34.08677,6,7.699847
48.554737,6,7.704307
-65.753376,76,7.782013
-100.0,100,7.876489
-10.0,10,7.885913
18.132413,6,7.890582
-14.809148,20,7.908308
-46.0,46,8.00361
111.006957,6,8.008752
87.790776,7,8.045099
-9.0,9,8.053171
99.855521,6,8.059883
-10.984541,15,8.073498
-62.0,62,8.155442
20.280669,6,8.171897
-19.966033,30,8.196807
8.881449,6,8.203388
-14.809148,20,8.220652
-92.0,92,8.327391
-35.0,35,8.355661
-76.0,76,8.421391
61.469679,6,8.427871
-91.0,91,8.508605
-22.241265,32,8.536665
-100.0,100,8.622549
-9.5627,12,8.63525
-9.0,9,8.644696
104.653962,6,8.649487
-40.961758,45,8.689714
-97.354815,100,8.77577
21.779531,6,8.782686
-54.0,54,8.82906
30.180289,6,8.833897
110.456948,6,8.840514
-73.0,73,8.902891
-6.028439,11,8.91426
-4.354815,7,8.919335
23.934746,6,8.92598
25.521393,6,8.933102
-99.0,100,9.025983
-100.0,100,9.112435
19.576744,6,9.119098
-100.0,100,9.216179
-73.0,73,9.277844
-32.0,32,9.306261
9.588308,7,9.313368
12.357526,6,9.320525
-92.884281,100,9.409112
-97.354815,100,9.493435
-1.852177,6,9.500018
-43.427978,53,9.546136
-9.525348,32,9.574739
-29.0,29,9.604296
-87.0,87,9.683211
-100.0,100,9.771505
-11.0,11,9.781389
3.998659,6,9.786234
-83.285005,100,9.873802
17.625428,6,9.882238
6.431815,6,9.886968
-100.0,100,9.972486
-99.0,100,10.059592
-33.956151,100,10.145081
-64.0,64,10.201895
14.57703,6,10.208647
62.779774,7,10.215585
-100.0,100,10.302459
78.37823,6,10.307307
-13.422104,17,10.322322
-3.814562,9,10.331614
62.38771,6,10.338404
-100.0,100,10.423996
-60.191255,71,10.487047
110.255529,6,10.491883
-46.0,46,10.534017
-39.512558,47,10.573773
-100.0,100,10.662198
74.599441,9,10.669801
-1.942099,6,10.677147
-86.0,86,10.752357
-2.641466,6,10.757061
-13.733749,50,10.801662
-27.0,27,10.826594
-93.102387,100,10.863928
104.0573,6,10.866748
16.764374,6,10.869575
-2.628993,6,10.872213
29.641916,6,10.874884
-65.0,65,10.93999
109.275636,6,10.945005
-99.0,100,11.029571
-100.0,100,11.113624
23.734482,6,11.12023
-96.0,96,11.206268
26.014231,6,11.210843
35.89472,13,11.2237
-17.101951,18,11.239645
-33.0,33,11.267508
-17.0,17,11.281655
-91.033491,100,11.370633
-56.623953,62,11.425811
95.125747,6,11.43085
-99.0,100,11.515645
-100.0,100,11.600552
-48.478959,56,11.647452
4.525338,6,11.654037
-40.565579,46,11.691665
-76.771547,78,11.758497
26.804185,6,11.763409
-63.0,63,11.81674
-80.379068,83,11.888462
23.116513,6,11.894649
62.603564,6,11.901464
4.808745,6,11.906374
-36.0,36,11.937799
-100.0,100,12.027641
87.183887,6,12.034411
6.382021,6,12.038893
90.462378,9,12.048225
-100.0,100,12.135113
-2.711479,6,12.139767
93.072485,6,12.14633
32.230112,6,12.151255
78.164245,6,12.158566
96.596254,6,12.163373
-2.933189,6,12.169683
-99.0,100,12.255104
-24.878573,37,12.28862
-3.533482,6,12.293025
-91.417442,100,12.377442
-50.959443,55,12.42621
1.464277,18,12.443019
-93.0,93,12.521489
72.373672,6,12.526439
-100.0,100,12.629551
88.033125,6,12.63719
-40.0,40,12.671068
-8.354968,10,12.679057
-7.10528,56,12.72631
-3.545955,6,12.733417
-100.0,100,12.818655
11.71912,6,12.823491
-36.0,36,12.853227
47.891481,6,12.86072
-100.0,100,13.007684
-10.444052,12,13.017858
-24.0,24,13.037964
4.448446,6,13.043616
107.212688,6,13.05022
-8.5627,11,13.060388
14.682267,6,13.065702
29.971966,6,13.073032
-100.0,100,13.157089
16.13581,45,13.252744
-37.0,37,13.284445
31.371006,6,13.291968
-100.0,100,13.377616
-1.942099,6,13.382519
-17.959443,22,13.402836
-16.478959,24,13.425235
-8.0,8,13.432209
-100.0,100,13.519385
97.230399,6,13.524347
22.333565,6,13.533539
60.439704,6,13.538382
-79.961758,84,13.609882
-79.0,80,13.679821
-100.0,100,13.76622
-97.651925,100,13.851701
97.973625,6,13.858718
93.893309,6,13.863693
-94.831785,100,13.949126
-53.0,53,13.995675
-50.0,50,14.039338
-0.191255,11,14.049975
-24.527136,74,14.115182
9.486399,6,14.121475
48.581643,6,14.126303
-40.944107,43,14.163283
-18.623301,27,14.187589
11.544645,20,14.204957
-72.944787,100,14.293636
31.371006,6,14.298509
1.942766,6,14.30579
93.474389,6,14.310605
29.009808,6,14.31735
-13.0,13,14.327748
63.909141,6,14.333074
-100.0,100,14.418313
-11.385614,21,14.438247
1.543451,17,14.452378
67.837902,8,14.462278
-19.444052,21,14.480742
9.189923,6,14.487195
-13.623953,19,14.502083
63.909141,6,14.5096
-50.0,51,14.553614
-2.909525,6,14.558209
-100.0,100,14.646965
-62.08029,81,14.71956
-100.0,100,14.806436
25.719703,6,14.813249
-67.189339,72,14.875831
-24.0,24,14.897793
-100.0,100,14.984215
44.122665,10,14.992669
-53.339684,55,15.041128
92.94189,6,15.049036
-56.809148,62,15.10122
85.152629,6,15.108705
75.896468,6,15.113593
-15.0,15,15.127703
75.478014,6,15.133015
-76.0,76,15.198981
-0.318285,19,15.216167
-100.0,100,15.303762
-9.551289,14,15.317362
4.525338,6,15.322163
-76.0,76,15.387025
-100.0,100,15.424332
-2.641466,6,15.427057
-100.0,100,15.463058
93.474389,6,15.465989
-100.0,100,15.501693
-80.0,81,15.577641
-13.0,13,15.588434
-96.379196,100,15.673982
3.161618,6,15.678941
109.000794,6,15.686647
13.730253,8,15.693361
-99.0,100,15.778437
-100.0,100,15.864441
-54.0,54,15.910386
1.949115,20,15.9287
-75.201244,78,16.00247
1.996247,6,16.00745
-1.942099,6,16.014968
12.080456,6,16.019541
-1.852177,6,16.026118
9.100499,17,16.039685
-30.924787,42,16.078251
-84.523729,100,16.165042
-95.959443,100,16.251469
-63.612242,83,16.320637
-100.0,100,16.406111
-75.381038,100,16.493942
-25.0,25,16.515885
-100.0,100,16.599034
-68.0,68,16.657712
-89.966033,100,16.742862
-33.956151,100,16.827717
15.147725,6,16.832367
-58.0,58,16.88483
49.289508,6,16.889703
29.67279,6,16.896008
-7.028439,12,16.906052
-97.595115,100,16.992769
-100.0,100,17.07779
-13.124654,20,17.09517
