#{"t_start": 1752542137.0372834, "env_id": "None"}
r,l,t
-100.0,100,0.221778
-17.974673,25,0.245226
7.894658,4,0.249313
-75.0,75,0.320491
-14.0,14,0.333738
32.222323,4,0.337724
55.282721,4,0.341703
-1.412115,4,0.348716
-40.0,40,0.396868
1.900988,4,0.414768
-31.0,31,0.444145
61.811049,4,0.450866
2.030113,4,0.454965
-46.90166,49,0.497406
70.855399,4,0.50139
-28.342553,31,0.562337
-76.0,76,0.696947
-2.336967,4,0.701369
-100.0,100,0.805586
-32.0,32,0.837007
-88.897833,100,0.922539
-99.0,100,1.016995
-87.079606,100,1.286403
-31.0,32,1.320789
-9.785531,17,1.335099
-15.0,15,1.347506
-4.309023,5,1.351501
-22.818995,34,1.379706
-97.474004,100,1.465034
0.737394,4,1.468871
56.3167,4,1.472817
7.058022,4,1.477511
-1.149581,4,1.48135
2.89584,4,1.485253
0.215751,4,1.488765
61.033713,4,1.49334
-0.637837,4,1.497032
2.173009,4,1.500831
51.943186,4,1.504746
4.656596,4,1.509358
58.898066,4,1.513172
-2.299751,4,1.517089
-99.0,100,1.601779
-30.0,30,1.629212
-11.535712,15,1.644572
-92.0,92,1.749753
-35.545036,36,1.780783
61.029637,4,1.785484
3.497176,4,1.790047
55.572899,4,1.793879
44.156196,4,1.797722
2.030113,4,1.802304
29.88503,4,1.806287
-52.0,52,1.849913
-2.416244,5,1.853969
-1.410375,4,1.858854
52.016154,4,1.862971
8.433028,11,1.873022
0.605905,4,1.877305
-15.0,15,1.889102
11.939649,9,1.898529
58.527718,4,1.902447
-99.0,100,1.987846
-100.0,100,2.073621
-5.0,5,2.077511
-42.545036,43,2.1145
-63.0,64,2.184989
1.896899,14,2.197009
-17.0,18,2.213615
-19.0,19,2.227977
-21.154566,23,2.247835
57.359475,4,2.252658
33.798195,4,2.25621
-6.250811,10,2.266025
-95.437324,100,2.359494
52.701501,4,2.364206
2.094969,4,2.368066
-97.695071,100,2.453785
0.605905,4,2.457768
-97.054346,100,2.543473
-12.0,12,2.554183
2.89584,4,2.558125
-15.0,15,2.569622
54.61422,4,2.574362
43.839121,4,2.579359
-99.0,100,2.664946
1.786075,4,2.669125
-71.90166,74,2.734665
-100.0,100,2.821285
-99.0,100,2.905404
-96.267472,100,2.99428
1.129908,4,2.999101
57.627571,4,3.003807
57.102073,4,3.007764
-93.0,93,3.091537
-28.0,28,3.118848
-65.0,65,3.177011
-39.717191,84,3.258581
-69.0,69,3.33617
-1.149581,4,3.341079
-46.0,46,3.380939
16.751719,4,3.384918
-98.317331,100,3.473407
44.156196,4,3.478278
-20.0,20,3.495646
-2.610661,4,3.499523
54.706919,4,3.503428
-0.626353,4,3.508159
-5.0,5,3.512085
-17.0,17,3.52821
-31.0,31,3.55338
-100.0,100,3.641633
-92.0,92,3.719586
3.219791,4,3.723414
30.812289,4,3.727311
-2.335517,4,3.73229
-19.704493,40,3.765647
54.205118,4,3.76931
21.552072,4,3.773258
-32.160551,57,3.824481
-52.0,53,3.871104
44.156196,4,3.875119
-100.0,100,3.962115
2.89584,4,3.967142
-99.095511,100,4.051547
-66.446581,86,4.128145
-34.489106,53,4.174648
-97.089112,100,4.259985
4.252042,4,4.264199
-26.945634,32,4.292474
-81.312781,87,4.367707
-73.0,73,4.432287
-3.336967,5,4.436857
60.506491,4,4.440549
-100.0,100,4.526066
