#{"t_start": 1752541346.9104683, "env_id": "None"}
r,l,t
46.334938,3,0.011103
-25.0,26,0.151162
11.019446,3,0.152939
-37.0,37,0.187116
-13.432378,24,0.208752
-18.0,18,0.223701
-30.0,30,0.251079
8.393631,4,0.254766
-19.0,19,0.269842
-37.0,37,0.30302
16.630238,3,0.304709
46.334938,3,0.308032
10.019446,4,0.312701
31.049485,3,0.316002
9.393631,3,0.319365
9.393631,3,0.321084
31.049485,3,0.325024
46.334938,3,0.328301
29.723465,3,0.331621
46.334938,3,0.333344
29.723465,3,0.337467
10.82857,3,0.340885
46.334938,3,0.344342
31.049485,3,0.346041
9.393631,3,0.350521
16.630238,3,0.354105
-74.980554,89,0.429482
26.724369,3,0.432845
27.574002,3,0.437073
-9.0,9,0.444201
9.393631,3,0.447658
9.393631,3,0.449444
26.574002,4,0.4537
10.82857,3,0.457118
-71.980554,86,0.557465
23.223293,3,0.559114
9.239831,4,0.563784
-100.0,100,0.650328
-100.0,100,0.733877
-68.0,68,0.790111
16.630238,3,0.794495
23.223293,3,0.797991
-33.0,33,0.825399
8.393631,4,0.829312
-16.375278,18,0.846344
-81.0,81,0.913464
-57.606369,70,0.972048
16.630238,3,0.975389
-37.776707,64,1.029593
-62.384891,74,1.095331
22.223293,4,1.099097
16.630238,3,1.100731
-49.0,49,1.145575
-75.280845,86,1.216656
-9.0,9,1.223812
16.630238,3,1.227105
-32.0,32,1.254625
-16.432378,26,1.288881
16.453952,3,1.290467
-12.0,12,1.300492
-20.0,20,1.32446
-7.326021,24,1.343687
-53.0,53,1.389453
-99.0,100,1.472565
-3.0,3,1.474739
-7.0,7,1.481279
37.668133,3,1.484572
-6.0,7,1.490872
-99.0,100,1.581023
32.572429,3,1.582656
16.630238,3,1.58592
16.630238,3,1.589198
-90.0,91,1.668014
-29.606369,42,1.701653
16.630238,3,1.704943
-18.0,19,1.722386
-2.0,3,1.724832
10.82857,3,1.729264
-19.606369,32,1.755197
-56.0,56,1.824136
-51.0,51,1.8684
37.668133,3,1.871773
-100.0,100,1.955189
-62.0,62,2.006062
11.019446,3,2.010711
8.393631,4,2.014569
8.393631,4,2.018809
13.683058,4,2.022363
