#{"t_start": 1752542850.1288881, "env_id": "None"}
r,l,t
-100.0,100,0.134668
-96.0,96,0.231672
-100.0,100,0.327478
-100.0,100,0.412436
-100.0,100,0.498864
-0.85212,6,0.506656
-14.0,14,0.543296
-62.0,62,0.596759
-99.0,100,0.698224
-98.0,99,0.792005
-50.0,50,0.861185
-100.0,100,0.95499
-8.81415,11,0.965015
-23.0,24,0.987135
-99.0,100,1.102591
-100.0,100,1.185966
-98.03797,100,1.270419
-67.81415,71,1.349179
-100.0,100,1.434248
-100.0,100,1.519665
-15.0,15,1.530943
-98.03797,100,1.615006
-100.0,100,1.698329
-62.85212,66,1.754121
-97.81415,100,1.837989
-100.0,100,1.925004
-67.03797,69,1.985287
-95.66783,100,2.085992
-98.03797,100,2.175062
-97.81415,100,2.261079
-21.0,21,2.278336
-98.03797,100,2.363393
-96.81415,99,2.448022
-96.03797,98,2.533088
-100.0,100,2.619172
-100.0,100,2.710514
-100.0,100,2.79408
-100.0,100,2.879621
-4.03797,6,2.884143
-25.81415,28,2.907775
-100.0,100,2.992335
-17.66783,22,3.013506
-97.81415,100,3.099832
-21.03797,23,3.118085
-98.03797,100,3.202039
-97.81415,100,3.287359
-32.0,32,3.31442
-55.03797,57,3.365314
-7.0,7,3.370025
-62.81415,66,3.428963
-11.0,11,3.438783
-51.81415,55,3.48443
-100.0,100,3.570337
-24.0,24,3.592031
-98.03797,100,3.676687
-97.81415,100,3.763454
-100.0,100,3.851079
-95.483016,100,3.937081
-100.0,100,4.022522
-8.03797,10,4.031829
-11.0,11,4.041949
-97.81415,100,4.128075
-95.66783,100,4.214515
-32.0,32,4.242365
-100.0,100,4.327051
-95.66783,100,4.412587
-70.81415,73,4.478113
-98.03797,100,4.548136
-100.0,100,4.584226
-100.0,100,4.620306
-97.81415,100,4.656126
-98.03797,100,4.691923
-17.0,17,4.71489
-98.03797,100,4.798677
-55.81415,59,4.850865
-84.0,84,4.920561
-100.0,100,5.005868
-100.0,100,5.090982
-37.81415,40,5.134055
-3.81415,7,5.143859
-15.0,15,5.16069
-95.66783,100,5.254091
-68.0,68,5.320098
-100.0,100,5.411698
-32.0,32,5.440805
-100.0,100,5.530254
-83.03797,85,5.603116
-98.03797,100,5.688274
-44.81415,48,5.729419
-100.0,100,5.852251
-100.0,100,5.939653
-100.0,100,6.03627
-57.66783,62,6.090319
-97.81415,100,6.177349
-97.81415,100,6.268202
-5.0,6,6.27265
-98.62986,100,6.35899
-59.407075,61,6.411878
-98.03797,100,6.499359
-99.0,99,6.588156
-100.0,100,6.677801
-41.0,41,6.716931
-98.03797,100,6.80412
-100.0,100,6.902412
-99.0,100,7.012234
-99.407075,100,7.116384
-9.0,9,7.126724
-99.407075,100,7.213159
-35.0,35,7.241131
-69.0,69,7.301336
-5.81415,8,7.310083
-100.0,100,7.393582
-100.0,100,7.478876
-74.0,74,7.538254
-98.03797,100,7.622486
-53.0,53,7.666151
-99.0,100,7.748833
-100.0,100,7.832258
-55.0,56,7.880485
-99.407075,100,7.963633
-98.03797,100,8.047247
-98.03797,100,8.130039
-72.483016,77,8.195252
-24.407075,25,8.215823
-37.483016,42,8.250474
-100.0,100,8.335771
-100.0,100,8.420494
-40.483016,45,8.45959
-99.407075,100,8.543138
-99.407075,100,8.652667
-100.0,100,8.737597
-57.0,57,8.786648
-99.407075,100,8.869681
-51.407075,52,8.914451
-7.0,7,8.921898
-99.407075,100,9.006195
-37.407075,38,9.042224
-98.03797,100,9.127925
-100.0,100,9.187763
-99.407075,100,9.222957
-99.407075,100,9.258204
-95.483016,100,9.293176
-99.407075,100,9.32856
-8.0,8,9.398012
-16.0,16,9.454108
-64.0,64,9.509065
-36.407075,38,9.543623
-29.407075,30,9.568873
-100.0,100,9.655478
