#{"t_start": 1752542558.0276933, "env_id": "None"}
r,l,t
-99.0,100,0.15181
-96.854795,100,0.239219
-100.0,100,0.323922
14.616188,6,0.330498
45.616089,6,0.335335
-19.0,19,0.351949
-13.478975,17,0.368
-96.579618,100,0.454437
30.663766,6,0.460836
-6.0,6,0.465137
16.071445,6,0.47252
2.888409,6,0.477319
-74.741269,88,0.553386
76.749733,6,0.560088
-32.53695,100,0.647259
-12.558796,27,0.670635
20.086681,6,0.70171
-64.765147,71,0.767717
-46.0,46,0.805824
-97.893506,100,0.88959
75.777326,6,0.898381
8.864166,6,0.903715
-10.655968,14,0.917645
5.390495,6,0.922203
83.785559,6,0.92881
13.073807,6,0.9336
-0.883052,6,0.941264
-16.704723,20,0.95808
-28.0,28,0.98212
-98.968235,100,1.107915
-55.0,55,1.155813
22.304709,6,1.160393
-99.0,100,1.252425
-49.0,50,1.295152
-3.855479,6,1.300304
8.664702,12,1.310723
-87.954967,100,1.396256
-100.0,100,1.485039
-100.0,100,1.571081
130.200446,7,1.578127
-31.562381,51,1.622849
-16.0,16,1.63642
-1.912423,6,1.641844
-3.517098,7,1.648616
46.472917,6,1.653381
15.366778,6,1.659843
-32.0,32,1.68697
3.204823,48,1.727183
-100.0,100,1.813738
67.406903,6,1.818678
51.390579,6,1.826203
-94.0,95,1.90603
39.960051,6,1.910835
9.242988,6,1.917377
-3.684032,8,1.925117
-24.980583,28,1.951357
-43.0,43,1.985137
15.05951,6,1.991816
-67.733427,69,2.051436
-100.0,100,2.141141
2.911731,6,2.147758
-100.0,100,2.241356
138.940085,6,2.24752
-99.0,100,2.332
-100.0,100,2.416456
-100.0,100,2.501303
32.271042,6,2.508981
134.580361,6,2.513817
32.014513,6,2.520407
-100.0,100,2.605101
8.441204,6,2.610399
-27.587764,30,2.638115
-37.80843,41,2.673013
-45.0,45,2.710095
71.544493,6,2.717824
64.584741,6,2.7227
3.336174,6,2.728994
-82.0,82,2.797436
-98.733427,100,2.883761
37.494769,6,2.890375
-100.0,100,2.973545
63.739337,6,2.978199
-11.0,11,2.988692
-99.0,100,3.072143
72.004138,6,3.084283
-66.0,66,3.14734
5.788785,6,3.152951
-5.304701,7,3.159614
55.335796,6,3.166176
-0.876519,6,3.171254
-68.0,68,3.228753
-88.027057,100,3.31476
-100.0,100,3.400903
50.44748,6,3.40757
-100.0,100,3.541785
8.114361,7,3.546946
-100.0,100,3.630905
-99.0,100,3.716629
33.10159,6,3.724922
53.102821,6,3.729973
74.148997,6,3.736784
34.591032,6,3.741747
-3.911804,6,3.751327
50.44748,6,3.756105
-19.878923,21,3.775642
-46.0,46,3.814394
-13.0,13,3.826229
-51.0,51,3.870044
13.98558,6,3.876749
-91.150239,100,3.960752
-58.0,58,4.010206
-100.0,100,4.095677
-84.460697,86,4.168496
-36.0,36,4.199051
-3.07081,6,4.204769
8.864166,6,4.21141
