#{"t_start": 1752541252.1855588, "env_id": "None"}
r,l,t
-5.0,5,0.034065
-4.0,4,0.045245
10.828333,3,0.046777
9.828333,4,0.054342
-86.171667,100,0.140343
-100.0,100,0.225065
-63.238057,100,0.308528
-73.171667,87,0.381527
-86.171667,100,0.476275
-51.171667,65,0.552427
-12.171667,26,0.574647
-87.0,87,0.692807
-100.0,100,0.783849
-3.0,3,0.784926
-87.171667,100,0.867393
-62.238057,99,0.948479
-55.0,55,0.997504
-22.171667,36,1.027615
-20.0,20,1.04402
-63.341316,64,1.097379
-4.0,5,1.103364
-87.171667,100,1.186251
9.828333,4,1.190114
9.828333,4,1.193748
57.731961,3,1.200123
71.035618,3,1.203506
9.828333,4,1.207998
71.035618,3,1.209616
9.828333,3,1.214783
23.196071,3,1.218099
10.828333,3,1.222021
-97.341316,100,1.309421
10.828333,3,1.313471
33.761943,3,1.319654
23.196071,3,1.323185
10.828333,3,1.326581
57.731961,3,1.330379
10.828333,3,1.33389
57.731961,3,1.337246
10.828333,3,1.340644
-1.341316,3,1.344034
10.828333,3,1.347593
-84.973578,100,1.434127
10.828333,3,1.437596
57.731961,3,1.443007
11.026422,3,1.444615
-25.0,25,1.46678
10.828333,3,1.468458
57.731961,3,1.473792
10.828333,3,1.477401
10.828333,3,1.480996
10.828333,3,1.482795
11.026422,4,1.48881
-1.341316,3,1.49222
60.035618,14,1.504959
23.196071,3,1.506599
23.196071,3,1.512014
-2.0,3,1.515374
71.035618,3,1.518914
10.828333,3,1.52065
23.196071,3,1.526111
11.026422,4,1.530156
-2.341316,4,1.533899
11.026422,4,1.537895
-25.964382,100,1.631557
-100.0,100,1.716922
-90.0,90,1.798617
-35.0,36,1.831779
23.196071,3,1.835663
-1.341316,4,1.839648
71.035618,3,1.843129
-1.341316,3,1.846732
-1.341316,4,1.852622
9.828333,4,1.856237
10.828333,3,1.859732
71.035618,3,1.861351
10.828333,3,1.867761
-1.341316,4,1.871817
71.035618,3,1.875194
10.828333,3,1.878787
8.828333,5,1.885147
10.828333,3,1.888871
23.196071,3,1.890545
9.828333,3,1.893704
10.828333,3,1.899165
57.731961,3,1.902476
11.026422,4,1.906317
57.731961,3,1.907887
11.026422,3,1.913116
57.731961,3,1.916444
9.828333,4,1.921292
10.828333,3,1.925474
10.828333,3,1.929211
10.828333,3,1.932857
-1.341316,3,1.936282
-1.341316,4,1.94025
-1.341316,3,1.94575
-1.341316,3,1.94754
10.828333,3,1.9511
-1.341316,3,1.954738
71.035618,3,1.960225
-1.341316,3,1.962147
-2.0,3,1.965379
10.828333,3,1.968792
-1.341316,3,1.974387
23.196071,3,1.976051
71.035618,3,1.979463
71.035618,3,1.982931
10.828333,3,1.98864
23.196071,3,1.990278
33.761943,3,1.993448
71.035618,3,1.996803
10.828333,3,2.00218
71.035618,3,2.003862
-1.341316,4,2.007792
71.035618,3,2.011587
9.828333,4,2.017155
10.828333,3,2.02054
23.196071,3,2.024106
-1.341316,4,2.028068
23.196071,3,2.031675
10.828333,3,2.035193
9.828333,3,2.038213
71.035618,3,2.041532
23.196071,3,2.045186
-1.341316,3,2.04866
10.828333,3,2.052098
71.035618,3,2.055386
10.828333,3,2.059051
-2.0,3,2.062316
-1.341316,3,2.065828
-1.341316,3,2.069295
11.026422,3,2.07281
11.026422,3,2.076182
10.828333,3,2.079609
10.828333,3,2.083267
10.828333,3,2.08702
10.828333,3,2.090581
10.828333,3,2.094049
57.731961,3,2.097446
10.828333,3,2.101126
10.828333,3,2.104546
10.828333,3,2.107969
10.828333,3,2.111372
23.196071,3,2.115101
71.035618,3,2.118626
-1.341316,3,2.122222
-2.341316,4,2.125891
23.196071,3,2.13125
71.035618,3,2.132961
10.828333,3,2.136518
-1.341316,3,2.140058
8.828333,5,2.146004
-3.341316,6,2.153004
-1.341316,3,2.154805
10.828333,3,2.158438
71.035618,3,2.163839
10.828333,3,2.16761
23.196071,3,2.169232
10.828333,3,2.172662
71.035618,3,2.17812
71.035618,3,2.181449
10.828333,3,2.183312
9.828333,3,2.18639
33.761943,3,2.191562
71.035618,3,2.194951
10.828333,3,2.196635
-1.341316,3,2.200099
-1.341316,3,2.20555
-2.341316,4,2.209375
23.196071,3,2.212836
34.273675,3,2.214171
23.196071,3,2.2199
10.828333,3,2.223458
-3.341316,6,2.22787
10.828333,3,2.231782
-1.341316,4,2.237872
23.196071,3,2.241454
71.035618,3,2.245018
10.828333,3,2.24681
-1.341316,3,2.252178
57.731961,3,2.25555
57.731961,3,2.259348
11.026422,4,2.263326
11.026422,4,2.269117
10.828333,3,2.270828
57.731961,3,2.274318
10.828333,3,2.277958
11.026422,4,2.283967
11.026422,4,2.287904
10.828333,3,2.291786
10.828333,3,2.293652
23.196071,3,2.299103
46.590276,3,2.302478
47.641412,3,2.305884
71.035618,3,2.307473
21.196071,5,2.315031
-1.341316,4,2.319218
71.035618,3,2.320799
46.590276,3,2.32405
71.035618,3,2.329295
-1.341316,4,2.333469
9.828333,3,2.336582
23.196071,3,2.338194
23.196071,3,2.343482
11.026422,4,2.347358
11.026422,3,2.350681
