#{"t_start": 1752541309.7301524, "env_id": "None"}
r,l,t
5.826751,15,0.102552
-56.367186,79,0.21147
-57.09625,94,0.288218
-48.09625,85,0.361585
31.22457,3,0.363219
-57.0,57,0.410916
-100.0,100,0.494283
-64.994911,77,0.585024
-72.824369,100,0.671788
-87.0,87,0.748293
-5.0,5,0.752211
-100.0,100,0.837104
-87.994911,100,0.922263
-11.0,11,0.932295
-65.0,65,0.986432
-9.0,9,0.995174
44.966868,3,0.998556
44.966868,3,1.002018
-21.0,21,1.018892
-100.0,100,1.1044
-83.0,83,1.177873
-24.0,24,1.197625
-8.0,8,1.204573
49.434057,3,1.207045
-48.225304,59,1.256048
-100.0,100,1.352022
23.258426,3,1.355171
-100.0,100,1.437906
-9.0,9,1.444979
-64.0,64,1.498603
-9.0,9,1.505778
-31.0,31,1.5331
40.457425,3,1.536617
-7.0,7,1.542916
9.161521,14,1.553867
-65.0,66,1.611206
-73.824369,100,1.693556
-100.0,100,1.777826
-70.0,70,1.834899
9.175631,18,1.851863
-7.0,7,1.856379
-100.0,100,1.939445
-61.0,61,1.992352
-52.0,52,2.03637
-28.0,28,2.060099
-44.0,44,2.097345
49.434057,3,2.099092
-100.0,100,2.183528
-88.0,88,2.259008
-41.0,41,2.2958
40.457425,3,2.297504
25.421473,3,2.302134
-75.0,76,2.366181
49.434057,3,2.369591
18.632814,3,2.372591
18.936224,3,2.375018
49.246545,3,2.378502
47.960062,3,2.381822
40.457425,3,2.38511
-10.0,10,2.393987
-100.0,100,2.478422
46.26581,3,2.481817
49.434057,3,2.485412
40.457425,3,2.487819
20.161521,3,2.490917
49.434057,3,2.494339
25.421473,3,2.497708
-99.0,99,2.581882
47.043344,3,2.585296
49.434057,3,2.588691
49.434057,3,2.59209
49.434057,3,2.594588
25.421473,3,2.598085
49.246545,3,2.601678
47.043344,3,2.604992
47.043344,3,2.607302
-100.0,100,2.69211
-100.0,100,2.776837
-34.0,34,2.806415
-5.0,5,2.811298
-53.0,53,2.865385
-38.008572,57,2.913733
-100.0,100,2.997088
40.457425,3,2.999645
-59.175389,81,3.070596
