#{"t_start": 1752541209.4950323, "env_id": "None"}
r,l,t
-3.0,4,0.014522
-6.0,7,0.015998
-1.0,2,0.016681
-40.0,41,0.022654
-5.0,6,0.024713
-22.0,23,0.028359
-3.0,4,0.029282
-6.0,7,0.030605
-2.0,3,0.032184
-7.0,8,0.055587
-7.0,8,0.135072
-1.0,2,0.135948
-9.0,10,0.145074
-7.0,8,0.150482
-2.0,3,0.151333
-4.0,5,0.155996
-7.0,8,0.162312
-4.0,5,0.165329
-11.0,12,0.173099
-12.0,13,0.181258
-4.0,5,0.185663
-31.0,32,0.205754
4.688612,4,0.208423
-3.0,4,0.211109
-10.0,11,0.220966
-4.0,5,0.223994
-6.0,7,0.229237
-9.0,10,0.236708
-2.0,3,0.238926
-2.0,3,0.241533
-4.0,5,0.244453
-15.0,16,0.254245
1.451705,6,0.260804
-3.0,4,0.263751
-1.0,2,0.264469
-5.0,6,0.269282
-6.0,7,0.276149
-17.0,18,0.286389
-11.0,12,0.294206
-20.0,21,0.307361
-9.0,10,0.316235
-11.0,12,0.324494
-2.0,3,0.327431
-9.0,10,0.333232
-4.0,5,0.337817
-1.0,2,0.340348
-20.0,21,0.354591
-3.0,4,0.357412
-16.0,17,0.36948
-5.0,6,0.374748
-4.0,5,0.377883
-1.0,2,0.380586
-18.0,19,0.393552
-5.0,6,0.398692
-1.0,2,0.399463
-29.0,30,0.418734
-11.0,12,0.428389
-4.0,5,0.431293
-3.0,4,0.434284
-5.0,6,0.439589
-1.0,2,0.4419
2.451705,5,0.444877
-3.0,4,0.447814
-4.0,5,0.453251
-2.0,2,0.455251
-1.0,2,0.458
-7.0,8,0.463469
-12.0,13,0.474284
-6.0,7,0.485917
-2.0,3,0.487269
-4.0,5,0.495173
-2.0,3,0.496911
-7.0,8,0.505304
1.451705,6,0.532571
-3.0,4,0.535729
-2.0,3,0.538501
-1.0,2,0.540416
7.531026,2,0.542947
-1.0,2,0.543932
-6.0,7,0.548816
-2.0,3,0.552065
-4.0,5,0.555244
-2.0,3,0.558198
-12.0,13,0.566307
-1.0,2,0.567976
-28.0,29,0.590111
-1.0,2,0.591066
-2.0,3,0.593933
-2.0,3,0.597215
-3.0,4,0.600053
-7.0,8,0.605358
-4.0,5,0.608507
-6.0,7,0.614522
-28.0,29,0.632943
-30.0,31,0.6529
-2.0,3,0.654005
-1.0,2,0.657554
-1.0,2,0.65873
-8.0,9,0.666098
-5.0,6,0.669166
-18.0,19,0.685009
-2.0,3,0.687884
-2.0,3,0.688991
-8.0,9,0.696491
-7.0,8,0.702575
13.067568,4,0.705485
-5.0,6,0.708977
-1.0,2,0.711874
-6.0,7,0.729347
-5.0,6,0.734832
-6.0,7,0.740106
-5.0,6,0.743287
-4.0,5,0.74848
-1.0,2,0.750864
-2.0,3,0.753411
13.067568,4,0.756027
17.286108,3,0.758923
-1.0,2,0.761494
-12.0,13,0.769601
-14.0,15,0.779931
-9.0,10,0.788308
-4.0,5,0.79355
-2.0,3,0.794701
-3.0,4,0.797811
-4.0,5,0.804362
-2.0,3,0.805696
-3.0,4,0.808692
-2.0,3,0.811495
-2.0,3,0.816458
-1.0,2,0.817748
-5.0,6,0.823282
-2.0,3,0.826219
-7.0,8,0.833753
10.867021,2,0.834616
-1.0,2,0.837503
-3.0,4,0.840222
-1.0,2,0.843034
-21.0,22,0.859453
-2.0,3,0.860363
-3.0,4,0.863416
-2.0,3,0.868135
-3.0,4,0.871187
-12.0,13,0.879778
-9.0,10,0.88835
-1.0,2,0.891251
-7.0,8,0.896586
-4.0,5,0.901992
-2.0,3,0.903102
-6.0,7,0.910253
-1.0,2,0.913241
-6.0,7,0.916541
-7.0,8,0.921632
-1.0,2,0.926521
-6.0,7,0.931773
-1.0,2,0.932521
-2.0,3,0.93533
-3.0,4,0.940447
-1.0,2,0.941435
9.274032,6,0.946558
-1.0,2,0.947531
-1.0,2,0.954177
-6.0,7,0.95965
-3.0,4,0.962362
-4.0,5,0.965771
-3.0,4,0.970808
-6.0,7,0.976067
-13.0,14,0.986748
-4.0,5,0.989939
-6.0,7,0.997146
-14.0,15,1.008651
-2.0,3,1.01142
-5.0,6,1.014734
-6.0,7,1.022353
-5.0,6,1.025659
-2.0,3,1.028292
-9.0,10,1.037122
-3.0,4,1.04224
-2.0,3,1.043559
11.302321,3,1.046402
-2.0,3,1.049365
-1.0,2,1.052355
-2.0,3,1.055281
-3.0,4,1.058285
-1.0,2,1.061648
-4.0,5,1.067719
-3.0,4,1.070773
-2.0,3,1.073993
-5.0,6,1.077313
14.158606,3,1.08857
