#{"t_start": 1745975721.4636729, "env_id": "None"}
r,l,t
0.0,100,0.076734
0.770012,100,0.135447
1.931939,100,0.196387
3.504417,3,0.198941
3.324021,5,0.202447
-1.0,4,0.205413
42.80299,13,0.213516
1.110793,100,0.27424
0.0,100,0.333148
13.054216,100,0.392614
3.085227,2,0.394458
27.772334,100,0.454149
0.671244,100,0.513147
10.71728,100,0.571956
0.0,100,0.634118
0.671068,100,0.696757
2.284978,100,0.75548
46.742086,7,0.760321
17.233275,100,0.818632
19.371193,100,0.895761
0.0,100,0.954311
0.0,100,1.016069
3.496324,3,1.019056
21.708316,3,1.021792
0.0,100,1.082294
0.0,100,1.142685
0.0,100,1.201566
13.447217,13,1.209872
0.0,100,2.175392
0.0,100,2.234883
14.015169,100,2.293404
0.0,100,2.351904
8.10248,100,2.411986
3.460843,8,2.41752
2.266663,100,2.475629
14.247409,5,2.479293
0.0,100,2.537
8.674028,100,2.596401
27.061377,100,2.665555
0.762957,100,2.727329
7.47156,100,2.786933
8.25183,100,2.847742
35.000878,5,2.851499
25.867482,4,2.855428
0.0,100,2.915056
18.037282,7,2.920223
0.0,100,2.97924
3.240953,2,2.981123
0.0,100,3.055716
14.620816,100,3.115519
6.990125,100,3.175025
0.0,100,3.234572
9.695694,100,3.293342
0.0,100,3.351514
12.128732,100,3.411556
0.0,100,4.409951
39.928743,100,4.468029
0.0,100,4.525723
9.026509,10,4.532318
19.584733,4,4.535331
0.0,100,4.593689
37.686835,6,4.598071
17.233275,100,4.660655
-1.0,63,4.698195
47.10566,7,4.703015
0.0,100,4.761022
0.691445,100,4.818815
0.0,100,4.876945
0.0,100,4.949674
0.0,100,4.996663
0.0,100,5.044596
3.966094,100,5.092214
0.0,100,5.140437
28.333029,6,5.155078
0.0,100,5.212846
0.0,100,5.271099
0.0,100,5.328718
14.015169,100,5.38635
0.0,100,5.443891
8.25183,100,5.501774
38.022952,3,5.504369
1.127665,100,5.56225
0.712618,100,5.620023
2.036885,100,5.678021
0.0,100,5.736352
12.030584,100,5.796051
4.455888,100,6.795048
0.0,100,6.85307
0.0,100,6.911657
18.037282,9,6.917838
19.236176,3,6.920271
15.526128,100,6.979196
0.0,100,7.037334
0.0,100,7.096182
2.036885,100,7.155342
3.200385,7,7.160225
17.233275,100,7.218867
0.770012,100,7.280822
0.0,100,7.343376
15.145168,100,7.406874
2.036885,100,7.465606
7.166439,100,7.525661
-1.0,45,7.553558
0.45085,100,7.612317
18.540972,3,7.614778
0.0,100,7.673004
0.0,100,7.735456
38.212033,6,7.740577
0.0,100,7.813536
0.0,100,7.890577
0.0,100,7.947471
0.449633,100,8.004986
0.0,100,9.012525
14.247409,4,9.015882
0.904489,100,9.075025
0.0,100,9.134287
5.820269,100,9.193264
0.0,100,9.252531
0.0,100,9.310888
0.0,100,9.379142
0.0,100,9.438238
0.0,100,9.49695
2.966094,4,9.500068
17.233275,100,9.558591
0.0,100,9.621305
0.0,100,9.687032
0.0,100,9.750769
0.0,100,9.815356
0.0,100,9.878967
0.0,100,9.952996
8.674028,100,10.016773
0.0,100,10.081105
0.0,100,10.144988
0.0,100,10.196572
0.0,100,10.253843
-1.0,1,10.254774
16.639319,100,10.302444
0.0,100,10.369988
2.966094,4,10.372948
0.0,100,10.430366
0.0,100,11.375423
4.154959,5,11.379234
0.762957,100,11.437244
25.642501,3,11.439749
24.656207,6,11.443938
0.0,100,11.502213
0.0,100,11.560005
0.421365,4,11.563205
0.0,100,11.62072
0.712618,100,11.684556
5.89723,100,11.742378
0.0,100,11.799437
6.170151,100,11.857486
19.155251,100,11.91508
0.0,100,11.972768
0.0,100,12.030473
0.0,100,12.089789
0.0,100,12.147586
0.0,100,12.204662
0.0,100,12.261497
3.085227,3,12.263858
0.0,100,12.32121
28.333029,3,12.323609
-1.0,1,12.337671
0.0,100,12.395004
0.0,100,12.452407
0.0,100,12.510226
2.86481,8,12.515477
14.797323,100,13.499929
0.904489,100,13.559572
0.671244,100,13.617954
0.770012,100,13.677833
0.0,100,13.734843
2.86481,2,13.739275
21.846591,100,13.796727
-0.609835,4,13.799582
0.0,100,13.861678
0.0,100,13.9249
0.0,100,13.986811
-1.0,5,13.991019
0.0,100,14.053103
0.0,100,14.114357
0.0,100,14.174803
0.0,100,14.236856
3.504417,2,14.238877
0.770012,100,14.306821
0.0,100,14.368761
0.0,100,14.431743
-1.0,54,14.464139
19.371193,100,14.524951
3.324021,2,14.526859
39.072388,7,14.531765
0.0,100,14.592762
0.0,100,14.654698
-1.0,1,14.656183
0.0,100,14.719313
24.748744,3,14.722123
17.50419,100,15.842004
3.504417,3,15.844681
0.0,100,15.904185
16.377959,100,15.964144
0.0,100,16.023631
17.698458,5,16.027211
8.899264,7,16.031976
24.745214,12,16.039704
0.894539,100,16.098075
0.0,100,16.156571
3.324021,2,16.158336
3.324021,2,16.160034
14.635045,100,16.246094
17.233275,100,16.300734
8.930181,4,16.303547
0.0,100,16.356953
0.0,100,16.411093
0.770012,100,16.485333
0.894539,100,16.548753
0.0,100,16.613187
0.0,100,16.68037
30.002296,5,16.684552
14.620816,100,16.747084
0.0,100,16.81354
9.695694,100,16.890898
0.0,100,16.953513
0.0,100,17.016284
-1.0,52,17.049304
15.145168,100,17.112076
0.0,100,17.174401
0.0,100,17.236528
3.504417,2,17.23857
0.762957,100,17.301789
7.961318,100,18.376895
9.677705,19,18.389798
0.0,100,18.452167
0.0,100,18.516897
24.748744,4,18.520497
8.10248,100,18.584029
0.0,100,18.648565
7.68317,7,18.654691
0.0,100,18.718793
4.248802,100,18.780104
0.0,100,18.837687
2.266663,100,18.89856
24.745214,7,18.904068
0.0,100,18.966709
0.0,100,19.02954
18.78409,100,19.092774
32.556269,4,19.096375
10.755398,9,19.10296
0.0,100,19.183239
0.0,100,19.240101
17.233275,100,19.297999
7.215896,100,19.355909
3.200385,28,19.372608
14.632046,100,19.430436
0.0,100,19.488288
0.684693,100,19.546266
2.589183,4,19.549423
1.833494,7,19.554195
9.611273,100,20.622109
21.100093,100,20.679898
5.820269,100,20.737621
3.240953,2,20.739356
0.0,100,20.79681
0.0,100,20.855552
14.247409,6,20.859753
15.639319,5,20.8633
0.0,100,20.921525
0.0,100,20.979175
8.10248,100,21.036668
15.145168,100,21.102877
3.130611,2,21.104643
0.0,100,21.162
7.820996,100,21.219251
0.0,100,21.276414
0.0,100,21.333992
0.0,100,21.391419
0.0,100,21.448607
0.0,100,21.506023
0.0,100,21.584985
0.0,100,21.632347
16.639319,100,21.680027
0.0,100,21.727951
0.0,100,21.77587
0.45085,100,21.834859
0.706888,100,21.893523
0.0,100,21.951129
9.695694,100,22.008838
0.0,100,22.990031
3.200385,7,22.994917
1.698281,100,23.052526
0.0,100,23.110927
38.022952,4,23.113935
8.011436,4,23.116848
0.0,100,23.174788
6.0319,7,23.179584
0.0,100,23.237911
38.093567,6,23.242576
31.329977,3,23.245001
0.0,100,23.303707
0.671068,100,23.362126
10.910379,100,23.420877
9.678282,3,23.42337
0.0,100,23.481359
21.194152,100,23.539231
0.0,100,23.597239
0.0,100,23.654768
3.504417,2,23.656479
0.0,100,23.714209
0.904489,100,23.772795
8.930181,7,23.788698
0.0,100,23.846155
0.0,100,23.904732
0.0,100,23.962349
24.358616,100,24.019889
8.041716,100,24.077709
0.0,100,24.135463
15.639319,14,24.144352
-1.0,3,24.146547
2.036885,100,25.145832
0.0,100,25.204395
39.124589,4,25.207514
0.0,100,25.265729
3.240953,2,25.267427
7.135998,100,25.331126
0.0,100,25.391448
0.0,100,25.452437
0.0,100,25.514157
0.894539,100,25.576712
-0.229988,29,25.594858
3.915554,7,25.599807
0.0,100,25.660007
0.0,100,25.718562
0.0,100,25.777036
24.358616,100,25.83558
7.47156,100,25.893625
-1.0,6,25.898103
30.002296,8,25.90483
49.365852,100,25.962513
0.0,100,26.021928
0.894539,100,26.082869
3.240953,2,26.084954
0.770012,100,26.170845
16.773669,100,26.229305
3.200385,8,26.234738
0.0,100,26.293967
19.236176,3,26.296499
14.247409,3,26.299203
0.0,100,26.358668
0.0,100,27.359415
7.68317,5,27.363382
0.0,100,27.421507
0.0,100,27.482508
3.430493,2,27.484323
0.0,100,27.54393
0.0,100,27.627863
1.265589,100,27.675251
3.240953,2,27.676592
0.0,100,27.729036
0.0,100,27.778167
0.0,100,27.840434
0.0,100,27.902645
2.036885,100,27.963146
0.0,100,28.020669
0.0,100,28.078814
5.89723,100,28.136707
0.0,100,28.194231
0.0,100,28.251428
22.1625,100,28.309447
0.075671,7,28.314343
2.589183,6,28.32963
0.894539,100,28.387002
0.0,100,28.444205
26.155997,3,28.446678
-0.609835,2,28.448393
12.030584,100,28.505666
21.194152,100,28.563245
8.10248,100,28.620818
21.194152,100,28.678209
0.0,100,28.735495
0.0,100,29.707057
0.0,100,29.765991
0.0,100,29.824139
0.0,100,29.882025
-1.0,4,29.884844
1.833494,4,29.887789
19.387717,100,29.945431
0.894539,100,30.003006
0.894539,100,30.061558
14.585249,100,30.119843
0.0,100,30.177637
2.284978,100,30.234941
15.639319,3,30.237628
0.671244,100,30.29701
3.994892,3,30.299439
38.365162,3,30.301866
14.015169,100,30.372511
0.993201,6,30.376714
0.0,100,30.435432
0.0,100,30.494369
0.0,100,30.552501
12.030584,100,30.611217
0.894539,100,30.67441
0.894539,100,30.732505
21.708316,6,30.736629
0.0,100,30.794611
0.0,100,30.852139
0.0,100,31.796668
24.358616,100,31.856347
0.762957,100,31.91571
0.0,100,31.975006
31.009154,100,32.034346
15.639319,6,32.038596
2.266663,100,32.098219
0.0,100,32.15777
0.0,100,32.218331
2.266663,100,32.283762
7.166439,100,32.341807
0.0,100,32.399364
0.0,100,32.457
0.0,100,32.516259
0.0,100,32.614576
0.0,100,32.663408
0.598326,3,32.66541
3.240953,2,32.666782
3.496324,2,32.668124
0.465345,100,32.729195
38.212033,4,32.732477
4.248802,100,32.791303
18.159278,3,32.793749
19.713754,22,32.807405
6.643318,100,32.866831
0.0,100,32.926239
10.162288,3,32.928658
14.248101,100,32.988446
24.358616,100,33.047627
0.894539,100,34.03013
3.496324,2,34.032148
0.421825,4,34.035199
0.0,100,34.09494
0.0,100,34.154343
17.763561,3,34.156805
6.0319,4,34.159818
13.447217,5,34.163445
0.0,100,34.222583
26.155997,4,34.225662
0.0,100,34.285393
1.933098,100,34.345364
0.762957,100,34.405448
0.0,100,34.467883
7.215896,100,34.529652
0.0,100,34.586155
5.89723,100,34.643723
0.0,100,34.700807
19.371193,100,34.75795
0.0,100,34.815299
4.200842,3,34.817885
0.0,100,34.889613
0.0,100,34.947338
0.0,100,35.004781
0.0,100,35.062377
0.0,100,35.121489
0.0,100,35.179388
0.0,100,35.237281
-1.0,2,35.239363
15.639319,10,36.196503
14.873863,100,36.255131
0.0,100,36.31248
3.504417,2,36.314341
1.784298,100,36.373476
7.135998,100,36.431226
9.678282,4,36.434414
0.0,100,36.492083
0.894539,100,36.550024
0.0,100,36.60762
0.0,100,36.665782
0.0,100,36.723222
23.188559,3,36.725725
0.0,100,36.783441
-1.0,1,36.784613
0.0,100,36.842147
31.397311,4,36.845215
23.682643,4,36.848272
0.0,100,36.907104
19.236176,3,36.909552
6.643318,100,36.967649
0.0,100,37.025197
0.0,100,37.082961
0.0,100,37.14067
0.0,100,37.199145
-1.0,5,37.202928
0.0,100,37.26339
0.894539,100,37.340461
3.430493,3,37.343374
0.671244,100,37.401471
0.0,100,38.387484
12.128732,100,38.447395
0.0,100,38.500756
-1.0,1,38.501658
2.266663,100,38.550481
0.0,100,38.599292
0.0,100,38.648123
39.038096,4,38.653141
0.894539,100,38.712607
0.0,100,38.771989
0.0,100,38.830972
0.0,100,38.890339
4.455888,100,38.950482
0.0,100,39.01031
0.0,100,39.070525
0.770012,100,39.130536
0.904489,100,39.190547
25.129018,3,39.193014
0.45085,100,39.25245
0.762957,100,39.311467
35.883481,4,39.314537
0.762957,100,39.374122
0.0,100,39.432986
6.875938,100,39.492252
0.0,100,39.55232
0.0,100,39.611756
28.688519,5,39.615746
0.0,100,39.705846
4.455888,100,39.766289
0.0,100,40.735096
0.0,100,40.795558
16.377959,100,40.855709
0.0,100,40.914733
3.430493,2,40.916594
34.216941,3,40.919025
3.430493,2,40.920792
0.0,100,40.980293
12.128732,100,41.039558
0.0,100,41.100643
38.806927,100,41.159762
14.247409,3,41.16248
0.0,100,41.232601
0.0,100,41.291208
0.0,100,41.349727
38.022952,6,41.354315
1.933098,100,41.411939
2.266663,100,41.470493
14.583731,100,41.528235
3.324021,2,41.53009
5.328408,5,41.53367
44.488504,5,41.537209
0.0,100,41.598069
28.333029,7,41.603369
18.159278,4,41.606605
0.712618,100,41.67045
3.496324,2,41.672575
2.86481,2,41.674412
22.927698,3,41.67703
4.455888,100,41.73892
0.0,100,41.801139
23.682643,7,41.806324
0.0,100,41.889889
0.0,100,41.951801
0.0,100,42.962175
49.365852,100,43.025979
0.0,100,43.089829
7.68317,10,43.099804
7.68317,4,43.103345
0.0,100,43.161072
3.504417,2,43.162798
25.642501,3,43.165141
4.455888,100,43.225679
11.507121,3,43.228078
0.0,100,43.285351
0.0,100,43.343847
3.430493,2,43.345704
0.770012,100,43.403464
0.0,100,43.461334
0.0,100,43.519519
