#{"t_start": 1745974950.853868, "env_id": "None"}
r,l,t
-0.249507,3,0.019949
1.490179,100,0.076538
0.0,100,0.132929
0.0,100,0.188895
0.0,100,0.244694
0.0,100,0.300533
0.0,100,0.356852
7.477754,100,0.414419
3.484142,100,0.470428
0.0,100,0.526096
0.0,100,0.581933
13.218088,100,0.637614
9.29916,100,0.693838
-0.249507,5,0.697174
0.0,100,0.75307
8.099957,100,0.808908
0.0,100,0.864999
1.429748,100,0.922934
0.0,100,0.981322
0.0,100,1.038042
0.477043,40,1.061032
-1.0,49,1.088919
0.0,100,1.144864
20.439427,100,2.097493
0.0,100,2.153844
0.0,100,2.210408
0.0,100,2.266526
0.0,100,2.322528
0.0,100,2.378619
-1.0,10,2.384838
0.0,100,2.440865
0.0,100,2.498421
21.063926,100,2.554543
-0.227344,2,2.556228
0.0,100,2.61584
0.702862,100,2.671749
1.479112,100,2.727717
13.802683,100,2.783588
0.0,100,2.841103
0.894539,100,2.897078
0.0,100,2.953573
0.0,100,3.012351
17.090493,100,3.069614
0.0,100,3.126231
0.0,100,3.182198
0.0,100,4.130247
0.0,100,4.186964
0.0,100,4.243457
0.0,100,4.299444
-1.0,5,4.302755
0.0,100,4.358956
33.439678,99,4.415387
37.304253,100,4.471689
22.343798,100,4.527757
2.474978,14,4.536139
0.0,100,4.592206
0.0,100,4.684171
0.0,100,4.730284
0.0,100,4.776928
0.0,100,4.823997
0.0,100,4.870613
4.826852,100,4.936968
13.449438,100,4.994949
0.0,100,5.054032
13.348789,100,5.110348
4.5481,100,5.167107
0.0,100,5.223616
20.723703,100,5.280632
0.894539,100,5.339328
0.0,100,5.395401
14.015169,100,5.452008
0.0,100,5.507894
0.865667,100,6.454031
0.403906,100,6.511439
0.0,100,6.567726
17.068235,100,6.623868
0.0,100,6.680198
0.0,100,6.736015
0.0,100,6.79219
13.245838,100,6.84884
0.0,100,6.904895
0.0,100,6.961187
0.0,100,7.020288
0.0,100,7.076651
0.0,100,7.133253
4.616489,100,7.191235
12.61997,100,7.247764
0.0,100,7.306329
0.0,100,7.362828
0.0,100,7.432089
12.157638,100,7.488449
0.0,100,7.5446
0.0,100,8.510452
0.0,100,8.567325
1.090367,100,8.62364
15.849381,100,8.681356
28.96216,100,8.739378
0.0,100,8.795969
0.0,100,8.852346
14.778753,100,8.908687
0.0,100,8.965261
0.0,100,9.021877
0.0,100,9.082683
0.712618,100,9.139395
0.0,100,9.195597
0.0,100,9.251703
33.439678,81,9.297623
0.0,100,9.353671
0.0,100,9.40992
0.0,100,9.468402
0.712618,100,9.524942
4.616805,100,9.58333
0.0,100,9.629808
0.0,100,9.676278
0.0,100,9.722617
0.0,100,9.769042
4.034814,100,9.833929
0.0,100,9.890056
0.0,100,10.869368
0.0,100,10.926343
0.0,100,10.984209
11.335936,100,11.041183
0.0,100,11.097557
0.0,100,11.15426
0.0,100,11.211511
4.714541,100,11.268863
9.294432,100,11.326205
29.148343,100,11.383572
0.0,100,11.441449
0.0,100,11.504127
14.015169,100,11.561785
0.0,100,11.61914
0.0,100,11.67644
0.0,100,11.733392
0.0,100,11.790929
0.0,100,11.849493
0.0,100,11.925042
23.063358,5,11.92872
0.0,100,11.985048
5.18456,100,12.9481
0.0,100,13.004565
0.0,100,13.060884
0.0,100,13.117072
0.0,100,13.173827
0.0,100,13.230368
0.0,100,13.286709
9.640099,100,13.343393
0.0,100,13.40012
0.0,100,13.457632
