#{"t_start": 1745976186.2811408, "env_id": "None"}
r,l,t
0.0,100,0.074749
38.913391,17,0.085331
59.129071,31,0.103625
0.0,100,0.160702
56.4315,11,0.167674
-1.0,71,0.208208
7.35246,12,0.215728
0.0,100,0.273221
30.047235,5,0.276835
0.0,100,0.333785
9.857609,14,0.342671
48.69088,28,0.359323
2.86481,7,0.363878
-0.604175,82,0.410973
0.0,100,0.469712
5.200732,3,0.4721
54.427239,6,0.47628
39.167202,12,0.483753
4.947748,4,0.486781
0.904489,100,0.544576
58.242812,32,0.56356
0.0,100,0.621722
10.182868,100,0.681275
5.732283,4,0.684344
-1.0,46,0.712057
-0.243407,3,0.714449
-1.0,89,0.767246
5.994479,17,0.778027
22.923022,5,0.789744
0.0,100,0.850321
59.195875,12,0.858575
-1.0,2,0.86026
0.0,100,0.919299
0.904489,100,0.97803
0.0,100,1.039669
34.239177,11,1.047229
23.391893,11,1.054759
-1.0,21,1.067257
8.559684,6,1.071482
0.0,100,1.129109
3.354807,5,1.133528
7.743989,5,1.137167
4.806889,25,1.152217
10.070414,33,1.171775
37.1967,18,1.182807
0.404206,100,1.2409
39.297257,20,2.203814
1.274074,8,2.209272
0.0,100,2.269083
64.6898,8,2.274503
33.655129,11,2.281651
-1.0,24,2.296497
61.114697,26,2.31239
10.306086,100,2.370787
4.160189,3,2.373286
1.416144,55,2.406736
5.771623,12,2.416212
64.6898,4,2.421448
4.63272,100,2.480833
6.957654,13,2.489194
4.387831,6,2.493381
60.42242,45,2.520492
2.998261,3,2.522902
0.0,100,2.581189
6.756215,7,2.586594
0.908431,12,2.594938
54.427239,5,2.598732
0.0,100,2.6555
0.0,100,2.712733
0.0,100,2.769363
29.486548,14,2.778173
0.904489,100,2.835154
10.636143,11,2.843168
-0.604175,31,2.863446
61.72923,12,2.872078
0.0,100,2.930128
9.410594,7,2.935236
12.665744,5,2.938834
63.804208,6,2.942963
-1.0,29,2.959633
4.947748,4,2.96264
0.404206,100,3.019966
1.08077,6,3.024047
0.404206,100,3.080982
56.303582,4,3.084037
0.0,100,3.140826
18.987167,100,3.19779
60.126633,6,3.201954
0.0,100,3.258205
0.0,100,3.315198
10.971029,3,3.317844
-1.0,3,3.320131
0.0,100,3.382252
60.285281,12,3.390713
0.0,100,4.428116
9.178784,54,4.461566
10.636143,13,4.470165
3.417805,13,4.478501
5.438982,18,4.48997
0.864717,11,4.497722
0.0,100,4.560421
1.417674,16,4.571763
0.0,100,4.635712
-1.0,57,4.669601
63.33067,4,4.67298
57.672781,6,4.677553
7.696579,11,4.684862
7.297236,17,4.69569
0.756922,20,4.708547
3.681606,6,4.718232
1.416144,24,4.733345
-0.670258,3,4.735953
0.0,100,4.795171
5.42979,6,4.799961
0.6721,16,4.81061
15.042338,54,4.843316
0.0,100,4.905591
1.479607,6,4.910271
-1.0,58,4.944634
4.735468,13,4.953022
0.0,100,5.012349
20.004025,100,5.060365
4.985694,4,5.063035
59.390553,4,5.065568
3.792114,3,5.067446
41.668825,22,5.094768
0.44298,100,5.152653
66.686438,12,5.160382
6.99507,70,5.201084
0.0,100,5.258637
0.0,100,5.315289
3.560563,29,5.332577
1.449662,9,5.338477
-0.547781,61,5.37449
0.87378,5,5.378603
0.0,100,5.437496
4.286547,10,5.444098
19.258858,6,5.448286
1.417674,13,5.456324
3.189137,5,5.459883
4.387831,5,5.463408
65.889859,12,5.470937
10.430277,100,5.528235
9.775337,13,5.536309
-0.604175,84,5.585727
-0.243407,3,5.588007
1.382743,7,5.592534
1.457966,4,5.595486
58.823584,12,5.602993
0.0,100,5.663667
-0.214732,3,5.66594
4.041628,5,5.669482
38.53737,18,5.680358
2.998261,3,5.682585
23.039857,6,5.68668
0.809872,2,5.688356
61.264465,4,5.691293
0.0,100,5.748092
0.0,100,6.735062
0.0,100,6.79507
0.0,100,6.858882
-1.0,10,6.867185
0.0,100,6.927613
59.827635,12,6.935503
0.0,100,6.993545
0.117266,6,6.998023
1.449662,46,7.025286
0.0,100,7.083184
0.0,100,7.14091
37.627789,6,7.147461
0.0,100,7.208164
4.099781,7,7.213127
2.839858,4,7.216029
58.498329,5,7.234007
0.0,100,7.292735
9.178784,14,7.301775
0.0,100,7.36071
1.162363,2,7.362445
75.953622,14,7.37163
0.0,100,7.430411
4.206039,4,7.433442
33.655129,13,7.441591
4.429766,13,7.450519
8.467903,7,7.455606
63.572542,12,7.463273
0.115416,4,7.466224
0.0,100,7.526818
11.2954,4,7.530088
3.696305,3,7.532511
5.438982,10,7.539248
0.0,100,7.599823
0.0,100,7.660027
0.0,100,7.717933
0.0,100,7.775569
0.0,100,7.833723
55.315641,6,7.838031
0.0,100,7.895683
1.382743,3,7.897956
0.465345,100,8.842741
58.183379,7,8.847649
1.396205,16,8.857694
2.998261,3,8.860194
10.971029,5,8.863743
0.666764,6,8.867867
0.0,100,8.92525
15.913401,100,8.983338
0.0,100,9.041534
3.175832,2,9.043263
56.927794,17,9.053724
0.0,100,9.111154
2.687936,100,9.168752
0.0,100,9.226392
0.0,100,9.283555
56.079986,5,9.287182
4.985694,6,9.291355
9.733418,7,9.296104
0.376909,100,9.353652
11.625722,100,9.413462
-0.214732,2,9.415425
0.0,100,9.472694
0.0,100,9.529899
0.650347,34,9.549783
0.898281,5,9.553397
37.1967,14,9.562152
21.791128,9,9.568074
2.24599,13,9.576183
27.060105,11,9.58317
5.330553,100,9.640203
1.438989,11,9.647201
9.644247,9,9.653084
7.297236,16,9.66288
38.554669,10,9.679564
63.207473,10,9.686312
61.194459,6,9.690695
58.530443,9,9.696625
