#{"t_start": 1745976009.437886, "env_id": "None"}
r,l,t
2.975613,3,0.014138
-1.0,7,0.018893
6.138413,7,0.023783
0.0,100,0.081332
10.881607,3,0.083731
2.676711,24,0.098006
5.401197,18,0.108925
6.643486,39,0.131925
-0.308555,5,0.135455
2.488286,26,0.150832
7.500095,74,0.193736
4.962944,13,0.201804
29.751942,4,0.204738
2.266663,100,0.263034
0.0,100,0.320302
2.488286,12,0.32792
-1.0,37,0.349332
2.488286,35,0.369786
10.556426,9,0.37556
25.068613,6,0.379635
0.0,100,0.437162
-1.0,52,0.467276
3.442858,3,0.469586
44.036823,100,0.529329
-1.0,56,0.561921
2.509888,8,0.567301
5.556932,3,0.569648
0.0,100,0.630843
0.6721,23,0.645524
1.773221,20,0.657737
3.054939,2,0.659456
5.177636,4,0.662418
5.675954,84,0.711034
-1.0,56,0.743552
22.94137,8,0.748846
5.851521,24,0.763279
0.0,100,0.820723
2.488286,25,0.835446
3.681606,4,0.838341
6.730439,64,0.875566
24.706843,5,0.879213
0.0,100,0.936859
2.975613,2,0.938727
1.58081,100,1.01043
-0.852549,2,1.012902
-0.315307,18,1.024371
22.781339,18,1.035508
30.392794,13,1.043844
24.356635,84,1.092828
40.808625,4,1.0959
33.520908,5,1.099531
28.042767,3,1.101894
17.777902,10,1.1083
0.666764,79,1.154353
0.0,100,1.212386
-1.0,76,2.105391
0.0,100,2.163052
0.0,100,2.220818
0.0,100,2.278225
33.977699,5,2.281753
0.0,100,2.339043
2.975613,5,2.342504
40.641657,4,2.345451
-1.0,1,2.34646
43.029592,4,2.349415
2.998261,27,2.365841
-0.308555,4,2.368821
3.481208,2,2.370491
9.760863,86,2.42053
0.661081,58,2.454355
44.097912,3,2.456745
19.939171,3,2.459075
-1.0,23,2.472856
17.777902,34,2.49304
21.595052,29,2.510532
29.751942,3,2.512977
0.0,100,2.570826
5.760244,51,2.60464
15.903881,5,2.608189
-0.228446,19,2.619788
-0.319597,18,2.630825
5.401197,11,2.637813
3.237821,11,2.64477
10.423904,100,2.702529
6.912556,8,2.707974
1.201343,100,2.765641
0.0,100,2.822828
37.681783,3,2.825338
31.749182,6,2.829434
-1.0,12,2.836904
11.962346,100,2.894924
42.213046,6,2.899109
41.811299,27,2.915143
-0.173968,32,2.937746
6.362999,12,2.945594
5.990125,7,2.95043
20.241147,5,2.953959
0.676245,26,2.969484
0.0,100,3.026925
3.054939,3,3.029314
2.989274,2,3.030996
24.544645,22,3.044417
4.190852,5,3.047937
38.342331,3,3.050295
12.950327,43,3.075671
41.793961,3,3.078158
26.156213,26,3.093798
2.223418,20,3.105963
0.0,100,3.163618
6.643486,7,3.170559
6.682246,14,3.179408
13.781691,3,3.181806
0.0,100,3.239389
0.0,100,3.297155
28.850293,3,3.299616
0.0,100,4.212594
6.186167,41,4.236938
0.0,100,4.295796
2.839858,2,4.297516
3.726008,13,4.305655
0.0,100,4.362942
-0.308555,12,4.370441
0.0,100,4.427518
0.0,100,4.484605
-1.0,1,4.485635
7.12566,38,4.507956
0.0,100,4.564398
38.720834,3,4.566953
0.0,100,4.623572
6.186167,46,4.653895
0.0,100,4.737226
0.0,100,4.783591
3.249096,2,4.78504
0.0,100,4.832364
0.0,100,4.87999
0.0,100,4.946867
1.660316,100,5.004521
2.90716,4,5.007533
4.400714,100,5.064895
0.0,100,5.121815
-1.0,16,5.131226
0.0,100,5.188761
0.0,100,5.24639
0.0,100,5.305564
-1.0,42,5.330289
1.381956,2,5.332044
