#{"t_start": 1745975560.0230744, "env_id": "None"}
r,l,t
23.343482,100,0.078183
0.0,100,0.13668
0.894539,100,0.194429
10.430277,100,0.25258
19.704146,100,0.311597
0.894539,100,0.370484
0.0,100,0.42915
0.0,100,0.487724
4.060927,100,0.546297
19.93581,100,0.605248
0.0,100,0.662667
0.0,100,0.720558
0.0,100,0.777751
13.083144,100,0.836378
0.0,100,0.894426
16.571523,100,0.979316
3.295251,7,0.984631
20.952052,100,1.043434
0.0,100,1.102082
0.0,100,1.15959
0.0,100,1.21796
0.0,100,2.187416
2.266663,100,2.246921
0.0,100,2.305998
2.217016,100,2.365656
0.0,100,2.42436
1.421561,100,2.482204
27.551226,100,2.539755
41.733491,100,2.600513
0.908735,100,2.657419
-0.227775,12,2.664753
0.0,100,2.72316
0.0,100,2.781726
0.0,100,2.840233
7.835679,100,2.898882
0.0,100,2.957105
0.0,100,3.019677
0.0,100,3.078649
-0.198168,26,3.094249
0.0,100,3.151291
17.450058,20,3.163383
20.280469,100,3.219995
0.0,100,3.277147
-0.249507,64,3.314705
0.0,100,4.290097
0.353299,100,4.348335
0.772225,100,4.406441
42.376382,6,4.410672
0.0,100,4.468904
0.0,100,4.52657
-1.0,41,4.550329
0.0,100,4.607783
0.0,100,4.666751
0.0,100,4.724341
0.0,100,4.7822
0.0,100,4.856002
0.0,100,4.90355
0.0,100,4.950957
0.777561,100,4.998384
0.0,100,5.04574
15.560059,100,5.116433
0.0,100,5.173721
0.0,100,5.230305
0.381946,100,5.287539
0.0,100,5.344213
19.335793,100,5.401146
0.0,100,5.458233
0.0,100,5.515441
6.80612,100,5.5727
0.0,100,5.629426
0.0,100,5.686931
0.0,100,6.702412
0.0,100,6.760048
0.0,100,6.817771
0.0,100,6.875974
7.858029,100,6.933449
41.050519,100,6.9909
1.421561,100,7.048768
0.0,100,7.111053
0.894539,100,7.16826
36.065891,67,7.206859
0.0,100,7.264187
14.362435,9,7.270038
17.416057,100,7.329182
0.0,100,7.386056
0.0,100,7.443631
40.000865,31,7.462665
0.618052,100,7.521649
11.576052,3,7.524211
25.113556,100,7.583415
0.0,100,7.64257
1.490179,100,7.703993
20.151446,25,7.720245
28.25542,100,7.780739
0.592925,100,7.840292
0.712618,100,8.891778
41.924377,100,8.950206
1.479112,100,9.013142
19.41305,100,9.076404
0.0,100,9.136867
