#{"t_start": 1745975773.9122505, "env_id": "None"}
r,l,t
0.0,100,0.082362
0.0,100,0.147615
0.0,100,0.212602
1.409371,10,0.219695
0.0,100,0.283112
0.0,100,0.347118
0.0,100,0.411054
20.747991,100,0.474791
0.0,100,0.536749
0.0,100,0.594189
0.0,100,0.651255
0.0,100,0.708476
0.0,100,0.765323
0.0,100,0.822765
0.0,100,0.880037
19.077959,100,0.937476
0.0,100,0.994459
2.409371,100,1.051578
0.0,100,1.127354
20.747991,100,1.184638
40.593651,66,1.222755
0.0,100,2.283545
0.0,100,2.347889
0.0,100,2.411851
0.0,100,2.476318
0.0,100,2.540007
0.0,100,2.597634
0.0,100,2.655578
37.076515,68,2.695798
6.640588,100,2.76386
0.0,100,2.824237
12.404894,100,2.885871
0.904489,100,2.946082
0.0,100,3.00508
0.0,100,3.063854
0.0,100,3.122242
0.0,100,3.187231
21.78428,100,3.246049
0.0,100,3.305995
0.0,100,3.364676
0.0,100,3.423182
0.0,100,3.481526
0.0,100,4.466686
0.0,100,4.523592
0.0,100,4.58438
0.0,100,4.641809
0.0,100,4.699034
0.0,100,4.755921
0.0,100,4.812825
3.562676,3,4.815263
36.535369,5,4.818731
5.386979,100,4.877394
0.0,100,4.934915
0.0,100,5.019176
0.0,100,5.06846
0.0,100,5.119602
2.409371,100,5.170382
0.0,100,5.220656
0.0,100,5.293986
3.850386,100,5.356694
0.0,100,5.422534
3.054033,2,5.424948
0.0,100,5.487138
0.0,100,5.549816
0.0,100,5.612653
21.167243,100,5.675452
11.149367,4,5.678965
0.0,100,5.743852
21.78428,100,5.806073
0.0,100,5.867696
0.905539,100,5.929463
3.850386,100,7.042462
0.905539,100,7.104575
0.703824,100,7.166603
0.0,100,7.228701
0.0,100,7.291356
39.402209,100,7.354063
0.0,100,7.417727
0.703824,100,7.482118
0.0,100,7.54013
0.0,100,7.597723
39.050474,7,7.602632
0.0,100,7.660604
0.0,100,7.717947
0.0,100,7.775287
0.0,100,7.83272
0.0,100,7.89027
3.530753,2,7.892005
0.0,100,7.948786
3.36982,2,7.950514
0.0,100,8.023642
0.0,100,8.081243
0.0,100,8.138159
3.850386,100,8.195135
3.34027,32,8.213902
3.560845,100,9.169507
3.007927,2,9.171382
20.374775,100,9.229669
0.0,100,9.287832
0.0,100,9.350402
3.36982,2,9.352185
0.713154,100,9.411064
7.726686,100,9.4696
20.447551,100,9.527611
0.0,100,9.586762
0.0,100,9.64702
20.049759,100,9.706012
0.0,100,9.76446
42.05985,6,9.768673
0.0,100,9.835421
3.37474,2,9.83726
19.553419,100,9.896007
0.0,100,9.95447
0.0,100,10.012822
0.0,100,10.071543
6.726686,41,10.096526
0.0,100,10.155714
0.0,100,10.269313
2.0,100,10.317466
0.0,100,10.365972
0.0,100,10.415167
0.0,100,10.463796
0.0,100,10.524846
0.0,100,10.583918
-1.0,88,11.555648
0.0,100,11.614328
2.006052,61,11.650772
7.726686,100,11.709662
0.0,100,11.767078
-1.0,2,11.771914
1.409371,51,11.801404
36.535369,5,11.804906
0.0,100,11.862998
3.37474,2,11.864759
3.36982,2,11.866469
1.209092,3,11.868741
0.0,100,11.926492
3.37474,2,11.928314
18.510894,100,11.986536
0.0,100,12.044722
0.0,100,12.105202
3.562676,5,12.109533
0.0,100,12.172764
2.28474,100,12.235792
0.0,100,12.298183
3.530753,2,12.300395
19.624294,100,12.36346
22.20715,45,12.390634
3.530753,2,12.392366
3.054033,3,12.407051
20.612163,100,12.469439
7.215006,100,12.528936
0.0,100,12.591598
0.0,100,12.653054
0.0,100,12.713779
0.0,100,12.777429
0.455426,100,13.763406
0.0,100,13.821916
0.0,100,13.882363
18.510894,100,13.943589
0.0,100,14.003908
-1.0,23,14.018191
0.0,100,14.079075
0.0,100,14.140309
0.0,100,14.201099
0.0,100,14.26152
0.0,100,14.323202
1.373647,71,14.366858
0.0,100,14.427913
0.904489,100,14.489192
38.774355,7,14.494173
22.20715,49,14.524695
0.0,100,14.585681
-1.0,37,14.625926
19.077959,100,14.68684
3.34027,40,14.711604
18.922092,100,14.772593
0.904489,100,14.832883
20.939649,100,14.893394
3.007927,2,14.895178
20.541752,85,14.947185
1.409371,4,14.950191
0.0,100,16.000451
0.0,100,16.061965
19.553419,100,16.123597
7.12415,100,16.185218
3.34027,7,16.190224
0.0,100,16.251433
18.510894,100,16.312775
0.0,100,16.37462
1.741389,100,16.429633
0.0,100,16.479346
0.0,100,16.528718
0.0,100,16.578322
0.0,100,16.627619
0.0,100,16.689826
0.0,100,16.750255
0.0,100,16.810582
0.0,100,16.87106
25.24608,50,16.902009
39.050474,3,16.904586
0.0,100,16.968969
0.0,100,17.030372
2.533154,100,17.091651
-1.0,97,17.153285
