#{"t_start": 1745976435.2588382, "env_id": "None"}
r,l,t
0.086411,10,0.025569
0.0,100,0.083885
2.941477,6,0.087959
0.0,100,0.145855
7.500478,7,0.15063
4.32371,3,0.153029
0.0,100,0.210593
0.0,100,0.269449
0.0,100,0.327622
0.0,100,0.388417
17.936787,21,0.401358
1.794584,10,0.407848
3.619688,2,0.409537
0.0,100,0.467578
-1.0,44,0.493433
0.0,100,0.552903
27.717553,8,0.558271
8.388221,9,0.564326
18.587167,67,0.604787
0.0,100,0.662748
0.0,100,0.727683
15.93187,19,0.740301
0.0,100,0.803111
0.935646,15,0.81263
77.958598,13,0.820983
-1.0,22,0.834575
14.33147,9,0.840628
35.489378,4,0.843721
0.0,100,0.902768
0.0,100,0.962085
12.982579,5,0.965852
24.025323,9,0.971898
46.515115,39,0.995455
0.0,100,1.054767
25.582865,36,1.076748
2.815259,2,1.078506
61.95714,4,1.081597
0.0,100,1.140387
30.178728,32,1.159816
28.016849,7,1.164672
0.0,100,1.22361
3.740058,24,1.238668
10.338774,9,1.244686
0.0,100,2.21979
32.227335,5,2.223662
0.192906,10,2.230224
54.810824,9,2.236256
8.535219,12,2.244101
-0.243407,2,2.245848
2.870409,48,2.274816
5.09586,5,2.278545
0.0,100,2.337462
11.561939,31,2.356579
0.676549,12,2.364319
10.77106,100,2.423472
0.0,100,2.482788
-1.0,1,2.483836
36.869881,28,2.500984
0.0,100,2.560209
10.12797,100,2.619592
0.0,100,2.67874
0.0,100,2.738151
27.04006,11,2.745383
7.185421,7,2.754127
76.268555,26,2.770408
4.797267,10,2.777038
-1.0,95,2.833534
38.907199,11,2.840857
0.0,100,2.90022
32.275566,10,2.906837
3.214094,3,2.909252
0.0,100,2.968497
0.0,100,3.027533
0.0,100,3.08707
22.25271,23,3.101436
2.175317,3,3.103855
2.21637,100,3.163352
42.70947,13,3.171727
23.126035,19,3.183816
0.0,100,3.243125
28.754028,17,3.253956
0.0,100,3.312912
18.154317,10,3.319579
7.36399,19,3.331534
4.300899,20,3.343984
0.0,100,3.403449
2.827224,2,4.311502
2.890656,4,4.315014
3.500459,2,4.316892
0.0,100,4.376326
0.0,100,4.441015
