#{"t_start": 1745975945.5414646, "env_id": "None"}
r,l,t
4.762998,11,0.02349
25.328192,3,0.025905
15.912365,100,0.082638
0.0,100,0.140552
22.982955,6,0.144699
8.783896,15,0.153866
0.0,100,0.210831
20.909652,100,0.267557
35.864279,56,0.299735
0.0,100,0.356664
15.93187,8,0.362089
8.731479,100,0.418547
30.859062,6,0.422688
-1.0,1,0.423722
3.429601,2,0.425399
1.625052,100,0.482069
0.904489,100,0.542636
32.095901,86,0.591431
4.941626,12,0.599215
0.0,100,0.655689
-1.0,44,0.68089
0.0,100,0.737577
69.631684,97,0.792764
1.114224,100,0.849667
3.934536,100,0.906555
51.292078,10,0.912966
48.859783,100,0.971665
8.414838,100,1.029663
0.509028,8,1.034982
30.859062,23,1.048705
7.019992,10,1.055086
0.0,100,1.111521
14.642108,9,1.117284
23.011628,35,1.138593
4.558697,4,1.14151
0.916231,47,1.168868
42.457735,12,1.176386
7.98366,100,2.101048
8.222316,100,2.158147
-1.0,11,2.164849
3.609521,3,2.167079
0.0,100,2.224378
0.0,100,2.281003
0.0,100,2.33738
0.0,100,2.39381
44.109071,5,2.397388
3.195387,4,2.400204
2.267741,100,2.457524
1.438989,64,2.49449
3.237964,2,2.496238
59.556417,4,2.49929
3.429601,2,2.505639
-1.0,46,2.532254
4.231716,4,2.535124
17.980752,11,2.542212
3.739271,2,2.543907
3.453206,2,2.545554
1.17223,10,2.551939
0.0,100,2.608387
46.551661,12,2.615936
1.479607,27,2.632041
0.0,100,2.688444
-1.0,50,2.717091
-1.0,1,2.718115
-1.0,67,2.756558
8.609822,6,2.760679
3.195387,2,2.76233
0.0,100,2.819048
14.4433,13,2.827137
1.267741,91,2.878924
1.479112,100,2.935534
-1.0,9,2.941257
43.072923,5,2.944822
20.219555,100,3.005183
40.894223,69,3.045847
-1.0,93,3.102242
0.0,100,3.171304
0.0,100,3.231212
-1.0,19,3.244981
25.775119,4,3.248394
-1.0,1,3.249529
0.0,100,4.190402
0.0,100,4.248185
-1.0,1,4.249247
0.0,100,4.305862
27.411118,100,4.362706
10.113477,19,4.374249
-1.0,24,4.388394
0.0,100,4.444872
-0.521483,5,4.448272
7.877341,6,4.452375
55.971654,5,4.455928
0.0,100,4.513015
15.069132,5,4.516563
1.916231,100,4.573716
27.557403,4,4.576732
-1.0,94,4.630061
3.782186,2,4.68842
-1.0,1,4.689164
0.0,100,4.736217
0.0,100,4.783185
0.0,100,4.830675
0.0,100,4.899564
20.61065,100,4.957035
42.283093,45,4.983537
56.586494,14,4.992177
0.0,100,5.049252
21.632499,23,5.062972
0.0,100,5.119687
20.888468,100,5.177459
61.323004,18,5.188889
1.666764,100,5.246422
3.429601,2,5.248183
3.521534,3,5.250433
15.93187,20,5.262707
0.110793,4,5.265665
-1.0,26,5.280891
3.429601,2,5.282571
0.0,100,5.33927
25.605201,68,5.378234
31.100676,74,5.421036
1.251337,90,5.482211
94.082576,51,5.516247
30.263266,6,6.443077
0.0,100,6.50339
18.173465,15,6.512981
0.0,100,6.570154
29.814663,37,6.592421
0.0,100,6.649431
30.859062,6,6.656333
-1.0,4,6.659216
1.187786,76,6.702951
18.173465,10,6.709427
0.0,100,6.765995
-1.0,2,6.767631
0.0,100,6.825241
-1.0,2,6.827048
57.558316,10,6.833635
3.429601,2,6.835352
23.011628,79,6.880872
10.887717,5,6.884504
-1.0,6,6.88842
15.069132,13,6.896518
53.345028,26,6.912123
21.632499,31,6.930511
0.0,100,6.987328
10.928118,100,7.04465
55.153478,8,7.050044
4.745774,8,7.055285
0.0,100,7.117776
-1.0,8,7.123399
-1.0,1,7.124458
0.0,100,7.181463
17.230361,12,7.189291
9.644247,8,7.194683
0.0,100,7.25183
51.287949,81,7.30091
1.267741,64,7.346165
7.019992,10,7.353987
0.0,100,7.417407
37.677285,13,7.426584
40.293754,100,7.489748
44.958669,5,7.49363
0.489226,100,7.555888
14.006355,100,7.632859
60.834669,15,7.642555
0.0,100,8.548175
8.414838,100,8.605747
13.322803,11,8.61287
0.894539,100,8.671786
26.124036,31,8.690886
0.0,100,8.747957
22.21893,46,8.774697
-1.0,16,8.786081
0.0,100,8.843199
28.001239,5,8.846806
6.433704,2,8.848521
