#{"t_start": 1745976074.538657, "env_id": "None"}
r,l,t
64.689873,7,0.019912
11.086096,2,0.021672
17.853023,35,0.04214
12.249497,100,0.098613
1.404278,100,0.154428
29.566614,11,0.161249
0.0,100,0.216874
7.145236,12,0.224301
11.866159,4,0.227222
2.447269,3,0.2295
3.3786,6,0.233552
3.515064,3,0.235837
66.767734,6,0.239878
16.291755,100,0.29612
-1.0,1,0.297116
0.398723,100,0.352995
19.850613,6,0.357115
65.210571,6,0.361209
6.225777,10,0.367577
7.307296,100,0.423463
32.096966,43,0.448243
-1.0,1,0.449243
2.173839,100,0.505746
2.023509,2,0.507436
2.447269,3,0.509733
0.0,100,0.565822
20.535661,18,0.580083
32.444276,26,0.595297
0.0,100,0.650896
7.077832,7,0.65554
2.975613,2,0.657196
2.327256,3,0.659421
0.0,100,0.71538
3.347997,24,0.729473
11.086096,2,0.731127
1.417674,83,0.777761
13.832309,41,0.801306
28.548446,10,0.807645
17.088577,24,0.821845
32.712319,13,0.829848
27.32518,6,0.833939
32.450549,4,0.836901
63.552396,100,0.893966
1.382912,2,0.895648
0.0,100,0.951593
29.4996,6,0.955659
13.832309,45,0.981511
62.240353,4,0.984487
19.873641,6,0.988578
0.0,100,1.044703
0.0,100,1.100573
20.336003,7,1.105204
4.152765,3,1.10751
11.991493,3,1.109804
0.0,100,1.165916
0.0,100,2.096629
0.0,100,2.153502
30.657786,10,2.160193
34.017203,9,2.166044
17.853023,56,2.199273
3.246176,2,2.200979
0.693065,100,2.257949
0.0,100,2.314783
18.049658,19,2.326217
20.336003,6,2.330357
36.251742,10,2.336755
0.0,100,2.393358
0.0,100,2.450526
0.0,100,2.506921
45.497176,4,2.50988
3.479158,2,2.511561
0.0,100,2.56809
6.415679,3,2.570418
16.766708,6,2.574488
28.548446,8,2.579679
4.607606,100,2.635655
8.033389,6,2.639738
0.0,100,2.696251
0.0,100,2.752169
62.562243,4,2.755105
31.651138,55,2.786229
33.668056,37,2.807885
64.36213,4,2.81085
19.873641,5,2.814336
3.0369,5,2.81776
3.442858,2,2.819434
1.645651,100,2.875334
6.865716,7,2.879969
19.89312,6,2.883944
4.488486,7,2.888532
43.986564,10,2.894785
31.651138,74,2.936424
22.289761,7,2.941025
12.943785,5,2.944524
0.0,100,3.000002
0.0,100,3.062445
0.0,100,3.118546
6.97647,13,3.126765
3.417721,65,3.163333
31.85941,42,3.18734
1.382912,2,3.189023
-1.0,1,3.190004
0.0,100,3.245727
28.999874,4,3.248828
23.700788,6,4.10587
0.0,100,4.163011
13.782781,4,4.166013
71.037525,4,4.169021
13.471802,15,4.178247
0.0,100,4.235198
63.522023,6,4.239318
36.251742,17,4.249775
36.857459,100,4.306787
23.84914,9,4.312596
58.498346,7,4.31728
59.424891,33,4.336582
28.999874,4,4.339557
1.416144,72,4.381018
27.32518,16,4.391
4.903258,7,4.395687
1.498667,2,4.397361
12.995207,100,4.454355
1.51836,66,4.492733
5.278701,6,4.49686
3.816125,9,4.502693
0.0,100,4.558874
0.0,100,4.614918
5.981647,2,4.630978
0.0,100,4.677512
0.0,100,4.724368
0.0,100,4.771095
3.125326,2,4.772395
11.086096,3,4.783584
11.086096,2,4.7853
4.453362,8,4.790604
0.0,100,4.84722
23.43251,8,4.852471
64.460919,4,4.855452
6.186475,14,4.86412
1.404278,100,4.921243
0.0,100,4.977759
20.647084,88,5.028105
0.0,100,5.08435
3.539641,7,5.089002
3.515064,3,5.091318
13.32499,15,5.100516
0.0,100,5.156618
23.850893,4,5.159543
6.415679,3,5.161819
3.657,2,5.1658
27.49059,14,5.174631
1.417674,77,5.218664
32.096966,47,5.245567
15.67704,4,5.248801
6.801134,5,5.252256
19.762991,58,5.285262
36.127561,4,5.288228
3.681606,3,5.290524
0.0,100,5.346836
12.506562,9,5.352656
0.0,100,5.408841
0.0,100,6.333998
0.0,100,6.391952
16.950134,6,6.396229
13.471802,35,6.417799
13.318189,100,6.476194
12.943785,4,6.479241
0.0,100,6.537712
0.0,100,6.595726
1.173839,47,6.623625
12.261233,5,6.627264
-1.0,78,6.672647
1.818886,90,6.727715
16.37248,4,6.733707
4.453362,5,6.73753
0.0,100,6.799284
0.200877,23,6.814177
11.086096,2,6.815993
19.154759,5,6.819847
0.0,100,6.881218
1.170029,74,6.927427
15.606288,100,6.98928
-0.234248,77,7.037406
2.673252,99,7.098854
22.289761,17,7.110294
47.754161,82,7.161289
40.137668,3,7.163813
0.789544,28,7.181912
0.0,100,7.241614
5.280228,42,7.266605
0.0,100,7.32478
8.033389,15,7.334271
3.657,2,7.336004
14.660003,3,7.338385
23.501668,17,7.349089
19.608965,7,7.353867
57.91587,10,7.360377
64.689873,7,7.365142
3.479158,2,7.366878
0.0,100,7.425045
