#{"t_start": 1745975504.0045187, "env_id": "None"}
r,l,t
0.189518,35,0.042504
0.189518,18,0.055386
8.280035,100,0.116226
6.730464,100,0.17377
3.91829,50,0.203117
0.0,100,0.259447
12.712615,100,0.315943
0.0,100,0.372219
0.0,100,0.428632
7.8311,100,0.485085
8.280035,100,0.541426
0.0,100,0.598434
0.0,100,0.655172
16.387149,10,0.661884
19.357294,53,0.693843
4.448265,12,0.702309
39.86653,9,0.708848
0.0,100,0.766747
0.0,100,0.824329
0.0,100,0.881255
10.440724,100,0.938132
2.550239,10,0.944871
0.0,100,1.024987
0.0,100,1.082392
-1.0,17,1.092782
0.0,100,1.149313
0.0,100,1.237502
4.96847,100,2.23532
-1.0,22,2.248942
0.0,100,2.306627
0.0,100,2.36411
10.440724,100,2.42156
7.214835,100,2.48007
8.280035,100,2.537625
31.100382,94,2.592785
0.449765,100,2.654262
0.0,100,2.719352
25.378163,100,2.800434
17.882599,100,2.859268
0.457148,100,2.916888
26.637773,6,2.921068
0.0,100,2.97794
0.0,100,3.035188
1.962129,16,3.045428
15.505481,18,3.056521
0.760065,100,3.11859
3.404398,73,3.161709
2.766786,100,3.219646
0.0,100,3.276926
0.760065,100,3.334734
0.0,100,3.393856
39.86653,36,3.415116
-1.0,40,4.427312
54.720451,100,4.489808
-0.304889,14,4.499125
-1.0,7,4.503945
40.603301,5,4.507773
0.0,100,4.568827
10.090729,100,4.631406
0.0,100,4.698339
0.0,100,4.758694
0.673607,100,4.816943
0.0,100,4.882897
17.329758,100,4.941256
21.705908,100,5.02777
-1.0,1,5.028737
0.0,100,5.076596
0.0,100,5.124269
0.0,100,5.175882
8.280035,100,5.246361
0.0,100,5.304863
2.866439,17,5.315388
7.8311,100,5.372447
0.725287,100,5.429909
3.73603,100,5.487118
4.222216,100,5.544865
13.789055,19,5.556608
5.444027,5,5.560266
5.444027,5,5.56381
7.853073,100,5.621407
-1.0,10,5.627873
30.131496,21,5.640696
55.549716,36,5.662203
2.703796,23,5.67625
15.505481,15,5.685402
0.0,100,5.742328
2.550239,32,5.761469
-1.0,1,5.762545
2.924613,100,5.820274
0.189518,36,5.841543
26.637773,13,5.849627
-1.0,4,5.852578
0.0,100,6.891183
12.665548,100,6.951131
5.444027,3,6.953785
-1.0,13,6.962042
0.0,100,7.020913
13.332161,100,7.079877
0.725287,100,7.140512
5.444027,14,7.150296
5.839099,100,7.212656
41.796118,9,7.218793
0.0,100,7.276574
0.105414,10,7.283344
14.55193,100,7.341118
-0.304889,56,7.374004
0.987917,12,7.381642
7.63783,25,7.396798
8.280035,100,7.462241
4.96847,100,7.53005
0.760065,100,7.587883
-1.0,32,7.606928
0.0,100,7.664302
0.0,100,7.721577
14.59852,23,7.735428
3.404398,11,7.742716
0.0,100,7.799618
20.357294,100,7.857722
0.0,100,7.915677
-1.0,2,7.917437
-1.0,13,7.925548
-1.0,54,7.956657
0.0,100,8.013847
18.457767,100,9.031213
