#{"t_start": 1745976242.3851197, "env_id": "None"}
r,l,t
57.352848,4,0.017191
34.867676,5,0.020921
17.513295,4,0.023914
18.393139,6,0.028109
28.941756,4,0.031089
0.0,100,0.088489
26.722002,18,0.099472
-0.248347,4,0.102324
0.0,100,0.159577
12.747509,6,0.163721
10.626911,5,0.167387
3.978213,2,0.169115
0.086411,3,0.171447
0.0,100,0.228563
34.057916,11,0.235528
31.17978,7,0.240263
0.0,100,0.297364
19.160136,12,0.305079
16.555276,3,0.307431
0.259189,4,0.310414
3.971561,3,0.312737
7.459863,3,0.315069
6.771914,100,0.372689
37.930683,100,0.430019
0.0,100,0.487257
56.018749,5,0.490917
5.898812,15,0.500194
0.0,100,0.557089
6.061083,4,0.560094
7.925877,4,0.563081
4.913433,17,0.573501
0.156918,3,0.575871
4.186422,3,0.578214
3.315439,100,0.637216
18.877956,22,0.65065
0.894539,100,0.707738
10.573501,100,0.765079
3.624531,2,0.766771
5.888395,13,0.774868
11.17389,6,0.779001
32.091827,100,0.836105
35.348842,18,0.846968
0.576145,6,0.851031
13.723947,39,0.874091
65.704719,23,0.88796
4.549195,7,0.892659
37.361505,5,0.89725
3.923016,3,0.899782
56.976921,4,0.902826
11.00038,5,0.906426
31.17978,7,0.911189
11.523943,3,0.91357
1.466682,14,0.93304
16.007657,8,0.938549
60.273766,5,0.942215
-1.0,5,0.945769
11.48845,8,0.951206
57.60091,13,0.959785
10.073757,3,0.961992
19.782315,100,1.020603
58.253806,23,1.034809
4.152765,3,1.037198
0.894539,100,1.095768
-1.0,1,1.096824
0.086411,8,1.102207
14.270251,4,1.105253
7.925877,4,1.108298
4.186422,3,1.110657
-0.521483,3,1.112942
26.461415,9,1.118898
5.265738,100,1.176221
0.904489,100,1.233319
59.841772,4,1.236313
22.634672,17,2.099014
3.657,2,2.101056
29.485819,5,2.104784
0.0,100,2.161492
13.723947,27,2.177468
27.410221,9,2.183285
0.0,100,2.24118
58.978617,12,2.248722
51.074346,8,2.253963
58.924118,63,2.29024
31.439584,16,2.300159
26.48484,24,2.314728
48.522869,11,2.321777
13.878752,4,2.324792
0.0,100,2.381311
15.014782,13,2.38941
0.0,100,2.446045
19.873411,6,2.450319
4.873159,10,2.456715
0.0,100,2.513345
0.0,100,2.570023
7.477793,13,2.578152
10.073757,3,2.580513
14.221715,15,2.589705
0.0,100,2.646541
34.602144,6,2.650708
1.377318,5,2.654267
23.76414,4,2.657244
10.052838,5,2.660798
3.923016,6,2.664849
23.656696,25,2.67973
4.16178,6,2.683774
0.0,100,2.740285
0.0,100,2.796988
0.0,100,2.853359
58.253806,27,2.869314
39.831062,38,2.897977
39.551463,4,2.901147
3.249096,2,2.902822
7.226873,6,2.906946
0.0,100,2.963649
5.927676,31,2.981825
10.296561,80,3.028016
0.0,100,3.084654
0.0,100,3.141601
4.954975,4,3.144632
10.919688,46,3.17137
58.611614,23,3.18512
26.48484,12,3.192698
24.662665,4,3.195712
3.895139,3,3.198111
17.756878,6,3.202293
2.354509,100,3.259296
0.0,100,4.148951
3.483714,2,4.150817
3.978213,2,4.152551
3.642694,2,4.15425
-1.0,14,4.163076
56.617306,30,4.181233
3.296078,2,4.182945
23.072371,100,4.242048
19.160136,12,4.250068
0.0,100,4.308927
4.16178,12,4.316628
45.177831,9,4.322853
1.547179,25,4.338268
21.161165,19,4.350027
