#{"t_start": 1745975298.0359356, "env_id": "None"}
r,l,t
0.870112,100,0.075774
3.057819,47,0.107241
-0.6897,9,0.113567
0.0,100,0.171501
0.0,100,0.229851
0.0,100,0.28771
-0.341982,14,0.296609
0.0,100,0.354418
3.849407,4,0.357344
-1.0,4,0.360182
0.0,100,0.418399
1.457375,12,0.426103
0.0,100,0.483991
-0.770906,29,0.50145
-1.0,8,0.506904
13.092974,11,0.520696
0.0,100,0.582575
-0.555233,27,0.600999
0.0,100,0.660398
0.0,100,0.719556
-0.759234,6,0.723816
6.390263,8,0.728897
0.0,100,0.785439
0.0,100,0.841821
13.332292,3,0.844189
0.229094,100,0.900556
-0.668291,21,0.913146
-0.770906,4,0.916121
0.0,100,0.972779
0.0,100,1.029732
7.662849,6,1.033792
1.836566,14,1.042248
1.457375,3,1.044523
0.0,100,1.10729
0.0,100,1.165291
0.0,100,1.221699
8.824136,12,1.229045
4.339594,100,2.204983
0.0,100,2.262023
-0.555233,13,2.2702
0.0,100,2.328216
0.0,100,2.386621
4.4162,37,2.408602
-0.555233,28,2.425454
0.0,100,2.483519
3.707565,8,2.488741
3.057819,7,2.493603
-0.724478,29,2.511273
-1.0,26,2.526701
4.849407,100,2.584602
-0.724478,49,2.613497
0.0,100,2.671384
0.0,100,2.736086
4.849407,100,2.794424
-0.6897,19,2.806184
-0.724478,29,2.82365
-0.724478,67,2.863005
13.156743,53,2.894221
0.0,100,2.952598
-0.6897,5,2.956213
-0.668291,85,3.005261
3.707565,11,3.012181
3.400442,100,3.069981
4.339594,100,3.128332
0.0,100,3.186455
-0.555233,26,3.202046
12.496618,100,3.259572
3.057819,17,3.270624
5.869669,2,3.272369
0.0,100,3.336477
1.836566,24,3.351336
14.309582,7,3.355974
4.339594,100,4.292851
-0.724478,26,4.308901
-0.555233,13,4.31718
7.500487,100,4.374723
0.0,100,4.43203
1.014708,100,4.489291
-0.724478,16,4.499247
0.0,100,4.555856
0.0,100,4.612453
-0.759234,6,4.622015
0.0,100,4.678942
0.444767,100,4.735334
0.0,100,4.814996
0.0,100,4.861813
0.0,100,4.908864
0.0,100,4.95619
0.0,100,5.003856
-0.770906,10,5.019557
-0.6897,7,5.024162
-0.668291,30,5.041918
-0.668291,18,5.052787
-0.668291,24,5.066991
13.092974,8,5.072066
9.783542,8,5.077138
0.0,100,5.133831
0.0,100,5.190137
-1.0,14,5.198799
4.368439,9,5.204623
0.0,100,5.261057
-0.6897,7,5.265623
14.309582,11,5.272405
0.0,100,5.329006
0.0,100,5.385896
-0.759234,6,5.39004
0.0,100,5.446515
3.44079,100,5.508898
8.741844,100,5.565906
3.400442,100,5.624211
8.741844,100,6.576531
0.0,100,6.634186
2.795836,23,6.647984
3.514129,3,6.650263
10.80462,5,6.653718
0.0,100,6.710568
3.707565,8,6.71563
3.442858,7,6.720124
-0.6897,24,6.734284
-0.668291,8,6.739319
0.0,100,6.795897
0.870112,100,6.853418
-0.6897,43,6.87881
-0.668291,14,6.88744
0.0,100,6.945532
0.0,100,7.003699
3.057819,9,7.009748
7.662849,3,7.01205
-0.668291,27,7.033886
0.0,100,7.092572
0.0,100,7.150604
-0.724478,8,7.15602
3.057819,7,7.160777
-0.555233,22,7.174293
0.0,100,7.232557
0.0,100,7.290228
1.014708,100,7.348501
-1.0,5,7.352045
14.309582,31,7.370528
0.0,100,7.428854
7.500487,100,7.487068
-0.668291,4,7.48999
-0.6897,28,7.506875
-1.0,18,7.518127
0.0,100,7.581713
13.332292,2,7.583935
13.332292,30,7.602046
4.339594,100,7.660174
-0.6897,10,7.666737
0.0,100,7.725462
-0.724478,14,7.734295
14.331811,6,7.738339
0.0,100,8.732656
0.0,100,8.790937
8.741844,100,8.849993
14.331811,4,8.853058
13.092974,7,8.857734
0.0,100,8.914844
16.06158,100,8.971105
-0.759234,18,8.981996
3.479158,25,8.996605
-0.555233,71,9.036893
0.0,100,9.093094
13.092974,22,9.105991
2.224649,3,9.108212
7.741844,6,9.112106
13.332292,37,9.133663
14.309582,24,9.147725
-1.0,28,9.164114
-0.759234,7,9.168788
-0.30138,11,9.175774
-0.724478,24,9.189944
13.156743,26,9.205291
-0.724478,22,9.223725
0.0,100,9.279932
2.845586,4,9.282755
-0.668291,8,9.288055
-0.668291,5,9.291396
14.331811,8,9.296525
0.0,100,9.353015
6.390263,2,9.354712
0.444767,100,9.411884
0.0,100,9.468457
-0.6897,3,9.47071
0.0,100,9.527603
0.0,100,9.584083
0.0,100,9.64016
16.06158,100,9.699591
0.0,100,9.756635
0.259189,14,9.765143
6.390263,8,9.770232
0.0,100,9.819381
0.0,100,9.865658
10.03858,100,9.911963
0.0,100,9.958305
0.0,100,10.004577
-1.0,1,10.014849
8.088175,8,10.020282
-0.6897,26,10.035775
0.0,100,10.092888
0.0,100,10.149238
-0.555233,99,11.091586
-1.0,3,11.094117
-1.0,36,11.114985
-0.668291,71,11.155709
0.0,100,11.211749
-0.6897,20,11.223693
11.495837,4,11.226587
3.44079,100,11.285563
-0.6897,35,11.306055
-1.0,14,11.31447
7.741844,3,11.316771
0.259189,4,11.319603
-0.759234,20,11.331589
0.0,100,11.387836
0.0,100,11.444594
-0.770906,21,11.457146
-0.724478,10,11.463496
9.783542,11,11.470527
-1.0,6,11.47461
3.479158,16,11.484228
0.0,100,11.54154
-1.0,4,11.544366
5.4162,100,11.600921
11.813488,8,11.60608
3.707565,15,11.615119
3.707565,4,11.617985
0.0,100,11.674487
9.308363,7,11.679214
11.194455,2,11.681172
0.275522,100,11.737839
9.783542,2,11.73976
-1.0,4,11.753999
0.0,100,11.811074
0.0,100,11.868329
2.44079,2,11.870209
0.0,100,11.926911
19.057901,5,11.930538
16.06158,100,11.987144
3.057819,31,12.005713
-0.724478,9,12.011688
0.444767,100,12.068861
0.0,100,12.12545
7.741844,4,12.128482
-0.6897,7,12.133253
14.331811,4,12.136112
3.849407,7,12.140665
2.795836,22,12.153806
0.0,100,12.216217
0.444767,100,13.198233
0.0,100,13.257182
1.836566,4,13.260154
4.849407,100,13.3186
3.057819,14,13.327361
0.444767,100,13.38556
1.457375,11,13.392582
11.06847,7,13.397179
-0.724478,37,13.419547
0.0,100,13.477443
0.0,100,13.536692
-0.668291,24,13.551626
0.0,100,13.609543
-1.0,2,13.611268
0.0,100,13.668097
10.80462,5,13.671474
7.54851,56,13.703912
11.495837,10,13.710279
-0.759234,3,13.712671
4.849407,100,13.769974
7.206783,29,13.793096
13.156743,9,13.798919
0.0,100,13.855906
0.0,100,13.915515
-1.0,2,13.917397
-1.0,14,13.926194
7.54851,6,13.930298
-1.0,7,13.934871
0.0,100,13.994087
4.339594,100,14.053473
0.0,100,14.115395
-0.770906,50,14.145863
-0.668291,22,14.159207
-0.668291,23,14.173341
0.259189,34,14.193754
-0.6897,42,14.219345
0.0,100,14.277028
-0.759234,4,14.280191
0.944589,100,14.337369
-1.0,21,14.349859
3.057819,58,15.310031
17.592056,4,15.313281
7.54851,41,15.337445
-0.770906,36,15.358511
-0.724478,20,15.370721
0.0,100,15.428783
-0.6897,26,15.44445
-0.341982,22,15.457833
0.0,100,15.514876
-0.770906,31,15.533293
-1.0,1,15.534344
0.0,100,15.59196
0.0,100,15.649182
-1.0,21,15.661716
-0.30138,9,15.667645
0.0,100,15.748095
0.0,100,15.795228
0.444767,100,15.842411
0.0,100,15.889584
0.0,100,15.936706
0.0,100,15.995417
-0.668291,13,16.006035
-1.0,18,16.017581
7.206783,18,16.029146
11.813488,3,16.031561
-0.770906,28,16.049254
10.80462,6,16.053952
-0.770906,8,16.059791
2.795836,13,16.068586
0.0,100,16.128359
4.849407,100,16.185556
5.4162,100,16.244578
0.0,100,16.302299
-0.668291,10,16.314383
-1.0,13,16.322217
0.0,100,16.384305
-1.0,38,16.406538
-0.6897,17,16.416758
0.0,100,16.474962
7.206783,5,16.478382
-1.0,25,16.493615
-1.0,1,16.494642
-1.0,7,16.499217
-0.6897,45,16.525611
-1.0,11,16.532437
-0.759234,6,16.536656
2.795836,10,16.543306
0.0,100,16.601324
0.444767,100,16.659586
0.275522,100,16.717049
-0.770906,21,16.729753
0.0,100,17.666857
2.795836,51,17.696429
9.770679,7,17.70107
0.0,100,17.757828
0.0,100,17.81787
1.836566,19,17.829136
-1.0,22,17.841904
-0.668291,33,17.861096
0.0,100,17.917788
7.206783,4,17.920624
-0.668291,17,17.930742
0.444767,100,17.987179
-0.6897,36,18.00812
-1.0,16,18.02161
3.442858,13,18.029749
0.444767,100,18.086525
-0.724478,26,18.10181
-0.724478,19,18.113439
5.869669,7,18.117914
0.0,100,18.174243
0.444767,100,18.231264
0.444767,100,18.287704
0.0,100,18.344245
0.0,100,18.400319
8.824136,2,18.40201
-0.6897,5,18.405374
0.0,100,18.462068
12.496618,100,18.518347
0.944589,100,18.575388
-0.759234,3,18.577716
5.869669,4,18.58051
25.092735,2,18.589392
9.783542,4,18.59206
-0.770906,10,18.59847
-0.6897,5,18.601915
7.500487,100,18.658703
0.0,100,18.715113
5.869669,5,18.718548
3.849407,6,18.722571
3.707565,2,18.72425
0.275522,100,18.781528
11.163235,100,19.693007
2.845586,2,19.695273
11.495837,20,19.707329
3.057819,33,19.72654
0.0,100,19.783301
-1.0,43,19.807963
4.339594,100,19.86446
0.0,100,19.920654
0.275522,100,19.977332
2.795836,28,19.994044
-0.724478,38,20.016227
-0.668291,55,20.04836
3.849407,6,20.052412
0.0,100,20.110975
-0.668291,7,20.116531
-0.6897,51,20.149515
11.495837,3,20.152161
-1.0,11,20.159112
3.442858,90,20.211243
0.275522,100,20.267946
-1.0,11,20.282296
0.0,100,20.338607
0.0,100,20.395704
8.088175,56,20.428014
-0.759234,18,20.438844
-0.724478,37,20.460397
-0.759234,15,20.469579
0.444767,100,20.525892
-1.0,2,20.527486
16.06158,100,20.584137
-0.668291,25,20.599076
0.0,100,20.658697
0.0,100,20.711477
0.0,100,20.763911
0.0,100,20.817038
0.0,100,20.872199
0.944589,100,20.937924
0.0,100,21.007581
-0.770906,59,21.045689
3.442858,76,21.092811
0.0,100,21.15051
-1.0,1,21.151609
0.0,100,22.205598
5.869669,6,22.210209
-0.770906,55,22.246027
0.0,100,22.310778
-0.6897,53,22.345036
0.0,100,22.409394
3.514129,3,22.411885
5.869669,8,22.417452
-0.668291,50,22.449846
-0.759234,10,22.457503
-1.0,4,22.460486
14.092974,100,22.52767
-0.759234,17,22.539027
-0.668291,78,22.583282
2.44079,3,22.586607
0.0,100,22.642908
0.0,100,22.703288
-0.770906,10,22.71004
3.479158,28,22.726222
0.0,100,22.787713
-0.759234,11,22.796036
0.0,100,22.857469
4.707565,100,22.921945
0.0,100,22.98214
3.707565,23,22.996466
-1.0,11,23.003556
8.741844,100,23.066173
0.259189,29,23.084988
0.0,100,23.147238
-0.770906,36,23.170653
8.824136,34,23.193943
-1.0,6,23.198547
5.4162,100,23.261926
3.44079,100,23.320792
-1.0,4,23.331915
0.444767,100,23.390381
-1.0,8,23.395464
-0.770906,95,23.450446
13.092974,6,23.454502
4.849407,100,24.420516
0.0,100,24.477926
-0.724478,94,24.533454
0.444767,100,24.597922
0.0,100,24.668185
-0.770906,43,24.693378
0.0,100,24.75278
0.259189,34,24.772526
10.03858,100,24.829288
-0.759234,44,24.854911
9.308363,7,24.859484
0.444767,100,24.918876
0.275522,100,24.975601
4.339594,100,25.032126
18.230351,73,25.078491
-1.0,3,25.081172
-0.6897,58,25.129753
0.331709,100,25.190685
0.259189,22,25.207248
4.057819,100,25.269088
2.795836,38,25.293103
0.0,100,25.363295
14.309582,100,25.42798
0.0,100,25.48892
0.0,100,25.549619
3.442858,57,25.584795
0.0,100,26.570021
-0.6897,36,26.593268
5.4162,100,26.651901
0.0,100,26.710199
0.0,100,26.768258
0.0,100,26.858257
0.0,100,26.906878
0.0,100,26.95459
0.0,100,27.002377
0.0,100,27.049924
0.0,100,27.109814
3.479158,10,27.116246
5.4162,100,27.174295
-0.6897,49,27.203966
3.400442,100,27.265611
13.092974,8,27.271374
0.0,100,27.329025
25.092735,4,27.331983
5.4162,100,27.389628
9.783542,27,27.40562
1.457375,8,27.410957
-0.770906,14,27.419738
-0.6897,19,27.43136
13.332292,18,27.442267
13.092974,50,27.471355
-0.770906,31,27.489971
10.03858,100,27.548544
1.836566,24,27.563051
0.0,100,27.621141
0.0,100,27.679209
0.0,100,27.736788
18.324166,59,27.771685
18.324166,21,27.78482
0.0,100,27.854342
0.0,100,27.91265
0.0,100,27.970954
9.308363,6,27.975138
0.331709,100,28.930045
0.0,100,28.986762
4.964551,100,29.043671
-0.668291,80,29.089617
0.331709,100,29.14626
-0.759234,27,29.162223
3.479158,85,29.21075
3.707565,6,29.21477
-0.6897,9,29.220485
13.092974,11,29.227217
9.783542,9,29.232868
10.80462,3,29.235108
11.163235,100,29.291991
0.0,100,29.3486
0.944589,100,29.410084
0.0,100,29.468714
-1.0,2,29.470625
-1.0,87,29.522682
0.259189,2,29.525036
0.0,100,29.591976
0.275522,100,29.652641
9.783542,6,29.656987
0.0,100,29.71501
0.0,100,29.772666
10.163235,3,29.77509
0.0,100,29.833517
0.870112,100,29.891045
0.0,100,29.948724
3.514129,2,29.950617
8.088175,22,29.990794
0.331709,100,30.048148
-0.668291,67,30.087187
-0.668291,26,30.102714
-0.668291,15,30.111943
-0.724478,45,30.138298
0.0,100,31.168383
0.331709,100,31.227197
0.0,100,31.287847
0.0,100,31.34987
0.0,100,31.412752
0.0,100,31.475179
0.0,100,31.537211
-0.724478,57,31.574265
0.444767,100,31.639541
0.0,100,31.704964
11.496618,6,31.709408
0.0,100,31.771404
0.275522,100,31.834233
11.06847,79,31.884526
7.54851,63,31.924561
18.324166,17,31.936006
10.80462,2,31.93792
0.944589,100,32.027524
0.0,100,32.078303
0.0,100,32.128868
10.03858,100,32.179545
0.0,100,32.229992
13.092974,57,32.278872
8.088175,9,32.28562
0.0,100,32.345477
4.057819,100,32.405941
11.495837,2,32.408298
0.0,100,32.467044
3.057819,29,32.484396
-0.668291,52,32.514494
13.092974,10,32.520772
7.500487,100,32.57787
0.259189,3,32.580297
0.3103,100,32.644201
9.770679,24,32.658765
16.06158,100,33.599791
0.229094,100,33.658077
13.092974,36,33.680971
9.783542,28,33.698698
0.0,100,33.756155
1.836566,12,33.763683
-0.770906,86,33.813572
-1.0,5,33.81698
-1.0,64,33.853987
-1.0,13,33.868779
0.0,100,33.926632
0.0,100,33.984366
0.331709,100,34.042103
0.0,100,34.09944
5.869669,65,34.137175
0.0,100,34.19394
-0.759234,20,34.20596
3.479158,70,34.245782
6.390263,4,34.248633
0.275522,100,34.305292
0.0,100,34.362386
0.0,100,34.418639
0.0,100,34.474797
0.0,100,34.530929
3.707565,63,34.567405
7.741844,7,34.571965
0.0,100,34.63004
3.057819,96,34.684953
0.0,100,34.743331
0.0,100,35.732205
-0.668291,71,35.773318
0.0,100,35.829952
16.06158,100,35.886598
3.44079,100,35.943681
-1.0,57,35.976615
-0.759234,16,35.986723
-0.555233,10,35.993049
0.0,100,36.050468
12.818132,21,36.063186
1.457375,15,36.072405
3.795836,100,36.129395
3.44079,100,36.185755
13.156743,81,36.231811
11.06847,16,36.241459
-1.0,28,36.257794
-0.30138,29,36.274819
9.783542,9,36.280436
0.0,100,36.337555
0.0,100,36.394974
3.057819,88,36.446558
11.813488,6,36.450647
7.500487,100,36.507956
0.444767,100,36.56497
-0.724478,29,36.582437
11.163235,100,36.643622
3.849407,2,36.645651
14.331811,12,36.653223
0.0,100,36.712569
7.500487,100,36.811562
0.0,100,36.870684
0.0,100,37.907403
0.229094,100,37.965032
2.845586,2,37.966851
6.500487,6,37.970829
0.0,100,38.04575
0.0,100,38.092998
16.06158,100,38.140187
0.0,100,38.187196
0.0,100,38.235573
0.0,100,38.30403
9.308363,3,38.306568
1.836566,11,38.313444
-1.0,5,38.316733
0.0,100,38.373274
11.495837,5,38.376716
-0.6897,70,38.416714
0.0,100,38.473681
-1.0,2,38.475381
0.944589,100,38.53588
0.0,100,38.592729
0.0,100,38.657576
-1.0,10,38.664512
0.0,100,38.723937
0.275522,100,38.785404
0.0,100,38.847744
-0.770906,26,38.863289
-0.770906,98,38.919821
0.0,100,38.976771
-1.0,9,38.982524
0.0,100,39.039789
3.057819,3,39.042471
0.0,100,39.118878
0.0,100,39.176082
-0.770906,25,39.190968
2.795836,8,39.19625
7.54851,51,39.225355
0.0,100,39.282289
3.44079,100,39.338953
2.795836,28,39.355452
0.444767,100,40.321007
0.259189,32,40.340042
-0.341982,5,40.34367
0.0,100,40.400546
0.0,100,40.457254
0.0,100,40.513803
13.092974,2,40.515545
0.275522,100,40.573192
0.331709,100,40.630616
0.0,100,40.687403
1.836566,23,40.701014
8.206783,100,40.758038
6.500487,70,40.800278
-1.0,23,40.815455
0.0,100,40.872941
-0.759234,28,40.889809
7.54851,55,40.921673
0.229094,100,40.978689
2.795836,26,40.994384
0.944589,100,41.051816
0.0,100,41.133389
16.06158,100,41.191594
0.0,100,41.249406
3.44079,100,41.305849
-0.770906,67,41.344636
0.0,100,41.40342
4.057819,100,41.460374
3.057819,31,42.384857
