#{"t_start": 1745975159.4887135, "env_id": "None"}
r,l,t
36.31862,100,0.069522
0.0,100,0.125543
2.51895,100,0.181954
0.0,100,0.238251
8.209241,100,0.294973
10.009551,100,0.351258
87.782755,100,0.407871
3.834275,100,0.464189
3.783962,14,0.472832
0.91518,100,0.531031
16.300027,100,0.587431
3.883474,100,0.643445
33.552069,100,0.699363
3.834275,100,0.755367
0.45268,33,0.7744
9.80379,100,0.830846
0.682781,100,0.886967
6.257454,100,0.94927
0.0,100,1.011829
0.0,100,1.096508
0.0,100,1.160938
0.0,100,1.225582
0.0,100,2.425414
0.91518,100,2.487337
0.0,100,2.549735
32.357389,24,2.565835
0.0,100,2.62934
1.249329,11,2.637696
0.0,100,2.705312
0.901673,100,2.767761
3.644825,27,2.785552
0.0,100,2.846967
0.0,100,2.908615
-0.01433,6,2.921802
-1.0,38,2.945766
61.481397,15,2.955849
0.0,100,3.01682
8.306131,100,3.078674
-1.0,1,3.080975
0.0,100,3.148156
0.0,100,3.213758
0.0,100,3.275285
9.421116,100,3.337896
11.396077,11,3.345598
22.966667,17,3.356856
0.105414,2,3.358685
0.0,100,3.420719
64.607108,5,3.424866
11.77596,12,3.432867
0.0,100,3.494473
0.0,100,3.556355
30.882792,22,3.571012
35.734658,45,3.599874
0.0,100,3.665856
52.501931,100,4.7137
0.0,100,4.775838
0.0,100,4.836502
0.0,100,4.898149
92.524778,14,4.907834
1.83574,100,4.970015
16.604996,100,5.031536
0.0,100,5.093462
11.213559,100,5.156007
0.0,100,5.220191
8.174575,100,5.281764
0.0,100,5.331635
0.0,100,5.381737
10.755044,100,5.431715
10.179551,2,5.433355
36.715404,10,5.45346
0.0,100,5.514688
-0.521483,3,5.517248
30.222519,100,5.581622
0.0,100,5.647628
0.0,100,5.7108
0.801173,100,5.779312
0.0,100,5.843861
1.08621,100,5.912906
0.0,100,5.974206
3.783962,8,5.979985
41.936948,16,5.99103
0.0,100,6.058096
0.302481,44,6.087773
0.0,100,6.152621
0.0,100,7.190562
0.0,100,7.248872
42.368233,10,7.256113
0.356127,100,7.314845
-1.0,1,7.315933
23.602668,100,7.376733
0.0,100,7.435162
5.730464,13,7.443472
30.64756,16,7.453761
0.0,100,7.511564
0.390165,100,7.569836
9.318825,100,7.627256
15.880078,100,7.687652
41.655808,100,7.745167
0.0,100,7.809773
0.0,100,7.867833
62.237009,100,7.929986
37.508522,81,7.976228
0.0,100,8.032989
