#{"t_start": 1745975882.3636472, "env_id": "None"}
r,l,t
0.0,100,0.076938
0.0,100,0.135096
0.0,100,0.195624
3.570819,3,0.197957
0.0,100,0.255473
0.0,100,0.312973
4.206039,14,0.321615
4.203981,7,0.326253
0.0,100,0.383894
3.541993,56,0.417038
0.0,100,0.475272
0.0,100,0.533446
0.894539,100,0.591681
0.0,100,0.648932
7.31696,65,0.686881
0.0,100,0.744476
7.876504,26,0.759935
0.0,100,0.817434
7.31696,69,0.857531
0.0,100,0.91558
0.0,100,0.990755
4.318005,100,1.048947
0.894539,100,1.106597
3.570819,2,1.108303
0.0,100,1.166822
0.0,100,1.224023
0.0,100,2.188028
0.0,100,2.245645
0.0,100,2.303668
0.0,100,2.361325
0.0,100,2.420081
0.0,100,2.478427
0.0,100,2.536125
0.0,100,2.593797
0.194154,50,2.623479
3.570819,2,2.625204
3.541993,20,2.643612
10.306086,100,2.702959
0.0,100,2.760558
4.203981,11,2.767485
0.0,100,2.82467
0.0,100,2.882047
0.0,100,2.939167
3.321543,30,2.957029
0.0,100,3.014768
4.203981,3,3.017227
0.0,100,3.076622
0.0,100,3.134213
10.306086,100,3.193346
4.892539,100,3.25645
0.0,100,3.313756
0.0,100,4.308715
0.0,100,4.365327
0.0,100,4.421817
7.705016,70,4.464341
0.676253,64,4.501109
3.321543,24,4.515284
0.371535,91,4.56658
0.371535,10,4.572833
3.541993,31,4.590983
4.203981,25,4.605551
3.471841,2,4.607208
3.570819,3,4.609395
0.0,100,4.66539
10.306086,100,4.721628
0.0,100,4.777957
0.0,100,4.842924
0.0,100,4.889097
0.0,100,4.935399
0.0,100,4.983359
0.0,100,5.034459
10.306086,100,5.109652
3.570819,2,5.111949
0.0,100,5.18148
0.0,100,5.251423
4.203981,4,5.254424
4.206039,4,5.257338
0.0,100,5.328509
0.0,100,5.38869
0.194154,68,5.434975
-0.177471,96,5.493859
4.273323,27,5.511833
3.570819,2,5.514144
4.318005,100,5.580964
0.0,100,5.656259
0.0,100,5.715938
-0.177471,66,5.76441
0.194154,81,6.745453
0.0,100,6.804223
0.0,100,6.861734
0.0,100,6.952871
10.306086,100,7.012209
4.203981,4,7.016154
7.133152,31,7.03463
0.194154,69,7.076622
7.31696,28,7.094215
1.109049,100,7.154537
4.203981,4,7.157742
4.774857,100,7.216225
3.471841,4,7.219161
0.0,100,7.28504
0.0,100,7.343354
0.0,100,7.401881
0.0,100,7.460474
3.570819,2,7.462251
4.318005,100,7.5198
4.318005,100,7.577578
7.133152,7,7.582401
0.0,100,7.640578
0.0,100,7.705719
4.203981,4,7.708792
7.31696,78,7.75552
10.306086,100,7.814538
4.820889,100,7.87278
0.0,100,7.9321
10.306086,100,7.99119
0.0,100,8.983831
0.894539,100,9.041895
3.471841,4,9.044792
4.203981,5,9.048489
4.273323,36,9.06975
0.513853,68,9.109303
0.0,100,9.167214
3.471841,3,9.169507
0.0,100,9.227336
0.0,100,9.285559
0.0,100,9.343946
0.0,100,9.402429
1.109049,100,9.461814
0.894539,100,9.524242
3.696305,100,9.583251
7.31696,17,9.594042
0.0,100,9.652817
0.0,100,9.712007
7.133152,95,9.768723
0.0,100,9.826941
3.541993,45,9.853804
1.109049,100,9.912271
0.676253,50,9.942153
3.471841,6,9.946166
0.0,100,10.054548
0.635219,100,10.113183
0.0,100,10.163091
0.0,100,10.212199
0.0,100,10.260488
0.0,100,10.332322
4.206039,4,10.335416
0.0,100,10.393341
0.0,100,11.331647
7.31696,17,11.342756
0.0,100,11.401838
8.133152,100,11.461539
3.541993,43,11.487555
4.892539,100,11.54923
7.31696,69,11.590932
0.0,100,11.650425
4.134197,100,11.724231
7.31696,25,11.740445
0.0,100,11.799447
0.0,100,11.857757
3.471841,3,11.860065
0.0,100,11.921151
1.109049,100,11.990416
0.0,100,12.049143
0.0,100,12.108326
3.471841,3,12.110723
3.541993,11,12.117878
7.31696,19,12.129767
0.0,100,12.188397
0.0,100,12.247259
3.541993,10,12.253881
0.0,100,12.313923
7.31696,24,12.32985
1.109049,100,12.39343
0.0,100,12.45176
7.876504,10,12.45858
0.0,100,12.517162
0.0,100,13.503856
0.0,100,13.565293
7.31696,31,13.584491
0.0,100,13.641974
7.31696,40,13.665653
10.306086,100,13.722768
7.740433,56,13.755132
7.31696,48,13.783368
3.471841,3,13.785646
3.321543,39,13.808174
7.31696,32,13.827419
7.876504,57,13.862209
3.541993,21,13.875234
3.321543,21,13.887822
-0.177471,32,13.906582
7.31696,28,13.923221
0.0,100,13.98059
7.31696,72,14.022359
-1.0,60,14.056791
0.194154,69,14.096716
7.31696,31,14.115239
3.321543,19,14.126651
10.306086,100,14.184013
-0.177471,67,14.224001
7.31696,43,14.260395
0.194154,64,14.297854
0.0,100,14.356626
7.133152,47,14.385265
7.31696,53,14.416189
4.892539,100,14.473118
0.0,100,14.530646
0.0,100,14.587492
10.306086,100,14.644567
3.570819,5,14.647983
0.0,100,15.617225
0.194154,100,15.674661
0.0,100,15.732488
-0.177471,28,15.749037
0.0,100,15.806574
4.134197,100,15.865979
3.570819,2,15.867868
7.31696,8,15.873379
3.471841,2,15.875092
10.306086,100,15.932102
7.31696,9,15.938046
7.31696,25,15.953037
0.0,100,16.034441
0.0,100,16.081176
0.0,100,16.127674
0.0,100,16.17408
0.73214,100,16.22057
3.321543,45,16.257547
0.0,100,16.315315
3.541993,4,16.318566
4.203981,36,16.341098
3.321543,18,16.352691
0.0,100,16.412307
0.0,100,16.474469
3.471841,3,16.479619
3.321543,9,16.485491
7.31696,76,16.529517
0.0,100,16.586985
0.0,100,16.644175
-1.0,92,16.697576
-0.177471,41,16.721615
3.570819,3,16.723899
-1.0,39,16.746738
0.0,100,16.803559
0.894539,100,16.860808
0.194154,35,16.881363
0.0,100,16.941417
3.321543,42,16.973567
0.0,100,17.031064
4.206039,4,17.034016
4.203981,3,17.03634
4.203981,8,17.041549
7.133152,44,17.937472
0.0,100,17.99507
-0.177471,42,18.031538
3.321543,27,18.04911
0.0,100,18.106449
7.31696,21,18.119749
4.892539,100,18.177528
-1.0,12,18.184913
7.876504,80,18.231951
0.0,100,18.289578
7.133152,86,18.339787
-0.177471,38,18.362025
4.203981,3,18.364375
1.109049,100,18.422467
7.31696,9,18.428755
-1.0,99,18.48636
0.0,100,18.551459
0.0,100,18.609305
7.133152,6,18.613623
4.134197,100,18.671097
3.696305,23,18.684717
-1.0,9,18.690312
0.0,100,18.747259
4.892539,100,18.804419
4.203981,5,18.807949
7.31696,19,18.819604
-0.177471,36,18.840956
3.471841,2,18.84268
3.570819,5,18.846095
7.31696,29,18.863362
7.133152,77,18.90747
0.0,100,18.964603
1.109049,100,19.022177
1.109049,100,19.079735
0.0,100,19.137152
7.876504,6,20.035434
3.570819,3,20.039299
-1.0,1,20.040318
-0.177471,17,20.050866
4.203981,4,20.053821
3.570819,4,20.056666
7.31696,18,20.067981
-1.0,5,20.071363
0.0,100,20.129875
0.676253,68,20.169789
3.471841,2,20.171489
7.31696,17,20.182024
3.321543,6,20.186096
4.206039,5,20.189619
0.0,100,20.247534
3.696305,8,20.252673
0.0,100,20.310332
-0.177471,75,20.354445
1.109049,100,20.411759
7.133152,61,20.447469
3.696305,5,20.450876
7.31696,14,20.463267
3.570819,4,20.466096
3.541993,10,20.472442
10.306086,100,20.529591
-1.0,6,20.53346
7.31696,17,20.544033
0.0,100,20.601123
0.0,100,20.65838
0.0,100,20.715393
7.31696,15,20.724665
7.31696,16,20.734569
1.109049,100,20.791762
-1.0,5,20.795117
-1.0,53,20.825632
3.541993,6,20.829689
0.0,100,20.887103
0.0,100,20.94434
0.0,100,21.007692
0.0,100,21.054568
0.0,100,21.100909
4.892539,100,21.147201
0.0,100,21.202482
3.570819,6,21.21858
0.513853,57,21.251519
7.31696,21,21.264176
3.696305,34,21.283989
-1.0,12,21.291287
-0.177471,64,21.328104
7.31696,33,21.34753
0.0,100,21.404345
10.306086,100,21.461019
0.0,100,22.390495
10.306086,100,22.448159
3.471841,2,22.449922
0.0,100,22.507565
7.31696,16,22.517622
3.321543,16,22.527475
0.0,100,22.585353
4.203981,4,22.588328
3.471841,3,22.59066
