#{"t_start": 1745976368.4611037, "env_id": "None"}
r,l,t
7.024237,7,0.018101
7.641663,13,0.027028
5.57972,10,0.034552
10.507591,8,0.040357
7.112462,7,0.045464
8.328389,4,0.048658
0.0,100,0.113292
11.442632,22,0.128176
4.848499,27,0.146418
0.5142,4,0.149634
0.0,100,0.21379
-0.545522,4,0.217206
4.828738,100,0.281973
-0.32578,10,0.289408
0.0,100,0.354102
2.428995,4,0.357851
0.183268,11,0.365628
7.606024,8,0.371614
0.0,100,0.43654
28.977003,38,0.461604
0.0,100,0.522035
3.420347,5,0.525635
0.0,100,0.583361
0.645032,16,0.593428
0.894539,100,0.651323
3.209199,2,0.653078
24.814748,50,0.683913
4.087142,100,0.748082
2.088604,100,0.811902
48.702812,3,0.814623
-1.0,1,0.815752
3.685473,18,0.828339
1.280617,2,0.830169
33.97756,16,0.841032
-0.191884,18,0.853238
0.449596,4,0.85643
1.989618,100,0.921364
-0.545522,3,0.924069
10.699138,3,0.926531
0.5142,4,0.92973
6.011443,3,0.932305
27.255032,12,0.940764
-1.0,1,0.941846
-0.260518,11,0.949675
0.183268,11,0.957272
0.783618,53,0.992018
-0.32578,3,0.994968
0.0,100,1.059925
12.878567,28,1.078848
8.328389,11,1.086511
0.0,100,1.153123
29.040727,15,1.163718
28.147953,7,1.168819
7.631155,14,1.178485
31.824328,3,1.181093
6.412331,3,1.197342
8.065904,100,1.260097
3.453206,2,1.262867
17.672223,12,1.271493
0.0,100,1.336581
0.0,100,2.409459
3.507859,2,2.411508
4.122802,3,2.414164
6.65081,70,2.460688
10.785314,5,2.464571
3.385716,5,2.468692
13.345257,100,2.534731
0.0,100,2.60135
-1.0,1,2.602582
20.507079,17,2.614146
0.0,100,2.680907
9.593993,2,2.682945
3.429601,2,2.68481
7.26557,10,2.692132
18.187643,100,2.756404
0.0,100,2.814966
3.624531,2,2.81676
0.0,100,2.875036
4.848499,23,2.889256
11.066275,3,2.891631
0.0,100,2.949528
3.237964,2,2.951308
3.717965,14,2.960161
37.722829,3,2.962598
0.783618,21,2.975378
21.125189,100,3.033935
1.040006,74,3.077466
4.530635,17,3.088182
25.266319,7,3.092882
7.648315,17,3.103403
