#{"t_start": 1745975204.283089, "env_id": "None"}
r,l,t
-0.524828,59,0.044284
0.0,100,0.100638
0.406615,100,0.157122
0.0,100,0.213741
0.0,100,0.27009
1.752313,100,0.32661
0.475172,100,0.383152
0.0,100,0.439526
-1.0,1,0.440551
0.0,100,0.496802
0.725123,7,0.501473
0.0,100,0.558167
0.0,100,0.614628
2.697788,12,0.622177
-1.0,28,0.638397
-0.027262,54,0.66917
-1.0,25,0.683645
1.752313,100,0.740551
0.725123,5,0.743933
0.0,100,0.800514
-1.0,83,0.847287
2.697788,12,0.854875
0.0,100,0.91168
1.752313,100,0.968091
0.0,100,1.024199
0.0,100,1.093663
0.0,100,1.150367
0.0,100,2.076058
1.752314,7,2.080768
0.0,100,2.137236
0.757803,100,2.193844
1.752313,100,2.250367
-1.0,1,2.251377
0.757803,100,2.307712
0.725123,2,2.309397
0.757803,100,2.36594
0.0,100,2.422403
0.0,100,2.479211
2.697788,10,2.485556
0.0,100,2.542263
0.0,100,2.598719
0.0,100,2.655256
0.0,100,2.717705
0.0,100,2.775195
0.0,100,2.832008
-1.0,1,2.833053
0.0,100,2.890767
0.475172,100,2.947125
0.0,100,3.003247
2.697788,16,3.012932
0.0,100,3.069441
1.752314,12,3.076848
1.881168,100,3.133562
0.0,100,3.189945
0.0,100,4.173614
0.502363,4,4.176915
0.0,100,4.236637
0.0,100,4.294582
0.0,100,4.35212
2.697788,12,4.359904
0.0,100,4.417512
0.0,100,4.476737
0.0,100,4.537685
0.0,100,4.599546
1.72505,9,4.605792
0.0,100,4.667352
-1.0,2,4.669157
0.0,100,4.74945
1.752313,100,4.800302
0.0,100,4.851246
0.0,100,4.902636
0.0,100,4.952667
1.752313,100,5.025766
0.0,100,5.089847
-1.0,1,5.091091
0.757803,100,5.152588
0.725123,3,5.155048
0.475172,100,5.217714
2.697788,8,5.223393
0.0,100,5.284812
0.0,100,5.346485
-1.0,1,5.347575
1.752313,100,5.409123
0.475172,100,5.470755
0.502363,3,5.473301
-1.0,1,5.474403
1.725123,100,5.536876
0.0,100,5.598282
0.757803,100,5.659836
-1.0,1,5.660939
0.0,100,6.628246
0.0,100,6.685729
0.0,100,6.742736
0.0,100,6.799358
0.0,100,6.856716
1.72505,26,6.871903
0.0,100,6.92808
0.0,100,6.984972
2.697788,27,7.000732
0.0,100,7.057887
1.72505,20,7.069908
0.757803,100,7.126274
1.752313,100,7.1833
-0.027262,82,7.229736
2.697788,32,7.24838
0.502363,10,7.254732
0.0,100,7.311971
0.0,100,7.36863
0.0,100,7.425411
-1.0,79,7.479325
0.0,100,7.536474
0.0,100,7.594044
0.0,100,7.651461
-0.027262,63,7.687267
0.0,100,7.744034
0.0,100,8.641697
0.725123,3,8.644091
0.725123,5,8.647894
0.0,100,8.704031
0.0,100,8.760535
0.0,100,8.816437
0.475172,100,8.872666
0.0,100,8.928645
0.0,100,8.984464
0.0,100,9.040253
2.697788,14,9.048882
1.752314,13,9.056844
-1.0,1,9.057835
0.0,100,9.113713
0.0,100,9.177143
0.0,100,9.233279
0.725123,3,9.235661
0.0,100,9.291665
0.0,100,9.348084
1.752314,14,9.356652
0.0,100,9.412436
0.0,100,9.468422
0.0,100,9.524006
-0.027262,70,9.563558
1.881168,100,9.619776
0.0,100,9.683497
0.0,100,9.729731
0.0,100,9.775889
-1.0,1,9.776642
0.0,100,9.8228
0.436755,2,9.825863
0.757803,100,9.882083
0.0,100,9.937928
1.752314,5,9.941396
-1.0,1,9.943243
0.0,100,10.846652
2.697788,39,10.869383
-1.0,1,10.870452
1.881168,100,10.926781
0.0,100,10.983079
0.0,100,11.038975
0.0,100,11.094547
0.0,100,11.150315
1.72505,5,11.154179
1.881168,100,11.210184
2.697788,18,11.225413
0.0,100,11.281398
-1.0,1,11.282489
-0.027262,69,11.321426
0.0,100,11.377624
0.502363,10,11.383941
2.697788,30,11.40145
1.752313,100,11.457238
-1.0,1,11.458301
0.0,100,11.514295
0.757803,100,11.570628
1.881168,100,11.627224
0.0,100,11.683308
0.0,100,11.74426
0.0,100,11.799984
0.0,100,11.855898
0.0,100,11.911872
0.0,100,11.967442
0.0,100,12.916355
0.0,100,12.972891
0.0,100,13.028725
0.0,100,13.084904
0.0,100,13.140401
0.757803,100,13.196112
1.752313,100,13.252058
0.0,100,13.308023
2.697788,14,13.316558
0.0,100,13.372262
0.0,100,13.427988
-0.027262,45,13.453652
0.0,100,13.509357
0.0,100,13.571549
1.752313,100,13.631931
0.0,100,13.690387
0.725123,6,13.694832
0.0,100,13.752129
0.0,100,13.807953
0.0,100,13.866613
0.725123,3,13.869056
2.697788,9,13.874903
0.0,100,13.931066
0.757803,100,14.006014
0.0,100,14.947982
-0.215596,43,14.973269
0.0,100,15.029417
0.0,100,15.086307
0.0,100,15.14221
0.0,100,15.199533
0.0,100,15.256711
0.0,100,15.36759
0.0,100,15.42057
0.0,100,15.472807
0.0,100,15.523605
0.0,100,15.574655
-0.215596,86,15.630801
2.697788,47,15.66153
-1.0,88,15.716955
2.697788,38,15.741462
2.697788,28,15.759562
1.72505,7,15.764656
-1.0,1,15.765754
1.72505,15,15.77577
0.725123,4,15.778964
-1.0,3,15.781334
-1.0,1,15.782492
-1.0,43,15.809482
0.0,100,15.871948
0.0,100,15.936869
0.0,100,15.99948
1.752314,25,16.015928
-1.0,1,16.017084
0.0,100,16.078788
1.752313,100,16.140718
0.0,100,16.204067
0.0,100,16.260403
1.752314,4,16.263367
0.0,100,16.319708
-0.027262,92,16.371899
1.752313,100,16.430812
1.752313,100,17.521729
-1.0,1,17.522876
0.0,100,17.579287
0.0,100,17.635145
0.0,100,17.69121
1.72505,14,17.699734
2.697788,12,17.70723
0.0,100,17.763214
0.0,100,17.819273
-1.0,74,17.861449
-1.0,76,17.904286
0.0,100,17.960713
0.0,100,18.01665
-1.0,37,18.037814
-0.027262,6,18.041767
-0.027262,89,18.091871
0.0,100,18.14826
0.0,100,18.204331
-0.215596,75,18.246913
0.0,100,18.302795
1.752314,14,18.311282
0.0,100,18.367254
1.752313,100,18.423125
0.725123,12,18.430391
0.90843,100,18.486679
-0.215596,5,18.504208
0.0,100,18.560526
-0.215596,85,18.609451
0.0,100,19.515429
-1.0,1,19.516578
0.0,100,19.57291
0.0,100,19.629487
0.757803,100,19.685458
0.0,100,19.741658
1.752313,100,19.798006
0.0,100,19.854354
-0.027262,78,19.898103
-1.0,1,19.899104
0.0,100,19.955357
-1.0,1,19.956374
0.725123,10,19.966872
0.0,100,20.022868
0.0,100,20.079026
-0.215596,80,20.124151
1.752313,100,20.18039
-1.0,1,20.181411
0.0,100,20.237308
0.0,100,20.293424
0.0,100,20.34914
0.725123,6,20.35306
-1.0,1,20.354071
0.0,100,20.432281
0.0,100,20.480768
0.0,100,20.528956
1.725123,100,20.576941
0.0,100,20.624605
-1.0,1,20.627072
0.0,100,20.68604
0.0,100,20.742294
0.0,100,20.798725
0.0,100,20.85488
0.0,100,21.763397
0.0,100,21.825523
1.752313,100,21.88822
0.0,100,21.9502
0.0,100,22.013296
0.0,100,22.076164
-0.215596,6,22.080537
0.0,100,22.142314
0.0,100,22.205611
0.0,100,22.272566
0.0,100,22.334705
0.0,100,22.396297
-0.524828,12,22.40441
1.72505,8,22.410021
0.0,100,22.471956
1.72505,10,22.47975
0.0,100,22.537509
-1.0,25,22.55191
-1.0,1,22.552935
0.0,100,22.613644
-0.215596,59,22.647478
0.0,100,22.703871
-0.027262,11,22.710594
0.0,100,22.766567
1.72505,7,22.7711
-1.0,1,22.772084
0.0,100,22.827716
2.697788,10,22.834239
-0.215596,74,22.876237
0.0,100,22.931849
0.0,100,22.987661
-1.0,1,22.988666
0.0,100,23.862626
-0.027262,5,23.866091
0.0,100,23.92186
0.0,100,23.978505
0.0,100,24.034161
0.0,100,24.090083
-1.0,1,24.091084
0.0,100,24.147418
0.0,100,24.203304
0.0,100,24.258936
0.0,100,24.314598
0.0,100,24.370382
-1.0,5,24.37361
1.881168,100,24.430191
-1.0,20,24.441697
0.0,100,24.497321
-1.0,1,24.498338
0.0,100,24.554102
-1.0,1,24.555124
1.752313,100,24.610887
-0.215596,27,24.626382
0.0,100,24.689313
0.0,100,24.745367
1.752314,63,24.781098
1.72505,4,24.78395
-0.215596,21,24.796332
0.0,100,24.851875
1.752313,100,24.907465
1.72505,8,24.912549
0.0,100,25.849409
0.0,100,25.905824
0.0,100,25.962287
0.0,100,26.018047
-1.0,19,26.029082
-1.0,12,26.036226
0.0,100,26.132955
0.0,100,26.179506
0.0,100,26.225706
0.0,100,26.271682
0.0,100,26.317755
0.757803,100,26.37569
0.0,100,26.435715
2.697788,23,26.451547
1.72505,23,26.466278
0.0,100,26.527864
0.0,100,26.589281
1.72505,5,26.593163
2.697788,27,26.610235
-0.215596,22,26.624233
0.0,100,26.68691
0.0,100,26.748009
0.0,100,26.809266
1.72505,19,26.821514
-1.0,1,26.822593
0.0,100,26.883279
0.502363,12,26.891298
0.0,100,26.95223
0.0,100,27.013018
2.697788,17,27.024042
1.752314,18,27.035554
1.752314,13,27.044286
-0.215596,6,27.048714
2.697788,30,27.067705
1.752313,100,27.128787
0.0,100,27.189167
-1.0,1,27.190265
-0.215596,48,27.217689
1.752313,100,27.273807
0.502363,4,27.276701
1.752314,67,28.311418
-0.524828,9,28.319429
0.0,100,28.387504
1.752313,100,28.45047
-1.0,1,28.452023
2.697788,22,28.466596
1.72505,18,28.478395
0.757803,100,28.540681
-1.0,6,28.545045
0.0,100,28.607032
-0.215596,4,28.610622
-0.027262,6,28.614949
-1.0,1,28.61602
0.725123,7,28.62089
-1.0,1,28.621981
1.72505,9,28.628307
0.757803,100,28.690769
-0.027262,9,28.696712
2.697788,21,28.709594
0.0,100,28.767445
0.0,100,28.825376
-1.0,1,28.826425
0.0,100,28.884338
-1.0,6,28.888246
0.0,100,28.946117
-1.0,1,28.947133
0.757803,100,29.005695
1.752314,30,29.02352
1.752314,89,29.075314
-1.0,1,29.076322
0.0,100,29.142233
-0.027262,16,29.152071
0.0,100,29.222247
2.697788,17,29.233087
2.697788,13,29.241377
0.0,100,29.299735
0.0,100,29.357503
2.697788,59,29.392034
