#{"t_start": 1745975095.075, "env_id": "None"}
r,l,t
0.0,100,0.066916
0.0,100,0.123127
0.0,100,0.180382
25.933389,100,0.236995
15.998955,100,0.293055
9.500551,9,0.298778
0.0,100,0.354541
0.0,100,0.411088
13.62329,88,0.460602
0.0,100,0.516572
1.096041,100,0.572674
18.895074,100,0.628987
13.62329,23,0.64247
1.545536,100,0.698434
11.283843,95,0.75225
17.536364,51,0.781394
0.0,100,0.836849
0.0,100,0.892406
3.979026,100,0.961364
-0.127291,5,0.964942
0.0,100,1.021013
0.0,100,1.077407
11.247971,100,1.133431
16.54825,100,2.125862
0.0,100,2.184964
8.116835,100,2.243261
5.048415,30,2.261863
0.0,100,2.319552
0.0,100,2.377228
0.0,100,2.434511
0.0,100,2.49172
0.67392,100,2.549231
0.787559,100,2.607345
6.596856,100,2.664558
0.0,100,2.721898
4.263742,39,2.74507
0.0,100,2.802906
0.0,100,2.870532
0.0,100,2.929401
0.0,100,2.98679
0.0,100,3.044554
18.122023,100,3.102726
2.161257,100,3.160049
0.0,100,3.21892
32.395815,34,3.238985
4.726233,100,3.296219
15.614282,34,4.270568
2.064185,100,4.329308
24.978684,100,4.390885
33.721836,100,4.451207
34.514398,10,4.457739
11.042104,100,4.517228
0.0,100,4.576683
11.247971,100,4.63516
13.734092,20,4.647634
36.477358,24,4.662195
0.0,100,4.719948
0.0,100,4.782005
0.0,100,4.854084
0.0,100,4.901368
3.979026,100,4.951399
0.0,100,4.999012
0.0,100,5.047752
0.403906,100,5.11737
5.048415,7,5.122268
61.368321,100,5.181899
0.0,100,5.239253
0.0,100,5.296424
29.149762,56,5.328616
31.551508,17,5.338972
0.0,100,5.39772
25.933389,100,5.455836
18.173859,100,5.513059
0.0,100,5.569732
0.0,100,5.626248
21.840064,100,5.683707
10.557834,100,6.877627
19.790223,59,6.913016
1.82266,2,6.914897
1.161257,28,6.932113
4.263742,24,6.947021
3.513408,2,6.948763
13.169043,100,7.007102
0.0,100,7.06737
4.594756,100,7.127173
0.0,100,7.184877
0.0,100,7.242318
0.0,100,7.299645
0.0,100,7.357047
15.11743,18,7.368173
6.149545,100,7.425543
0.0,100,7.483336
3.018748,8,7.488548
0.0,100,7.546998
37.747715,44,7.586605
19.61148,100,7.647254
6.685944,9,7.653253
0.0,100,7.710141
36.727426,16,7.719827
0.0,100,7.775548
0.0,100,7.831187
34.715458,24,7.845253
2.547126,5,7.848699
10.934825,15,7.85769
0.0,100,7.915074
0.0,100,7.972111
20.024469,100,8.034931
0.0,100,8.990227
1.400306,100,9.052207
7.104965,17,9.064335
2.403489,100,9.120527
0.0,100,9.179315
0.0,100,9.23611
0.0,100,9.292919
7.575525,100,9.349407
16.982984,100,9.406098
0.0,100,9.462503
0.0,100,9.521688
0.0,100,9.578109
0.0,100,9.634197
0.0,100,9.691008
0.0,100,9.747377
25.933389,100,9.803946
14.189215,100,9.860954
36.829677,9,9.866987
-0.675509,15,9.876064
0.0,100,9.932293
23.698799,100,10.001258
10.118175,100,10.063287
15.393207,4,10.065741
0.0,100,10.112268
16.938751,100,10.15964
0.0,100,10.207015
0.0,100,10.273128
0.0,100,10.330118
-1.0,7,10.334795
17.244427,7,10.339506
0.0,100,11.318029
0.904489,100,11.374876
0.0,100,11.431762
0.0,100,11.488187
0.0,100,11.544714
0.0,100,11.604915
1.107928,100,11.661425
18.518039,100,11.719264
37.122689,100,11.77588
11.70971,7,11.780746
0.0,100,11.837089
0.0,100,11.893621
0.0,100,11.954671
0.0,100,12.011455
0.0,100,12.067979
0.0,100,12.124521
0.0,100,12.180953
0.0,100,12.237112
0.0,100,12.293335
0.0,100,12.355172
3.461853,4,12.358192
0.0,100,12.41594
15.07202,100,13.404547
0.904489,100,13.471138
0.0,100,13.529184
0.0,100,13.586501
4.325726,100,13.64411
0.0,100,13.701136
0.0,100,13.758509
1.522783,100,13.815619
5.749567,3,13.818086
52.132436,81,13.865112
1.431194,100,13.924175
0.750493,100,13.981772
-1.0,6,13.985913
3.513408,2,13.987599
31.285333,100,14.053236
26.745334,10,14.059705
1.161257,98,14.115841
0.0,100,14.17295
23.789477,100,14.231095
48.131638,100,14.287592
4.47107,100,14.343712
7.575525,100,14.399851
26.79156,5,14.403408
21.788198,100,14.45955
13.74328,100,14.51552
0.0,100,14.571409
2.59193,100,15.492207
1.431895,100,15.54841
16.154366,3,15.550796
2.92345,3,15.553032
0.0,100,15.608946
10.01479,100,15.665049
0.0,100,15.720968
0.0,100,15.77691
0.0,100,15.863288
0.0,100,15.910587
0.0,100,15.957748
0.0,100,16.004995
0.0,100,16.052338
0.0,100,16.11127
0.0,100,16.168983
0.0,100,16.22674
0.0,100,16.284994
0.0,100,16.343983
37.69444,100,16.401691
0.756593,100,16.459127
4.286927,100,16.516566
0.865667,100,16.573712
1.400341,100,16.631338
35.842684,100,16.689154
0.0,100,16.746597
0.0,100,16.804012
0.894539,100,17.778399
3.497941,64,17.816252
11.743705,100,17.873847
16.073833,100,17.931913
0.0,100,17.989417
57.061475,15,17.998796
4.256616,100,18.057008
0.0,100,18.114346
20.024469,100,18.171806
0.0,100,18.229255
0.408865,100,18.286545
0.0,100,18.343191
0.0,100,18.399068
2.92345,2,18.400731
0.0,100,18.456327
17.219425,25,18.470961
11.461822,3,18.47327
34.459363,13,18.487597
30.675537,11,18.494504
0.0,100,18.550432
0.0,100,18.606197
11.70971,9,18.611945
9.97717,6,18.616674
0.0,100,18.673692
0.0,100,18.730701
1.502883,100,18.786837
0.0,100,18.842429
0.0,100,18.897995
0.0,100,19.822767
2.902497,5,19.826524
44.572031,18,19.838042
4.263742,26,19.853283
-1.0,30,19.870744
9.961115,16,19.880401
0.0,100,19.937162
0.0,100,19.993368
8.131288,5,19.997006
8.609025,6,20.000977
3.58186,100,20.057166
0.0,100,20.113101
0.0,100,20.168821
5.749567,2,20.170585
0.0,100,20.226417
30.198669,18,20.237173
3.917161,25,20.251734
3.979026,100,20.308216
24.121921,100,20.364214
10.934825,22,20.377059
5.419366,100,20.432965
2.064185,100,20.489233
15.779906,8,20.494445
16.302384,6,20.498435
8.942311,100,20.554253
18.093491,6,20.558323
0.0,100,20.61484
40.975661,27,20.630566
4.189075,100,20.686586
0.0,100,20.762152
0.0,100,20.808521
0.0,100,20.854911
0.0,100,20.901255
0.0,100,20.947748
0.0,100,21.005737
0.0,100,21.062108
5.292925,100,21.118202
-1.0,11,21.124949
0.0,100,21.180932
0.0,100,22.136026
0.904489,100,22.194671
20.725043,100,22.251571
39.295483,29,22.268504
35.026775,15,22.277637
35.906219,31,22.297465
0.0,100,22.365757
10.878281,18,22.380389
1.198065,100,22.437042
59.400936,10,22.443446
0.0,100,22.499582
0.865667,100,22.555671
-1.0,69,22.59487
0.894539,100,22.650796
55.018888,49,22.680202
8.233588,100,22.736529
1.031232,100,22.793104
15.774255,26,22.808734
0.0,100,22.868118
-1.0,2,22.870021
24.181729,100,22.926356
11.70971,14,22.935057
0.0,100,22.991272
0.0,100,23.047483
0.0,100,23.116779
48.131638,100,23.173909
0.0,100,23.230172
0.0,100,23.28629
9.97717,3,23.288693
0.0,100,26.272497
2.081147,23,26.287023
4.446515,100,26.343658
0.0,100,26.400208
5.805157,15,26.409504
36.477358,32,26.428198
0.0,100,26.484696
0.0,100,26.550014
3.629338,33,26.572271
8.609025,15,26.581625
2.612928,11,26.588904
1.161257,67,26.628146
0.0,100,26.70316
0.894539,100,26.768633
1.400306,100,26.831435
21.771329,100,26.889245
0.0,100,26.945565
13.443044,100,27.003793
0.0,100,27.061651
0.770641,100,27.119387
0.0,100,27.176805
4.495918,100,27.234722
2.612928,25,27.24958
0.865667,100,27.305479
30.873878,34,27.325309
24.383099,85,27.373408
0.0,100,27.429262
0.0,100,28.356335
3.497941,65,28.393307
0.0,100,28.449694
1.429748,100,28.5068
2.079005,8,28.511853
15.340185,100,28.568148
14.78229,100,28.621901
0.755828,100,28.668397
0.0,100,28.714742
0.0,100,28.760773
0.0,100,28.806913
4.495918,100,28.864221
0.0,100,28.92054
3.895522,100,28.976745
0.0,100,29.032651
0.0,100,29.088332
17.154366,100,29.144286
0.0,100,29.200581
-0.675509,9,29.206283
31.298569,100,29.265217
0.851976,3,29.267462
0.0,100,29.323426
0.0,100,29.379701
0.0,100,29.435701
38.461152,7,29.440344
16.473424,100,29.496253
22.363508,100,29.552238
