#{"t_start": 1745974753.5663624, "env_id": "None"}
r,l,t
0.0,100,0.066487
42.256908,100,0.122406
29.236784,49,0.150223
42.256908,100,0.206667
12.360445,60,0.240843
42.256908,100,0.296721
12.360445,81,0.342475
0.0,100,0.398465
13.360445,100,0.454523
-1.0,13,0.462456
0.0,100,0.51834
0.0,100,0.574382
0.0,100,0.63098
0.0,100,0.694664
0.0,100,0.751029
0.0,100,0.807525
0.0,100,0.863482
29.236784,6,0.867647
0.0,100,0.928196
24.341046,97,0.983228
0.0,100,1.039661
0.0,100,1.09647
0.0,100,1.153066
0.0,100,2.26891
0.0,100,2.327565
15.840607,100,2.387427
13.360445,100,2.449197
0.0,100,2.506428
41.256908,5,2.510286
42.256908,100,2.567068
42.256908,100,2.624058
0.0,100,2.680692
41.256908,23,2.694381
13.360445,100,2.751127
41.256908,74,2.793077
0.0,100,2.849259
0.0,100,2.914959
29.236784,4,2.918001
0.0,100,2.974748
0.0,100,3.03127
29.236784,4,3.034239
0.0,100,3.092946
39.180858,100,3.149573
0.0,100,3.20623
0.0,100,3.262529
41.239792,2,3.264306
42.256908,100,3.324595
0.0,100,3.381768
0.0,100,4.304472
0.0,100,4.362065
15.840607,100,4.419713
0.0,100,4.48027
13.360445,100,4.539732
39.180858,100,4.598557
0.0,100,4.657647
29.236784,4,4.661015
12.360445,34,4.681938
0.0,100,4.744766
41.239792,2,4.746929
42.256908,100,4.805824
0.0,100,4.89501
0.0,100,4.943707
0.0,100,4.993749
0.0,100,5.04486
0.0,100,5.095953
25.341046,100,5.166943
12.360445,72,5.215128
0.0,100,5.280791
38.180858,63,5.317122
12.360445,61,5.353999
0.0,100,5.416609
0.0,100,5.483315
0.0,100,5.556609
0.0,100,5.614773
0.0,100,5.673899
0.0,100,5.732909
0.646667,100,5.791573
0.0,100,6.989197
12.360445,56,7.024117
24.341046,9,7.030381
0.0,100,7.092209
0.0,100,7.151121
13.360445,100,7.211706
39.180858,100,7.276365
12.360445,67,7.317238
0.0,100,7.376951
0.0,100,7.436912
0.0,100,7.497081
13.360445,100,7.572954
42.256908,100,7.632794
0.0,100,7.692909
15.840607,100,7.752001
0.0,100,7.810665
41.256908,31,7.829652
