#{"t_start": 1745975606.712124, "env_id": "None"}
r,l,t
0.0,100,0.071257
21.20785,2,0.073151
11.178672,100,0.131698
23.158674,100,0.189841
0.0,100,0.247717
23.060659,100,0.305262
14.25073,11,0.312155
0.0,100,0.36971
0.0,100,0.428357
0.0,100,0.486296
-1.0,1,0.487475
0.0,100,0.54488
0.0,100,0.602106
0.0,100,0.659314
0.0,100,0.716682
0.0,100,0.773942
11.149737,100,0.832126
21.20785,69,0.871861
0.0,100,0.943084
16.76,100,1.000593
0.0,100,1.058144
-1.0,1,1.059189
-1.0,1,1.06021
22.20785,100,1.117454
0.0,100,1.174901
16.76,100,2.161129
0.0,100,2.219919
10.607728,40,2.244442
0.404206,100,2.304042
11.149737,100,2.363729
0.0,100,2.423403
0.0,100,2.481308
11.149737,100,2.538579
11.149737,100,2.595698
0.0,100,2.652662
21.20785,34,2.672647
0.0,100,2.729755
0.0,100,2.786633
21.758702,23,2.800267
0.0,100,2.858741
0.0,100,2.915853
11.149737,100,2.973029
-1.0,32,2.991641
10.607728,49,3.020256
0.0,100,3.091148
0.0,100,3.149167
0.0,100,3.206235
0.0,100,3.263496
0.0,100,3.321765
31.846925,100,4.310017
11.149737,100,4.367481
0.0,100,4.42694
0.0,100,4.484413
22.758702,100,4.542128
0.0,100,4.599728
0.0,100,4.657278
0.404206,100,4.714914
0.0,100,4.772617
0.0,100,4.852133
0.0,100,4.898831
11.178672,100,4.945642
0.0,100,4.992076
0.0,100,5.038604
10.607728,17,5.058534
0.0,100,5.116302
10.607728,7,5.120969
0.0,100,5.178397
0.0,100,5.236629
-1.0,18,5.247469
21.20785,14,5.256089
0.0,100,5.31357
11.149737,100,5.371365
0.0,100,5.429232
0.0,100,5.486164
0.0,100,5.543522
23.060659,100,5.600804
0.0,100,5.65794
0.0,100,6.647572
10.607728,52,6.678037
11.149737,100,6.735659
11.149737,100,6.793631
0.0,100,6.851253
14.259973,11,6.858177
0.0,100,6.915568
23.060659,100,6.972821
0.0,100,7.029823
10.607728,7,7.034808
21.20785,61,7.070115
0.0,100,7.127865
11.178672,100,7.185765
10.607728,5,7.189435
0.0,100,7.247315
15.25073,100,7.305382
0.0,100,7.363289
23.158674,100,7.4208
