#{"t_start": 1745974888.0316374, "env_id": "None"}
r,l,t
0.0,100,0.080969
0.0,100,0.143374
0.0,100,0.205477
-1.0,22,0.219598
0.0,100,0.283707
0.0,100,0.343647
0.0,100,0.405038
0.0,100,0.463443
0.0,100,0.521378
0.0,100,0.579741
0.0,100,0.637716
0.0,100,0.696449
0.0,100,0.757781
0.0,100,0.817556
0.0,100,0.899259
0.0,100,0.955746
0.0,100,1.0118
0.0,100,1.068183
-1.0,51,1.097317
-1.0,40,1.120648
0.0,100,1.180288
0.0,100,1.238441
0.0,100,2.205488
0.0,100,2.262011
0.0,100,2.318749
-1.0,7,2.323265
-1.0,61,2.357944
0.0,100,2.414497
0.0,100,2.471221
0.0,100,2.527406
0.0,100,2.584079
0.0,100,2.640101
0.0,100,2.696462
0.0,100,2.752743
0.0,100,2.809006
0.0,100,2.865654
0.0,100,2.928393
0.0,100,2.988322
0.0,100,3.092668
0.0,100,3.152671
0.0,100,3.211833
0.0,100,3.270748
-1.0,5,3.274339
0.0,100,3.334143
-1.0,2,3.335788
0.0,100,3.394127
0.0,100,4.350859
0.0,100,4.409085
-1.0,66,4.448124
0.0,100,4.506908
0.0,100,4.563804
0.0,100,4.621626
-1.0,12,4.629028
0.0,100,4.686623
0.0,100,4.744466
0.0,100,4.802316
0.0,100,4.877114
0.0,100,4.924366
0.0,100,4.970805
0.0,100,5.016974
0.0,100,5.063387
0.0,100,5.129647
0.0,100,5.186357
0.0,100,5.242752
0.0,100,5.299567
0.0,100,5.355915
0.0,100,5.412748
0.0,100,5.469518
0.0,100,5.526528
0.0,100,5.583348
0.0,100,5.640721
0.0,100,5.697933
0.0,100,6.672181
-1.0,24,6.686485
0.0,100,6.743427
0.0,100,6.800364
0.0,100,6.85662
0.0,100,6.913015
0.0,100,6.969556
0.0,100,7.030234
0.0,100,7.087887
-1.0,7,7.092398
0.0,100,7.148443
0.0,100,7.204429
-1.0,27,7.219925
-1.0,27,7.235446
0.0,100,7.291837
0.0,100,7.347997
0.0,100,7.40426
-1.0,6,7.408145
0.0,100,7.464112
0.0,100,7.520283
-1.0,17,7.53226
0.0,100,7.589865
0.0,100,7.649276
0.0,100,7.707764
-1.0,59,7.74315
0.0,100,7.833902
0.0,100,8.80189
0.0,100,8.858796
0.0,100,8.915076
0.0,100,8.972231
0.0,100,9.028536
0.0,100,9.084749
0.0,100,9.144906
0.0,100,9.201384
0.0,100,9.258086
0.0,100,9.314501
-1.0,1,9.315613
0.0,100,9.373482
0.0,100,9.42986
0.0,100,9.486133
0.0,100,9.54249
0.0,100,9.598702
0.0,100,9.655261
-1.0,93,9.707739
0.0,100,9.764709
-1.0,5,9.768102
0.0,100,9.839453
0.0,100,9.885684
0.0,100,9.931954
0.0,100,9.978877
0.0,100,10.02547
0.0,100,10.083634
0.0,100,10.1404
0.0,100,11.121627
0.0,100,11.178366
0.0,100,11.23511
0.0,100,11.291601
0.0,100,11.350222
0.0,100,11.406759
0.0,100,11.464793
0.0,100,11.52121
0.0,100,11.581073
0.0,100,11.637564
0.0,100,11.694774
0.0,100,11.751362
0.0,100,11.807671
0.0,100,11.86418
-1.0,16,11.873766
0.0,100,11.930453
0.0,100,11.986848
0.0,100,12.043225
0.0,100,12.099507
0.0,100,12.155611
0.0,100,12.211899
0.0,100,13.145356
0.0,100,13.20181
0.0,100,13.257924
0.0,100,13.315903
0.0,100,13.372006
0.0,100,13.428265
0.0,100,13.486988
0.0,100,13.54319
-1.0,12,13.550486
-1.0,23,13.563761
0.0,100,13.619854
0.0,100,13.677313
0.0,100,13.733532
0.0,100,13.790099
0.0,100,13.846166
0.0,100,13.902146
0.0,100,13.958863
0.0,100,14.015246
0.0,100,14.071909
-1.0,66,14.109815
0.0,100,14.168554
0.0,100,14.224637
0.0,100,14.280965
0.0,100,15.245591
0.0,100,15.302318
-1.0,16,15.311903
0.0,100,15.368417
0.0,100,15.426834
0.0,100,15.483067
0.0,100,15.539044
0.0,100,15.625572
0.0,100,15.672639
0.0,100,15.719051
0.0,100,15.765957
0.0,100,15.812817
0.0,100,15.871284
0.0,100,15.92737
0.0,100,15.983686
0.0,100,16.040275
0.0,100,16.099982
0.0,100,16.156335
