#{"t_start": 1745975398.1019332, "env_id": "None"}
r,l,t
13.29557,100,0.074621
8.416253,100,0.132705
7.482072,100,0.190497
0.0,100,0.250046
8.416253,100,0.308035
27.93513,100,0.365399
7.72168,100,0.423325
23.443156,44,0.449254
0.0,100,0.5075
34.378929,87,0.561678
13.175287,100,0.619775
0.0,100,0.682598
12.934096,100,0.743939
0.0,100,0.811692
8.850538,100,0.870934
7.149981,100,0.92983
9.894178,2,0.931595
7.553906,100,1.0
7.553906,100,1.078537
0.0,100,1.137362
-1.0,64,1.175156
-1.0,3,1.177492
-1.0,6,1.181452
22.384401,63,1.218794
0.0,100,2.212603
-0.623225,2,2.214503
11.166635,100,2.273561
0.674585,100,2.333109
0.0,100,2.392097
33.990909,100,2.451346
0.0,100,2.510892
0.0,100,2.570585
0.0,100,2.628685
11.166635,100,2.687343
0.0,100,2.744793
35.157256,100,2.802443
0.525197,100,2.861518
0.0,100,2.919733
0.0,100,2.976947
7.553906,100,3.037064
0.0,100,3.095766
-1.0,25,3.110814
0.0,100,3.168289
23.443156,73,3.224153
33.062855,55,3.256603
-1.0,69,3.296906
-0.623225,7,3.301844
0.0,100,3.360212
11.956198,100,4.378389
0.0,100,4.437095
0.0,100,4.495593
1.128294,100,4.554392
0.0,100,4.613217
11.956198,100,4.673785
23.443156,47,4.705585
13.175287,100,4.763696
9.046071,100,4.823275
21.217866,100,4.87983
0.0,100,4.959828
0.0,100,5.006814
0.0,100,5.053679
0.0,100,5.100604
6.112202,100,5.147835
27.198985,100,5.213557
0.725402,100,5.271992
-1.0,5,5.275492
18.245579,100,5.332115
-0.045734,5,5.335759
0.905539,100,5.392066
52.112952,53,5.422357
17.41438,100,5.478971
19.408221,100,5.535043
9.894178,2,5.536784
23.716255,3,5.53929
9.98227,28,5.555725
0.0,100,5.611705
7.642128,100,5.667838
0.0,100,5.723903
0.685499,100,5.780094
0.0,100,6.656393
0.0,100,6.71326
31.35086,100,6.7703
23.497626,54,6.801293
2.639733,100,6.859334
-1.0,3,6.86156
0.0,100,6.918034
3.452525,3,6.920389
-1.0,10,6.926452
0.0,100,6.989439
0.876808,100,7.049841
7.736393,100,7.109904
11.166635,100,7.167966
0.0,100,7.225035
0.0,100,7.282476
18.245579,100,7.340029
8.416253,100,7.397243
0.674585,100,7.454519
34.378929,38,7.47701
0.0,100,7.534096
43.329209,100,7.591566
0.29846,45,7.617443
0.0,100,7.69683
0.0,100,7.753643
37.270321,62,7.789354
11.166635,100,8.766397
7.72168,100,8.824676
0.525197,100,8.88202
0.0,100,8.939869
21.25003,100,8.998008
0.674585,100,9.066289
0.0,100,9.125859
15.231584,100,9.186434
0.0,100,9.244731
1.526895,25,9.260016
0.0,100,9.31777
-1.0,23,9.331696
0.0,100,9.389097
52.713646,100,9.447953
0.0,100,9.505721
0.0,100,9.563493
0.0,100,9.621142
0.0,100,9.679005
-0.045734,7,9.683908
0.0,100,9.742147
0.0,100,9.799627
0.0,100,9.877969
8.416253,100,9.925725
0.0,100,9.973691
0.0,100,10.022763
0.0,100,10.07075
0.905539,100,10.138054
33.204661,100,10.197157
-0.609835,8,10.202372
7.647361,100,11.116871
0.0,100,11.175571
0.0,100,11.233443
0.0,100,11.291016
0.674585,100,11.349189
10.194783,71,11.390626
-0.609835,3,11.392983
0.0,100,11.450462
1.663627,63,11.487021
2.769673,100,11.544817
0.0,100,11.604105
33.204661,100,11.662504
0.0,100,11.720506
0.725402,100,11.778071
45.44816,100,11.835901
11.956198,100,11.893504
2.40891,100,11.960185
-1.0,14,11.969083
27.242668,100,12.027107
0.0,100,12.084782
32.35086,100,12.142488
7.647361,100,12.200852
21.25003,100,12.258944
0.0,100,13.232117
1.128294,100,13.290459
33.14873,70,13.33168
12.934096,100,13.389352
21.817915,100,13.447041
0.0,100,13.514813
11.956198,100,13.577363
41.873694,23,13.591407
27.93513,100,13.649439
18.748581,100,13.707581
0.0,100,13.765791
0.0,100,13.82389
0.0,100,13.883539
11.956198,100,13.94143
0.0,100,13.999135
2.639733,100,14.05727
0.0,100,14.115014
0.905539,100,14.182893
0.525197,100,14.239637
0.0,100,14.295899
12.882251,11,14.302633
0.0,100,14.358826
23.443156,60,14.392979
5.234785,45,15.284018
27.93513,100,15.342319
9.894178,2,15.344064
0.0,100,15.402188
0.0,100,15.460006
0.0,100,15.517872
0.685499,100,15.57614
23.384401,100,15.634889
0.0,100,15.70397
0.0,100,15.752327
0.0,100,15.801983
0.0,100,15.851238
0.0,100,15.899554
0.0,100,15.958331
10.194783,43,15.983467
27.973624,100,16.040241
-1.0,1,16.041258
0.0,100,16.097714
9.046071,100,16.154275
0.0,100,16.210814
33.990909,100,16.269174
11.089546,100,16.325858
33.088512,100,16.385003
35.291235,100,16.442095
0.0,100,16.498708
0.0,100,16.555577
-1.0,8,16.560734
0.0,100,16.617695
18.245579,100,16.674758
0.0,100,17.60322
