#{"t_start": 1745976501.5828142, "env_id": "None"}
r,l,t
14.087668,8,0.016901
0.0,100,0.079137
64.110378,5,0.083011
7.394431,5,0.086799
0.0,100,0.148512
11.415202,14,0.1579
39.604556,9,0.164181
1.174255,100,0.226191
0.0,100,0.287672
0.0,100,0.349647
16.820408,22,0.364019
0.0,100,0.425838
19.264146,10,0.432942
0.0,100,0.495104
46.303672,11,0.502716
0.0,100,0.564952
6.100172,7,0.569905
55.842742,12,0.577486
0.0,100,0.634109
-0.249507,13,0.642039
58.181443,8,0.647309
15.057111,16,0.657088
60.651845,7,0.661818
5.613112,9,0.667655
7.265334,10,0.674522
0.0,100,0.731465
1.810162,5,0.735042
3.971481,6,0.739163
0.0,100,0.795597
44.280834,9,0.801624
4.808046,13,0.810531
0.0,100,0.872251
-0.455689,17,0.890794
36.232155,9,0.897077
0.0,100,0.959085
0.134477,4,0.962152
4.083482,5,0.96601
4.151129,6,0.970393
0.0,100,1.032249
3.989914,8,1.037973
3.153173,100,1.10006
1.715845,4,1.103237
41.776712,5,1.107219
23.559016,7,1.112629
28.78824,5,1.116437
29.144328,17,1.127748
0.0,100,1.190146
0.0,100,1.2529
0.0,100,2.214657
1.479607,6,2.219388
4.122675,6,2.223669
0.36999,6,2.227702
45.501612,9,2.233565
0.0,100,2.290679
5.613112,6,2.295031
0.0,100,2.352157
1.715845,7,2.356817
37.077178,12,2.364341
39.747312,7,2.369071
19.758774,11,2.376037
2.533209,2,2.377711
1.715845,6,2.381742
6.629344,4,2.384803
0.0,100,2.442158
3.511516,4,2.445178
60.770344,6,2.449444
0.0,100,2.506484
59.344207,8,2.511732
4.002408,4,2.514656
2.0,100,2.571833
18.47508,12,2.57954
0.0,100,2.6365
0.894539,100,2.693688
0.0,100,2.750304
60.197001,5,2.753867
0.0,100,2.810881
28.829006,8,2.816285
1.197708,10,2.822761
4.938688,10,2.829167
40.342831,10,2.83556
5.800091,10,2.841958
3.610535,7,2.846592
0.0,100,2.903503
0.0,100,2.960713
0.0,100,3.018061
1.156144,2,3.019828
4.873168,6,3.023998
21.297654,7,3.029596
4.083482,8,3.034883
0.721319,7,3.039377
0.0,100,3.096773
3.315672,9,3.102625
0.0,100,3.15987
36.285458,24,3.174401
8.640551,9,3.180548
4.967266,8,3.185755
3.624531,7,3.190325
16.357797,12,3.19787
1.156144,2,3.199566
22.191957,14,3.208745
0.429748,6,3.212802
-0.77533,6,3.216874
30.304878,38,3.239191
36.714559,6,3.243335
2.533209,3,3.245601
1.185575,10,3.262878
35.654379,6,3.267094
0.134477,5,3.270614
2.116248,32,3.289603
9.808061,6,3.293878
11.49529,6,3.29796
0.802346,3,3.300342
3.68613,8,3.305713
-1.0,71,3.346554
0.894539,100,3.40362
10.151337,5,3.407187
21.297654,20,4.361166
2.494393,7,4.366006
41.295366,6,4.370153
8.359172,9,4.376027
1.715845,4,4.378957
5.862454,6,4.383048
3.233876,3,4.38531
14.002134,9,4.391195
1.257386,11,4.398049
4.553901,7,4.402809
0.0,100,4.464367
0.789544,8,4.470871
0.727132,30,4.491182
1.174255,100,4.566987
1.832762,36,4.589217
4.002408,5,4.59286
24.623042,5,4.596525
3.574856,6,4.600951
3.233876,6,4.605728
57.1042,6,4.610857
4.151129,4,4.614433
10.85097,13,4.623433
57.875598,8,4.628772
0.421365,3,4.631121
4.548201,7,4.635842
33.965122,20,4.648031
4.002408,3,4.650393
3.054033,6,4.654373
54.671918,4,4.657348
0.304409,3,4.659606
0.0,100,4.716994
0.0,100,4.774002
2.936331,6,4.778039
59.885125,14,4.788764
60.651845,8,4.79406
7.783989,53,4.824851
33.613434,30,4.842585
3.379713,10,4.848915
0.624025,23,4.862651
0.0,100,4.919843
0.480445,3,4.922345
20.538449,100,4.978406
0.0,100,5.039815
15.642108,100,5.089207
0.673607,100,5.146258
2.592462,100,5.195223
3.78206,14,5.214912
12.164057,9,5.221004
0.0,100,5.281258
15.061326,4,5.284458
0.0,100,5.345186
-1.0,18,5.356612
0.904489,100,5.431119
0.896941,24,5.446963
0.0,100,5.505712
-0.249507,7,5.510326
5.613112,7,5.515069
0.0,100,5.574696
8.814332,37,5.596464
1.679907,40,5.619946
12.164057,10,5.626408
22.331143,4,5.629381
3.076539,11,5.636294
46.303672,12,5.643948
1.479607,10,5.650391
22.331143,5,5.65393
0.785391,100,5.711336
1.832762,74,5.753942
55.25494,8,5.759313
42.316502,6,5.763457
4.498155,5,5.767031
0.785391,100,5.82433
1.715845,3,5.826747
2.887697,4,5.829568
3.076539,7,5.83419
0.0,100,5.891026
0.905539,100,6.825362
35.470437,4,6.828505
2.533209,2,6.83027
4.442639,13,6.838623
2.533209,6,6.842608
0.0,100,6.899603
0.894539,100,6.957495
6.914491,8,6.962843
0.0,100,7.020286
9.347038,13,7.030279
0.0,100,7.087433
51.639854,4,7.09047
39.556699,7,7.09519
5.531709,15,7.104378
28.461244,19,7.115915
0.0,100,7.172817
4.760437,13,7.180927
1.515931,3,7.183184
18.073911,16,7.193174
1.637262,11,7.200312
1.174255,100,7.257981
28.461244,8,7.263311
3.505968,100,7.32039
6.611861,13,7.328542
1.197708,6,7.332607
19.873358,100,7.389503
0.0,100,7.446518
0.914889,15,7.455928
-1.0,52,7.48619
0.0,100,7.543364
61.10342,5,7.546989
0.660316,6,7.551069
0.0,100,7.608056
4.947748,12,7.615632
36.285458,38,7.637854
4.873168,11,7.644918
9.445399,100,7.701975
0.660316,7,7.706846
40.556473,23,7.72092
0.0,100,7.777833
3.513966,3,7.780138
3.960019,42,7.81189
48.092406,10,7.818354
1.013948,3,7.8206
1.156144,2,7.822314
3.505968,100,7.879632
2.503741,50,7.90878
55.25494,7,7.913593
0.0,100,7.970787
2.587403,19,7.98292
31.455773,4,7.985952
40.659144,8,8.860401
0.0,100,8.918043
0.742163,9,8.923849
1.853784,100,8.981344
0.0,100,9.038733
11.09303,5,9.04256
23.559016,6,9.046786
23.344711,8,9.052103
0.0,100,9.109361
9.347038,13,9.1175
0.0,100,9.174835
0.0,100,9.231611
13.042001,8,9.236983
0.0,100,9.294742
0.429748,4,9.297966
-1.0,79,9.343451
3.962887,5,9.347078
0.894539,100,9.404303
0.0,100,9.46358
28.945809,6,9.468247
15.889976,10,9.47483
30.047235,8,9.480263
-1.0,68,9.520582
7.812171,100,9.578378
1.40139,7,9.583014
1.395525,15,9.592497
0.0,100,9.658315
0.0,100,9.716036
0.0,100,9.77421
29.083395,8,9.779615
0.0,100,9.837627
0.0,100,9.895481
2.237078,2,9.897203
42.717058,11,9.904514
61.407362,6,9.908751
41.417695,9,9.914751
18.16776,14,9.923761
0.0,100,9.975945
57.645876,4,9.978479
9.445399,100,10.026879
4.243655,100,10.075526
0.0,100,10.123596
22.470089,5,10.137052
57.439128,8,10.142533
18.230725,11,10.149727
3.435723,2,10.151448
35.970091,15,10.160945
6.745469,19,10.172679
23.620728,12,10.180365
0.0,100,10.238812
4.526314,6,10.243031
10.960808,4,10.246136
11.726929,6,10.250378
5.800091,13,10.258837
13.584003,4,10.261814
6.3535,20,10.274146
1.209251,2,10.275906
11.115822,7,10.280843
57.390095,6,10.285086
0.0,100,11.248517
0.134477,2,11.250442
3.513966,2,11.252129
3.314161,7,11.256954
1.197708,12,11.2646
3.435723,2,11.266338
1.355564,19,11.278211
2.192834,3,11.281035
0.727132,16,11.290994
0.0,100,11.349153
0.0,100,11.407401
57.390095,5,11.411115
0.0,100,11.469454
1.314903,3,11.471769
5.371966,6,11.475927
2.197341,6,11.480104
0.0,100,11.539221
6.26614,6,11.543333
20.92565,6,11.547578
11.074365,3,11.549946
19.758774,16,11.56001
0.0,100,11.61813
9.742716,11,11.625179
2.649053,4,11.628042
0.0,100,11.68622
