#{"t_start": 1745975450.3800378, "env_id": "None"}
r,l,t
39.082536,42,0.0399
2.588471,100,0.098185
2.954068,100,0.1631
0.0,100,0.223524
41.617113,17,0.23416
20.992759,100,0.291724
0.0,100,0.348693
25.761731,100,0.406353
-1.0,71,0.447754
2.266745,100,0.505739
1.395054,68,0.546186
-1.0,76,0.590047
0.0,100,0.649507
2.719741,12,0.657335
1.252578,38,0.679753
40.095239,3,0.682218
1.37241,64,0.733481
0.0,100,0.794607
22.230737,100,0.854717
0.0,100,0.91683
1.572802,11,0.925649
0.0,100,0.988181
37.5939,96,1.045636
2.536176,100,1.106506
0.0,100,1.165789
16.228491,9,1.171753
0.0,100,1.229757
3.629627,100,2.139151
0.0,100,2.196449
18.814549,84,2.244889
0.0,100,2.301113
2.755409,100,2.357635
0.0,100,2.413901
0.0,100,2.47008
0.0,100,2.526625
2.588471,100,2.58334
0.0,100,2.647055
0.0,100,2.706945
43.179913,12,2.714999
0.0,100,2.775774
18.872612,100,2.836348
39.554796,73,2.880179
0.0,100,2.93765
8.399067,69,2.977111
2.754321,100,3.034045
49.08575,14,3.042766
3.006273,32,3.061552
4.702322,40,3.084646
0.0,100,3.166044
0.0,100,3.224107
5.616601,100,3.284802
0.0,100,4.182575
44.237736,9,4.188576
0.0,100,4.24559
0.0,100,4.302411
44.237736,8,4.307655
2.755409,100,4.36446
3.006273,14,4.373214
0.0,100,4.42979
0.522436,100,4.486467
0.0,100,4.542937
0.0,100,4.599144
-1.0,21,4.611431
46.898463,7,4.616014
38.81385,56,4.648082
0.0,100,4.732173
0.0,100,4.778547
3.150693,100,4.825754
23.144059,3,4.827698
0.0,100,4.875104
2.582005,100,4.945344
0.0,100,5.00248
20.993894,100,5.059783
-1.0,4,5.062692
2.91,100,5.119545
39.624948,15,5.128661
2.719741,22,5.141874
0.473823,100,5.198929
41.216347,36,5.219871
7.931617,100,5.276591
7.931617,100,5.333302
13.948193,100,5.389657
2.719741,35,5.414974
0.0,100,5.471493
42.629227,8,5.476613
21.760786,100,5.537902
2.402672,49,6.574905
0.0,100,6.63329
2.572802,100,6.69171
39.082536,20,6.704242
2.582005,100,6.7622
2.588471,100,6.822034
0.0,100,6.879701
16.982509,100,6.942097
0.0,100,7.003286
3.183371,41,7.027954
0.0,100,7.086364
2.719741,40,7.112956
0.0,100,7.170192
0.0,100,7.226666
0.0,100,7.28305
2.402672,27,7.298711
1.572802,89,7.349566
21.8458,100,7.405802
0.0,100,7.462169
0.0,100,7.518616
1.575043,2,7.520282
