#{"t_start": 1745975665.3242197, "env_id": "None"}
r,l,t
0.0,100,0.076812
26.560863,100,0.13531
21.258026,22,0.148652
0.0,100,0.206541
21.341766,70,0.248486
4.033532,100,0.307204
16.727104,100,0.366584
15.281033,100,0.425493
0.0,100,0.484314
0.0,100,0.542588
21.258026,75,0.587144
6.893898,100,0.645508
0.0,100,0.706
41.893656,100,0.765419
21.757341,100,0.823443
-1.0,8,0.830689
38.50532,38,0.857003
20.834737,100,0.919973
43.470516,100,0.984462
1.192584,27,1.002374
4.422876,100,1.094434
0.0,100,1.157026
45.38654,100,1.215054
0.0,100,1.278649
0.0,100,2.27737
19.285954,100,2.336043
21.757341,100,2.395195
0.0,100,2.453706
0.0,100,2.512055
0.0,100,2.570109
39.845987,100,2.628466
0.0,100,2.69073
0.0,100,2.754997
0.0,100,2.81478
0.0,100,2.877103
41.892669,100,2.935722
27.506346,11,2.942746
0.0,100,3.013383
5.47368,16,3.030382
0.0,100,3.103429
0.0,100,3.160392
0.0,100,3.217574
42.215369,21,3.230269
45.385717,100,3.314154
43.659723,100,3.374612
41.892669,100,3.432058
0.0,100,3.489622
49.51136,100,4.492701
0.0,100,4.550556
20.754482,100,4.608723
40.16944,28,4.626254
0.0,100,4.684879
3.461997,100,4.742496
0.0,100,4.799775
10.294596,100,4.856797
0.0,100,4.914321
0.0,100,5.024381
0.0,100,5.073356
0.0,100,5.121229
21.757341,100,5.168465
0.0,100,5.215974
0.0,100,5.2854
7.238568,86,5.336635
22.578907,100,5.396658
1.99149,100,5.454171
0.0,100,5.511691
47.604646,28,5.528432
35.885651,5,5.532056
0.0,100,5.589722
38.50532,31,5.608106
41.893656,100,5.667472
5.083572,51,5.697505
0.0,100,5.761486
0.0,100,5.819757
4.033532,100,5.880979
0.0,100,6.857697
22.473,100,6.916909
20.288589,100,6.974761
1.003755,56,7.008576
7.343099,40,7.032546
0.0,100,7.093347
4.057543,100,7.152007
0.0,100,7.210036
0.0,100,7.26771
0.0,100,7.325883
0.0,100,7.386592
5.51,100,7.445432
0.0,100,7.503467
0.0,100,7.561326
0.0,100,7.619373
0.0,100,7.676995
1.192584,50,7.706481
36.803691,20,7.71872
0.0,100,7.777353
27.506346,32,7.796453
0.0,100,7.881479
0.0,100,7.941417
0.510185,100,7.99987
0.0,100,8.958691
7.343099,58,8.993194
6.951529,100,9.051817
2.3496,100,9.111741
-1.0,22,9.124951
0.0,100,9.18225
0.0,100,9.240344
15.040357,61,9.277019
0.0,100,9.336855
0.61018,100,9.39698
21.258026,24,9.411701
45.606,100,9.478035
43.668721,100,9.537091
-1.0,38,9.559721
5.51,100,9.617814
-1.0,62,9.654527
42.215369,58,9.688663
0.0,100,9.746518
2.580196,18,9.757951
0.0,100,9.815881
1.192584,49,9.844524
20.653685,100,9.902348
45.385717,100,9.967777
4.186631,4,9.970795
0.0,100,10.027763
-1.0,2,10.029584
0.0,100,10.082752
0.0,100,10.132609
0.0,100,10.183739
0.0,100,10.23231
0.0,100,10.280154
4.057543,100,10.340515
0.0,100,10.399891
20.754482,100,11.372073
18.026872,100,11.434486
33.749026,8,11.440475
7.238568,45,11.469905
0.0,100,11.534838
0.0,100,11.599214
0.0,100,11.660121
24.474357,50,11.692525
4.247818,17,11.704097
40.612215,32,11.725474
0.0,100,11.789997
4.476475,100,11.85396
0.0,100,11.917865
45.606,100,11.975995
0.0,100,12.033418
21.258026,10,12.03985
0.0,100,12.096771
22.578907,100,12.154072
0.0,100,12.233424
12.227319,12,12.24117
39.845987,100,12.298319
0.0,100,12.355152
20.623435,12,12.362535
24.871183,17,12.373523
5.47368,27,12.390042
0.0,100,12.447479
2.553299,100,12.504546
11.566782,100,12.561483
40.612215,7,12.566182
0.0,100,13.555871
41.892669,100,13.61531
5.207599,100,13.674531
42.443515,11,13.681932
8.238568,100,13.741883
0.0,100,13.800515
21.340485,100,13.86203
0.0,100,13.920808
0.0,100,13.978796
0.0,100,14.037358
-1.0,39,14.060285
0.0,100,14.118624
0.0,100,14.176798
0.0,100,14.251363
24.871183,16,14.262016
0.0,100,14.321572
26.009922,100,14.382151
0.0,100,14.440314
0.0,100,14.49888
2.461997,7,14.503824
0.0,100,14.562159
0.0,100,14.620644
0.0,100,14.678935
38.50532,68,14.719225
0.0,100,15.703046
3.84,100,15.762049
4.247818,4,15.765165
3.84,100,15.824426
-1.0,87,15.878421
0.0,100,15.937117
0.0,100,15.995354
0.0,100,16.053736
35.133298,6,16.058115
7.343099,9,16.064298
2.557901,7,16.069042
0.0,100,16.131344
19.79213,100,16.179509
4.033532,100,16.227403
0.0,100,16.275324
43.246741,100,16.324701
0.0,100,16.396852
0.0,100,16.455326
1.912874,7,16.460442
7.343099,30,16.478582
6.951529,100,16.537093
0.0,100,16.59506
6.893898,100,16.65351
35.133298,76,16.698289
40.619658,51,16.728499
-1.0,62,16.764687
0.0,100,16.822922
0.0,100,16.881248
2.510873,100,16.93946
0.0,100,16.997633
0.0,100,17.055413
6.951529,100,17.113864
46.090775,15,17.123404
2.532919,100,18.115402
0.0,100,18.173601
27.506346,36,18.195092
19.79213,100,18.253343
4.247818,12,18.260897
27.506346,36,18.282379
0.0,100,18.341376
44.805495,100,18.40257
0.0,100,18.460791
42.215369,16,18.470861
0.0,100,18.529131
0.0,100,18.587079
0.0,100,18.645149
0.0,100,18.715429
21.340485,100,18.779546
15.040357,55,18.816395
0.0,100,18.880701
0.0,100,18.940703
0.0,100,19.000557
0.510185,100,19.063225
0.0,100,19.124429
0.434673,100,19.185436
0.0,100,19.247266
1.912874,24,19.262284
2.580196,88,19.315712
22.578907,100,20.32353
1.003755,30,20.343881
0.0,100,20.404302
42.443515,16,20.414687
-1.0,2,20.416883
0.0,100,20.476731
0.0,100,20.538971
0.0,100,20.597949
0.0,100,20.657599
0.0,100,20.719646
0.0,100,20.782218
0.0,100,20.846349
2.107503,100,20.907488
-1.0,84,20.959185
0.0,100,21.019644
26.009922,100,21.07864
42.380776,3,21.081233
0.0,100,21.140522
0.0,100,21.200268
0.0,100,21.303587
0.0,100,21.352656
0.0,100,21.404006
0.0,100,21.452936
0.0,100,21.500582
42.168126,100,21.560792
0.0,100,21.618562
0.434673,100,21.6773
19.79213,100,21.735742
0.0,100,22.724316
0.0,100,22.782934
0.0,100,22.840752
20.754482,100,22.898541
0.0,100,22.956389
0.0,100,23.014778
0.510185,100,23.073514
5.701084,100,23.13155
0.0,100,23.188475
20.288589,100,23.245973
0.0,100,23.303007
43.467285,100,23.360693
0.0,100,23.41827
0.0,100,23.476016
0.0,100,23.533308
21.258026,16,23.543076
14.051812,18,23.564689
0.0,100,23.622334
18.026872,100,23.679492
0.0,100,23.736633
2.461997,2,23.73836
1.912874,6,23.742443
0.0,100,23.799531
14.470576,100,23.856989
0.0,100,24.871983
3.836009,100,24.932055
1.192584,83,24.981379
0.0,100,25.040906
0.0,100,25.101016
0.0,100,25.159869
0.0,100,25.219437
40.619658,15,25.228944
0.0,100,25.287793
41.893656,100,25.346976
0.0,100,25.405812
20.097975,100,25.465231
0.0,100,25.524008
19.79213,100,25.58314
6.951529,100,25.642688
20.653685,100,25.723332
20.623435,2,25.725576
22.462634,100,25.78472
5.73401,100,25.844624
0.0,100,25.903676
0.0,100,25.962966
2.81,100,26.022388
-0.579691,17,26.033356
2.510873,100,26.092763
17.52052,100,27.083148
0.0,100,27.140853
