#{"t_start": 1745975027.6258805, "env_id": "None"}
r,l,t
0.0,100,0.068859
5.552449,46,0.095531
0.669829,100,0.152008
1.429748,100,0.20811
0.0,100,0.26447
0.0,100,0.320482
0.0,100,0.387669
0.0,100,0.453364
0.0,100,0.509282
0.0,100,0.5651
0.0,100,0.620839
0.894539,100,0.677517
21.051324,100,0.734529
55.679598,100,0.791021
0.0,100,0.84808
11.254379,100,0.904373
7.455908,100,0.960653
4.027083,100,1.031602
5.092553,100,1.088074
0.901959,2,1.089834
14.624705,52,1.119804
0.0,100,1.175765
0.0,100,2.130445
0.0,100,2.18753
0.669546,100,2.244899
0.0,100,2.301538
11.076395,80,2.347382
0.0,100,2.404233
0.0,100,2.460972
11.580271,100,2.517179
0.901959,6,2.521213
0.0,100,2.577454
4.151068,100,2.633697
6.778601,100,2.691041
14.62638,38,2.713291
0.0,100,2.771247
0.0,100,2.827864
0.0,100,2.884157
0.0,100,2.940066
25.862003,40,2.963025
3.251645,22,2.97596
0.0,100,3.032835
6.049835,96,3.097167
1.509028,100,3.157596
0.0,100,3.216362
0.403906,100,3.274897
0.0,100,4.217879
0.0,100,4.274409
0.0,100,4.331944
0.0,100,4.38815
0.0,100,4.444357
15.952025,100,4.502449
0.0,100,4.561936
1.773563,2,4.563857
1.127665,100,4.621825
0.0,100,4.67983
0.755828,100,4.743735
0.0,100,4.7911
8.111914,100,4.838287
4.773142,100,4.889947
0.0,100,4.938455
0.0,100,5.012313
0.0,100,5.071345
0.0,100,5.130023
0.552893,100,5.188197
0.0,100,5.246516
5.969649,20,5.258936
0.0,100,5.317796
0.0,100,5.375686
0.0,100,5.434057
0.0,100,5.491956
0.0,100,5.548431
0.0,100,5.604581
0.0,100,6.588244
0.0,100,6.646162
4.499424,100,6.706919
0.0,100,6.765417
-0.249507,5,6.769071
26.680666,9,6.775097
0.0,100,6.833145
0.0,100,6.890906
0.0,100,6.948553
0.0,100,7.006695
0.0,100,7.06424
4.719097,100,7.122353
0.0,100,7.180045
0.0,100,7.242816
0.0,100,7.300306
0.0,100,7.358079
0.0,100,7.415893
0.0,100,7.474895
0.0,100,7.532103
1.280276,52,7.562529
7.228285,100,7.620487
0.0,100,7.678035
0.0,100,7.73564
0.0,100,8.684814
25.241043,9,8.691085
2.500916,100,8.747623
0.0,100,8.80417
1.432492,100,8.860798
0.0,100,8.916931
0.0,100,8.973201
9.920794,39,8.995898
6.228285,26,9.012696
2.500916,100,9.068741
4.499424,100,9.124941
0.0,100,9.181278
0.0,100,9.237778
35.096541,29,9.258781
1.872561,100,9.315098
0.0,100,9.371445
0.0,100,9.427479
0.0,100,9.483529
0.0,100,9.539379
0.0,100,9.595508
0.0,100,9.65198
0.0,100,9.707525
7.24752,100,9.754203
0.894539,100,9.800545
0.0,100,9.846844
0.0,100,9.893347
0.0,100,9.951894
39.214739,100,10.009302
2.122358,100,10.933839
7.044535,100,10.991129
9.609762,100,11.048042
0.0,100,11.105503
3.251645,37,11.127627
0.0,100,11.190025
0.0,100,11.249545
7.523154,2,11.251251
0.0,100,11.307432
9.317514,100,11.363935
0.0,100,11.42043
0.0,100,11.476539
0.0,100,11.532812
2.500916,100,11.589131
-1.0,8,11.594273
74.664456,8,11.599538
3.214979,4,11.602337
5.693511,100,11.659245
18.938837,100,11.715692
0.0,100,11.773131
1.432492,100,11.829437
0.0,100,11.885592
13.480324,14,11.894228
0.0,100,11.950758
0.0,100,12.006973
