#{"t_start": 1745976579.4312866, "env_id": "None"}
r,l,t
36.765952,13,0.024667
1.409371,6,0.028692
16.709731,16,0.038606
2.756347,5,0.042201
29.035247,6,0.046416
14.938591,17,0.056792
1.940291,2,0.058482
0.0,100,0.115551
4.561154,4,0.118588
31.38532,8,0.124101
0.0,100,0.180673
46.047575,5,0.184341
76.939966,5,0.18797
4.637529,10,0.194383
75.894336,7,0.199214
0.0,100,0.255619
0.0,100,0.312059
0.0,100,0.368611
1.209173,3,0.370881
70.720327,21,0.383625
77.523096,6,0.387863
4.548201,8,0.393248
29.595839,7,0.39808
59.505234,12,0.405613
0.0,100,0.462258
3.007927,3,0.464516
0.0,100,0.521386
31.700914,13,0.529571
2.786609,4,0.532502
87.117427,7,0.537267
61.629652,9,0.543161
5.525195,7,0.547863
76.939966,6,0.55207
0.0,100,0.608593
60.175263,7,0.613373
83.516103,9,0.623306
10.14107,6,0.627562
1.980027,9,0.633396
1.649997,28,0.649812
1.13596,39,0.672423
52.772359,8,0.677756
0.0,100,0.734432
3.251645,3,0.736677
1.259313,4,0.739638
0.0,100,0.796451
0.660316,14,0.80502
-1.0,30,0.822533
3.163955,3,0.825008
43.287898,30,0.84278
59.439097,17,0.853223
73.347076,9,0.859224
33.578385,19,0.870781
52.772359,14,0.879491
31.028118,20,0.891843
3.151068,6,0.895821
79.935272,7,0.900626
84.083942,17,0.911098
8.146266,5,0.914748
14.938591,28,0.931393
51.927879,50,0.960468
1.187746,29,0.977373
49.119194,6,0.981589
-0.455689,18,0.992482
0.0,100,1.049882
4.442639,11,1.056797
8.700373,12,1.064409
0.0,100,1.120827
-1.0,54,1.151551
22.441045,100,1.209667
31.650548,13,1.217883
6.4434,5,1.221531
4.442639,11,2.073401
23.995072,100,2.131302
54.89945,5,2.135054
0.0,100,2.19336
0.0,100,2.253103
57.098357,11,2.260421
28.386215,6,2.264653
3.251645,6,2.26862
0.0,100,2.326067
0.0,100,2.383529
8.912081,100,2.440351
42.771058,17,2.451349
5.237822,7,2.455998
9.266537,11,2.463019
1.409371,2,2.464675
76.484241,12,2.472203
0.0,100,2.528831
0.0,100,2.585599
0.0,100,2.643306
-1.0,16,2.653441
3.804069,3,2.655769
85.994727,12,2.663403
4.548201,4,2.666411
1.264042,5,2.669966
40.583635,29,2.687195
3.122828,15,2.696293
0.0,100,2.754676
1.793728,11,2.761629
0.0,100,2.818232
30.387406,33,2.837548
0.0,100,2.894263
-0.455689,16,2.904002
4.366362,14,2.914993
0.0,100,2.974867
76.994394,7,2.979977
4.442639,6,2.984196
1.732528,9,2.990003
0.0,100,3.047976
2.756347,6,3.069508
1.252813,5,3.073068
0.0,100,3.13169
0.0,100,3.189312
0.0,100,3.247333
3.122828,5,3.250867
0.0,100,4.157996
81.119881,29,4.175819
0.0,100,4.23435
7.923786,11,4.241587
36.722065,16,4.251741
0.0,100,4.31146
0.451767,3,4.313923
0.0,100,4.372177
1.259313,8,4.378717
77.651013,17,4.389394
-1.0,17,4.399706
74.995684,11,4.406956
4.366362,16,4.417225
0.0,100,4.47505
40.91943,6,4.483501
0.721319,3,4.485793
