#{"t_start": 1745975347.1936915, "env_id": "None"}
r,l,t
0.459565,100,0.068701
14.292966,19,0.08128
0.0,100,0.138217
-0.665361,34,0.157898
15.615112,10,0.164196
-1.0,45,0.19023
3.398724,2,0.191913
0.464574,100,0.248624
0.0,100,0.304986
4.179438,3,0.30724
-1.0,2,0.308827
0.0,100,0.365104
0.756593,100,0.422369
0.0,100,0.484635
0.791093,100,0.541739
-0.72054,13,0.549959
0.0,100,0.606642
19.922424,27,0.622428
-1.0,1,0.623488
0.0,100,0.680499
18.798106,27,0.696229
-0.729687,2,0.697911
0.0,100,0.754302
0.0,100,0.81449
3.228783,25,0.829659
4.179438,2,0.83156
6.298945,3,0.833854
0.0,100,0.891591
0.062601,22,0.905008
-0.775454,37,0.927341
6.298945,2,0.929269
0.0,100,1.013547
6.32493,3,1.016335
-1.0,2,1.017973
0.039657,14,1.027126
-1.0,71,1.068148
-1.0,18,1.079075
0.27946,100,1.137247
0.0,100,1.193547
2.28048,89,2.206561
0.039657,8,2.212039
16.984244,5,2.215628
-0.775454,87,2.266105
0.0,100,2.324644
-0.72054,7,2.329328
0.062601,63,2.366356
0.0,100,2.423901
14.804407,14,2.432359
0.0,100,2.490026
0.0,100,2.547068
0.0,100,2.604958
0.756593,100,2.662184
11.49973,100,2.719725
0.0,100,2.777394
2.650807,9,2.791891
-0.575951,9,2.798085
0.0,100,2.85685
0.339766,100,2.915351
0.0,100,2.973897
15.375712,2,2.975642
14.794486,11,2.982553
0.0,100,3.040011
23.300733,11,3.046839
0.0,100,3.104678
20.403085,7,3.109291
0.0,100,3.166995
-1.0,34,3.187004
-1.0,22,3.200144
3.228783,13,3.208172
-0.665361,15,3.218997
-1.0,5,3.222342
0.0,100,3.280117
0.0,100,3.337781
0.0,100,3.395985
14.292966,8,4.271918
0.062601,34,4.292728
4.258348,100,4.351066
-0.575951,13,4.359431
0.0,100,4.418513
-1.0,7,4.42305
0.0,100,4.480658
0.901507,100,4.536897
11.088089,22,4.549697
-0.212441,2,4.551389
0.0,100,4.607722
0.0,100,4.664207
-0.729687,7,4.668843
23.300733,3,4.671074
11.49973,100,4.727753
0.0,100,4.785841
19.961058,3,4.788141
0.459565,100,4.844098
0.459565,100,4.89059
0.0,100,4.937104
-0.212441,2,4.938395
-0.208907,2,4.939698
5.889999,5,4.952049
0.062601,28,4.969003
-1.0,22,4.982397
-0.72054,69,5.021804
-0.665361,26,5.037204
19.961058,2,5.038872
19.961058,7,5.043447
5.870307,23,5.05732
