#{"t_start": 1745975835.9723997, "env_id": "None"}
r,l,t
0.76777,100,0.072594
3.34027,10,0.079137
2.887697,2,0.080858
0.0,100,0.13767
3.34027,22,0.150824
0.0,100,0.209476
0.0,100,0.267851
1.373647,80,0.314835
0.0,100,0.374814
0.0,100,0.432372
3.37474,2,0.434292
37.035215,8,0.439464
3.34027,56,0.472144
19.624294,100,0.529549
0.0,100,0.586614
0.0,100,0.644762
0.0,100,0.704068
3.562676,5,0.707802
0.0,100,0.764457
3.36982,2,0.766164
1.741389,100,0.822989
3.562676,4,0.825994
7.134941,100,0.883071
0.0,100,0.940117
3.36982,2,0.94186
9.490655,11,0.984688
20.13017,100,1.052255
37.414239,100,1.11745
0.0,100,1.181716
0.708127,100,1.240972
0.741389,51,2.173714
0.0,100,2.231907
3.560845,100,2.291148
0.0,100,2.348775
3.34027,17,2.359212
0.0,100,2.4172
35.981854,100,2.474778
3.315593,7,2.47949
0.0,100,2.53749
0.0,100,2.595772
0.455426,100,2.653722
0.0,100,2.711529
0.0,100,2.76877
0.453945,100,2.827776
0.0,100,2.885668
0.0,100,2.94414
0.604788,100,3.001578
37.035195,8,3.007076
0.0,100,3.064877
1.842799,100,3.122528
39.413098,5,3.126114
20.295507,100,3.20202
-1.0,2,3.203833
0.0,100,3.262637
0.799701,100,3.321416
0.0,100,3.379279
1.940291,2,3.38145
3.34027,42,4.359152
1.940291,3,4.362014
0.0,100,4.422478
0.904489,100,4.480086
0.0,100,4.538276
3.850386,100,4.597335
0.0,100,4.655656
19.080685,100,4.716681
1.409371,16,4.726496
1.209092,6,4.730491
0.0,100,4.792756
1.845434,100,4.852525
2.887697,2,4.854413
0.0,100,4.93409
0.0,100,4.982703
0.0,100,5.031236
0.0,100,5.079829
0.0,100,5.128422
1.409371,22,5.153374
0.0,100,5.212399
10.189248,3,5.215086
0.0,100,5.278719
4.236046,7,5.284071
0.0,100,5.349339
3.605905,100,5.414589
2.0,100,5.479051
1.940291,3,5.481558
2.28474,100,5.546309
1.84781,4,5.549588
0.0,100,5.613397
20.374775,100,5.677642
0.0,100,5.741612
1.335404,100,5.805717
0.0,100,5.869925
0.0,100,6.822456
0.0,100,6.889144
0.0,100,6.952936
20.541752,40,6.981233
1.814361,100,7.039212
1.209173,2,7.041049
0.695602,100,7.098569
3.34027,50,7.12802
0.0,100,7.184985
3.530753,4,7.18782
0.0,100,7.244917
0.0,100,7.301721
0.453945,100,7.361457
0.97836,2,7.363175
41.366893,5,7.366716
0.0,100,7.424355
0.0,100,7.481309
0.0,100,7.538539
0.0,100,7.605008
0.0,100,7.662368
3.315512,16,7.672257
0.0,100,7.729713
39.329805,4,7.732628
1.409371,3,7.734902
1.845434,100,7.791916
0.76777,100,7.848979
3.34027,19,7.860399
0.0,100,7.917043
2.245631,100,7.975074
35.957282,6,7.982424
1.409371,5,8.898235
0.0,100,8.958459
4.018275,100,9.018265
0.0,100,9.077191
43.010664,100,9.136607
0.0,100,9.193518
0.0,100,9.250525
0.0,100,9.307298
0.0,100,9.368782
0.0,100,9.427039
0.904489,100,9.485463
0.0,100,9.543968
20.447551,100,9.607534
0.459617,100,9.672178
0.0,100,9.734973
3.530753,4,9.738185
0.0,100,9.800277
0.0,100,9.863894
39.329805,8,9.869488
0.0,100,9.927157
3.36982,2,9.994399
0.0,100,10.042398
0.0,100,10.090307
0.0,100,10.138787
0.0,100,10.186911
0.0,100,10.255084
4.204354,3,10.257811
3.007927,3,10.260114
0.0,100,10.318118
0.0,100,11.295188
2.0,100,11.35409
24.388363,16,11.3644
0.0,100,11.423987
0.0,100,11.482828
0.0,100,11.540529
2.37103,5,11.544185
0.0,100,11.602745
1.373647,37,11.625314
3.283288,5,11.629068
0.0,100,11.68762
0.0,100,11.745285
0.0,100,11.802855
3.007927,2,11.80458
-1.0,34,11.824517
20.627589,100,11.88215
0.0,100,11.939726
0.0,100,11.997087
0.690977,100,12.054831
0.0,100,12.11267
3.007927,3,12.11505
21.516812,100,12.186943
0.0,100,12.244672
0.0,100,12.302264
40.567416,7,12.307015
19.433028,100,12.364689
-1.0,4,12.367463
3.524968,4,12.370432
-1.0,4,12.3732
0.905539,100,12.4307
-1.0,5,12.434071
0.0,100,13.430637
0.0,100,13.488985
20.577456,100,13.547106
-1.0,2,13.548812
23.947315,9,13.554753
41.366342,100,13.613137
0.0,100,13.671087
37.035215,21,13.684196
0.0,100,13.741976
34.34466,4,13.744948
20.780043,100,13.802839
0.0,100,13.860479
2.543161,100,13.919559
0.0,100,13.977404
-1.0,1,13.987172
0.0,100,14.044758
0.0,100,14.102645
0.714333,100,14.160269
0.0,100,14.217717
-1.0,18,14.228745
0.0,100,14.287032
0.0,100,14.34452
4.810477,100,14.402055
0.0,100,14.459336
1.209173,2,14.461044
0.904489,100,14.518883
-1.0,1,14.519909
0.367028,6,14.523956
0.0,100,14.581578
4.662649,100,15.568914
0.0,100,15.627032
0.0,100,15.685758
-1.0,5,15.689235
0.0,100,15.747633
2.373647,100,15.805696
20.534646,100,15.863707
0.0,100,15.973042
0.0,100,16.02088
0.0,100,16.068832
22.226497,100,16.116747
0.0,100,16.164526
-1.0,28,16.190913
2.0,100,16.248778
0.0,100,16.306546
1.209092,5,16.310013
0.0,100,16.367783
15.649002,100,16.425548
0.0,100,16.483107
0.0,100,16.540644
2.589393,3,16.543043
0.0,100,16.60086
3.315512,4,16.603787
0.0,100,16.664763
0.0,100,16.722452
20.676782,100,16.780128
0.0,100,16.837421
3.772492,28,16.854152
0.0,100,16.912727
1.909767,10,16.919042
20.13017,100,16.976481
1.119553,100,18.010795
36.625182,11,18.018351
-1.0,2,18.020051
3.007927,3,18.022444
0.0,100,18.082143
19.553419,100,18.141236
0.0,100,18.200265
0.0,100,18.259192
3.054033,2,18.260949
0.741389,59,18.296034
19.077959,100,18.355987
5.374179,100,18.415842
-1.0,96,18.476559
7.28884,100,18.53454
0.0,100,18.592294
0.0,100,18.649623
0.0,100,18.707078
18.607736,100,18.765031
2.731186,100,18.822393
14.381046,100,18.879847
0.904489,100,18.938157
13.938435,25,18.95326
-1.0,3,18.955466
0.0,100,19.013152
0.0,100,19.070724
0.0,100,19.128075
45.075115,100,20.111909
6.729285,100,20.172421
36.941293,4,20.175894
0.0,100,20.236183
0.0,100,20.29766
0.0,100,20.35849
0.0,100,20.421891
0.0,100,20.481087
21.78428,100,20.54227
19.38043,100,20.621622
39.413098,4,20.626586
0.904489,100,20.700694
1.845434,100,20.771197
0.0,100,20.830054
0.0,100,20.889859
20.049759,100,20.949239
0.0,100,21.009002
0.0,100,21.068066
3.054033,2,21.070056
0.0,100,21.143814
0.0,100,21.191858
0.0,100,21.240325
0.0,100,21.28835
0.0,100,21.33603
16.828287,17,21.348888
0.0,100,21.407608
0.0,100,21.465903
0.444575,100,21.524188
0.0,100,21.581744
0.0,100,22.541632
0.0,100,22.59934
0.0,100,22.656882
0.0,100,22.715099
0.97836,3,22.717524
2.245631,100,22.77545
37.68385,100,22.833899
23.138087,100,22.893922
0.905539,100,22.952912
0.0,100,23.012057
0.0,100,23.074018
2.80011,100,23.133322
0.0,100,23.191396
0.0,100,23.276931
0.0,100,23.33533
0.0,100,23.3939
1.119553,100,23.451408
0.0,100,23.509133
0.0,100,23.567163
0.0,100,23.624989
0.0,100,23.682788
0.0,100,23.741609
0.695602,100,24.773422
0.0,100,24.83206
0.0,100,24.893051
0.0,100,24.952319
0.0,100,25.01155
0.741389,40,25.035454
41.733633,100,25.094232
0.0,100,25.153322
0.0,100,25.212902
38.455948,4,25.215895
4.204354,10,25.222461
0.0,100,25.280602
3.524968,26,25.296528
0.741389,73,25.349277
0.0,100,25.414019
2.37103,21,25.428882
0.0,100,25.491804
20.775337,100,25.554435
0.0,100,25.616987
11.149367,5,25.620824
42.666941,100,25.683741
0.0,100,25.745719
4.849316,100,25.809318
20.049759,100,25.872509
0.695602,100,25.936112
19.553419,100,26.960724
39.536792,90,27.015369
0.0,100,27.074108
3.054033,2,27.075871
3.560845,100,27.134036
1.845434,100,27.191952
3.530753,4,27.194936
0.0,100,27.249273
0.0,100,27.296741
0.705292,100,27.344297
2.409371,100,27.391941
0.0,100,27.439862
1.940291,3,27.444218
0.0,100,27.50358
0.604788,100,27.562179
0.0,100,27.620009
0.0,100,27.677771
0.0,100,27.735737
0.0,100,27.794082
0.0,100,27.851655
1.909767,2,27.853491
1.261,3,27.855787
0.0,100,27.913081
19.510399,100,27.970748
0.0,100,28.028256
0.0,100,28.086314
0.0,100,28.14388
12.404894,100,28.201617
0.0,100,28.25918
0.0,100,28.316349
1.209173,10,28.322743
0.0,100,28.379982
19.510399,100,29.36943
0.0,100,29.433337
3.678876,100,29.49377
0.0,100,29.555857
0.0,100,29.614796
0.0,100,29.675559
41.366342,100,29.739788
0.0,100,29.804944
0.0,100,29.867064
3.36982,3,29.869833
0.97836,2,29.871747
20.374775,100,29.934768
0.0,100,29.997168
-0.309023,83,30.051297
3.283288,30,30.071103
0.0,100,30.132488
20.374775,100,30.189965
0.0,100,30.250059
0.604788,100,30.312358
42.460117,100,30.374955
0.0,100,30.455346
0.455426,100,30.513548
43.044514,34,30.533874
37.454389,4,30.536875
0.0,100,31.530116
1.814361,100,31.591602
0.0,100,31.651775
0.0,100,31.715389
40.554988,3,31.718338
0.0,100,31.778229
41.512042,4,31.781265
0.0,100,31.839414
1.122501,100,31.900308
0.0,100,31.959395
0.0,100,32.020226
7.134941,100,32.080176
18.607736,100,32.14071
20.049759,100,32.200133
0.0,100,32.259869
3.056377,100,32.32022
0.0,100,32.399546
0.0,100,32.449321
0.0,100,32.49861
0.0,100,32.547344
38.771549,100,32.596115
1.119553,100,32.667813
0.0,100,32.72688
0.0,100,32.786412
0.0,100,32.845282
0.0,100,32.904945
0.0,100,32.96346
41.366342,100,33.021452
7.28884,100,33.993666
23.947209,6,33.997983
39.329805,44,34.023834
0.0,100,34.081681
12.452367,95,34.136672
0.0,100,34.194097
40.91943,7,34.198806
0.0,100,34.256153
0.0,100,34.314213
21.541752,100,34.371938
0.0,100,34.429455
13.779674,100,34.487719
0.0,100,34.544925
2.533154,100,34.602392
0.0,100,34.659899
0.0,100,34.717474
3.283288,6,34.721575
0.0,100,34.786488
7.12415,100,34.844019
-1.0,53,34.874706
19.624294,100,34.932593
2.373647,100,34.990501
0.0,100,35.048087
0.0,100,35.105496
41.190418,4,35.108468
0.0,100,36.108942
0.0,100,36.17139
0.0,100,36.228396
0.0,100,36.286979
0.0,100,36.344728
0.97836,3,36.352523
4.054366,3,36.354995
0.0,100,36.412037
0.0,100,36.469393
0.0,100,36.527329
0.0,100,36.585898
37.546533,4,36.588978
0.0,100,36.646873
19.624294,100,36.704575
1.741389,100,36.762231
1.373647,83,36.821664
0.0,100,36.887827
1.261,7,36.893257
20.374775,100,36.956026
