#{"t_start": 1745974843.7034302, "env_id": "None"}
r,l,t
0.624722,100,0.066343
0.0,100,0.122728
0.0,100,0.178518
0.0,100,0.23431
0.0,100,0.290321
0.0,100,0.346071
0.0,100,0.401997
0.0,100,0.457955
0.0,100,0.513445
0.0,100,0.569561
0.0,100,0.625438
10.719155,100,0.682025
0.0,100,0.742974
13.019446,100,0.828554
0.0,100,0.890673
0.0,100,0.949105
0.0,100,1.0074
0.0,100,1.066893
0.0,100,1.127016
0.0,100,1.185346
0.0,100,2.142528
0.624722,100,2.19971
13.019446,100,2.256656
0.0,100,2.313534
-1.0,11,2.320317
0.0,100,2.377062
9.567622,100,2.433715
0.0,100,2.489848
9.567622,100,2.546886
0.0,100,2.603484
0.0,100,2.667471
0.0,100,2.724156
0.0,100,2.78067
0.0,100,2.837753
13.019446,100,2.894309
0.0,100,2.951872
13.019446,100,3.007929
0.0,100,3.064368
13.019446,100,3.120884
13.019446,100,3.177891
9.567622,100,3.234536
0.0,100,4.192708
0.0,100,4.249441
9.567622,100,4.306585
0.0,100,4.363364
0.0,100,4.419773
9.567622,100,4.476408
16.673979,100,4.534322
9.567622,100,4.59053
0.0,100,4.647342
0.0,100,4.750714
0.0,100,4.797729
0.0,100,4.844505
0.0,100,4.891586
0.0,100,4.938554
0.0,100,5.004642
9.567622,100,5.060934
9.567622,100,5.117775
0.0,100,5.174087
0.0,100,5.230576
0.0,100,5.28671
0.0,100,5.342697
0.0,100,5.398592
0.0,100,5.454711
9.567622,100,5.510824
20.511386,100,5.567401
0.0,100,6.526989
0.0,100,6.583685
0.0,100,6.641034
0.0,100,6.697366
13.019446,100,6.753825
0.0,100,6.810322
0.0,100,6.866385
16.673979,100,6.923657
0.0,100,6.979978
0.0,100,7.037048
0.0,100,7.09939
0.0,100,7.1605
0.0,100,7.217205
0.0,100,7.273544
0.0,100,7.339139
29.730362,100,7.395856
9.567622,100,7.452541
0.0,100,7.508694
0.0,100,7.565296
9.567622,100,7.621776
0.0,100,8.576845
0.0,100,8.634261
0.0,100,8.690897
0.0,100,8.751756
0.0,100,8.813582
13.019446,100,8.876183
29.730362,100,8.939183
13.019446,100,9.005772
0.0,100,9.067392
0.624722,100,9.129344
0.0,100,9.191031
0.0,100,9.253717
0.0,100,9.315621
0.0,100,9.3778
17.683058,100,9.439698
0.0,100,9.50114
13.019446,100,9.563513
9.567622,100,9.625888
0.0,100,9.687103
13.019446,100,9.745251
0.0,100,9.795434
0.0,100,9.845693
0.0,100,9.896029
0.0,100,9.946161
9.567622,100,10.018222
0.0,100,10.079834
0.0,100,11.107755
0.0,100,11.171157
17.683058,100,11.23293
0.0,100,11.295096
0.0,100,11.357213
0.0,100,11.419134
0.0,100,11.481121
20.511386,100,11.549017
9.567622,100,11.611593
0.0,100,11.674017
29.730362,100,11.736233
19.453952,100,11.798756
0.0,100,11.861146
20.511386,100,11.924095
0.0,100,11.986396
0.0,100,12.048324
9.567622,100,12.110302
29.730362,100,12.17601
0.0,100,12.241371
0.0,100,12.300676
0.0,100,13.258878
0.0,100,13.316146
0.0,100,13.372855
0.0,100,13.430098
0.0,100,13.487256
0.0,100,13.544903
0.0,100,13.601875
9.567622,100,13.659704
9.567622,100,13.717198
13.019446,100,13.780802
13.019446,100,13.83993
0.0,100,13.896598
13.019446,100,13.953473
9.567622,100,14.011715
0.0,100,14.078688
13.019446,100,14.136065
9.567622,100,14.194234
19.453952,100,14.251392
19.453952,100,14.307597
0.0,100,14.363954
0.0,100,14.420313
0.0,100,15.349719
0.0,100,15.408978
0.0,100,15.465878
9.567622,100,15.522601
0.0,100,15.581454
12.019446,46,15.607609
0.0,100,15.66507
0.0,100,15.746571
0.0,100,15.793699
0.0,100,15.840432
0.0,100,15.887443
0.0,100,15.934139
9.567622,100,15.992664
0.0,100,16.051019
19.453952,100,16.109025
29.730362,100,16.165744
19.453952,100,16.222361
0.0,100,16.2794
0.0,100,16.338465
9.567622,100,16.398823
17.683058,100,16.465258
0.0,100,16.522219
0.0,100,16.578512
19.453952,100,16.640113
17.683058,100,16.699372
13.019446,100,17.624729
9.567622,100,17.682829
9.567622,100,17.739463
0.0,100,17.795854
0.0,100,17.858682
0.0,100,17.915416
0.0,100,17.971746
20.511386,100,18.029586
0.0,100,18.086475
0.0,100,18.146428
19.453952,100,18.206605
17.683058,100,18.26282
0.0,100,18.318885
0.0,100,18.374653
0.0,100,18.44031
13.019446,100,18.496276
13.019446,100,18.552674
0.0,100,18.608745
9.567622,100,18.665198
0.0,100,18.723937
9.567622,100,18.780792
0.0,100,19.691813
9.567622,100,19.748614
0.0,100,19.805127
13.019446,100,19.861781
13.019446,100,19.918167
0.0,100,19.974199
0.0,100,20.03006
0.0,100,20.086282
0.0,100,20.142536
15.673979,8,20.147575
0.0,100,20.203697
0.0,100,20.259404
0.0,100,20.316668
13.019446,100,20.372766
0.0,100,20.429069
29.730362,100,20.485318
0.0,100,20.592758
0.0,100,20.638727
0.0,100,20.684652
0.0,100,20.730472
0.0,100,20.776207
0.0,100,20.833524
0.624722,100,20.889897
29.730362,100,20.945947
9.567622,100,21.002156
0.0,100,21.937199
13.019446,100,21.995936
0.0,100,22.054211
9.567622,100,22.112625
29.730362,100,22.17087
0.0,100,22.227623
0.0,100,22.283807
0.0,100,22.347777
20.511386,100,22.408123
9.567622,100,22.48434
0.0,100,22.541657
0.0,100,22.599249
20.511386,100,22.657799
0.0,100,22.719699
0.0,100,22.782434
17.683058,100,22.840981
0.0,100,22.90027
0.0,100,22.959839
13.019446,100,23.020737
9.567622,100,23.079358
0.0,100,23.137576
20.511386,100,24.108555
13.019446,100,24.165229
9.567622,100,24.222159
9.567622,100,24.283603
0.0,100,24.346138
29.730362,100,24.407428
0.0,100,24.486018
0.0,100,24.546979
19.453952,100,24.605496
0.0,100,24.662012
0.0,100,24.718783
18.453952,96,24.773274
0.0,100,24.829652
20.511386,100,24.886708
19.453952,100,24.958794
0.0,100,25.017188
13.019446,100,25.074709
0.0,100,25.133242
0.0,100,25.191609
0.0,100,25.249846
20.511386,100,26.21752
0.0,100,26.275304
9.567622,100,26.333096
0.0,100,26.390046
13.019446,100,26.44861
0.0,100,26.49898
13.019446,100,26.54658
0.0,100,26.596214
17.683058,100,26.643361
0.0,100,26.690912
0.0,100,26.758403
13.019446,100,26.816213
9.567622,100,26.873384
0.0,100,26.931244
0.0,100,26.988627
0.0,100,27.046322
0.0,100,27.105309
12.019446,5,27.108767
0.0,100,27.176737
9.567622,100,27.233891
13.019446,100,27.290998
0.0,100,27.3487
13.019446,100,27.40673
12.019446,40,27.429972
0.0,100,27.487299
0.0,100,27.555069
0.0,100,27.618167
9.567622,100,28.554756
0.0,100,28.612494
0.0,100,28.670277
0.0,100,28.727615
0.0,100,28.78559
0.0,100,28.843299
9.567622,100,28.900834
9.567622,100,28.958453
17.683058,100,29.01579
13.019446,100,29.074191
0.0,100,29.131764
9.567622,100,29.189477
0.0,100,29.247168
0.0,100,29.304452
9.567622,100,29.370481
18.453952,69,29.410441
8.567622,75,29.45359
13.019446,100,29.511359
15.673979,20,29.523273
0.0,100,29.580548
13.019446,100,29.63823
29.730362,100,29.695826
0.0,100,30.630096
18.453952,26,30.645693
0.0,100,30.70281
9.567622,100,30.760159
0.0,100,30.81699
0.0,100,30.873702
29.730362,100,30.931214
9.567622,100,30.989695
0.0,100,31.046803
0.0,100,31.103789
0.0,100,31.161037
0.0,100,31.217886
19.453952,100,31.275333
0.0,100,31.334064
8.567622,35,31.354721
0.0,100,31.42157
0.0,100,31.468848
0.0,100,31.516062
13.019446,100,31.563708
0.0,100,31.610559
0.0,100,31.669544
13.019446,100,31.727753
0.0,100,31.785026
0.0,100,31.842428
0.0,100,31.900065
19.453952,100,31.957771
0.0,100,32.014879
0.0,100,33.00664
9.567622,100,33.064621
15.673979,53,33.095494
0.0,100,33.152715
0.0,100,33.210671
0.0,100,33.26956
0.0,100,33.326767
0.0,100,33.384172
13.019446,100,33.441609
13.019446,100,33.49864
19.453952,100,33.55725
0.0,100,33.615375
19.453952,100,33.678225
13.019446,100,33.736049
19.453952,100,33.793695
0.0,100,33.850626
29.730362,100,33.908653
0.0,100,33.966467
0.0,100,34.023452
0.0,100,34.080669
9.567622,100,34.138089
9.567622,100,35.114703
13.019446,100,35.173657
15.673979,53,35.205436
0.0,100,35.267115
0.0,100,35.335662
0.0,100,35.397167
0.0,100,35.467736
0.0,100,35.523759
9.567622,100,35.580423
0.0,100,35.637873
0.0,100,35.695247
0.0,100,35.752779
13.019446,100,35.810799
9.567622,100,35.870168
13.019446,100,35.936843
8.567622,9,35.942658
9.567622,100,36.000052
15.673979,61,36.036196
19.453952,100,36.095417
0.0,100,36.153385
0.0,100,36.210949
0.0,100,36.268633
17.683058,100,37.223636
9.567622,100,37.284454
0.0,100,37.348815
0.0,100,37.397171
0.0,100,37.445201
13.019446,100,37.492912
0.0,100,37.541667
0.0,100,37.603009
0.0,100,37.664121
9.567622,100,37.721287
0.0,100,37.777393
0.0,100,37.833966
15.673979,94,37.887378
13.019446,100,37.944729
29.730362,100,38.001927
19.453952,100,38.058903
0.0,100,38.117056
0.0,100,38.183584
8.567622,69,38.224457
0.0,100,38.283063
0.0,100,38.342489
18.453952,61,38.378517
0.0,100,38.434905
0.0,100,38.495192
29.730362,100,38.552352
0.0,100,38.6091
9.567622,100,39.613872
0.0,100,39.678747
8.567622,24,39.693542
13.019446,100,39.751099
0.0,100,39.808799
0.0,100,39.865952
0.0,100,39.928657
0.0,100,39.986892
13.019446,100,40.043601
18.453952,10,40.049997
0.0,100,40.106602
17.683058,100,40.163487
13.019446,100,40.219976
29.730362,100,40.278273
0.0,100,40.33483
13.019446,100,40.391845
8.567622,17,40.402104
19.453952,100,40.458978
0.0,100,40.515649
0.0,100,40.575426
18.453952,54,40.606644
0.0,100,40.663294
0.0,100,40.734746
15.673979,42,40.758814
17.683058,100,41.707407
0.0,100,41.765961
20.511386,100,41.823236
9.567622,100,41.881019
9.567622,100,41.937505
0.0,100,41.994694
0.0,100,42.050912
13.019446,100,42.10762
0.0,100,42.163769
0.0,100,42.221679
18.453952,13,42.229839
18.453952,7,42.234372
0.0,100,42.290926
0.0,100,42.359857
0.0,100,42.407751
13.019446,100,42.455039
0.0,100,42.5034
17.683058,100,42.550935
9.719155,35,42.573875
13.019446,100,42.631461
0.0,100,42.689113
12.019446,24,42.70378
0.0,100,42.761815
15.673979,32,42.782054
13.019446,100,42.840969
0.0,100,42.897686
13.019446,100,42.955346
9.567622,100,43.012525
29.730362,100,43.06941
