#{"t_start": 1745976600.0097055, "env_id": "None"}
r,l,t
0.0,100,0.07167
0.0,100,0.130203
0.0,100,0.188906
0.0,100,0.248435
-1.0,92,0.30178
0.0,100,0.35944
0.0,100,0.417322
0.0,100,0.474941
0.0,100,0.532791
0.0,100,0.590553
0.0,100,0.649579
0.0,100,0.708107
0.592925,100,0.767077
0.0,100,0.825851
0.592925,100,0.886743
0.0,100,0.946478
0.0,100,1.003944
0.0,100,1.063424
0.592925,100,1.121007
0.0,100,1.178235
0.0,100,2.265282
0.0,100,2.323978
0.0,100,2.383331
0.0,100,2.444413
0.0,100,2.503799
0.0,100,2.5625
0.0,100,2.622181
0.0,100,2.68287
0.0,100,2.739702
0.0,100,2.79652
0.0,100,2.85398
0.592925,100,2.914853
0.0,100,2.973378
0.0,100,3.031583
0.0,100,3.089909
0.0,100,3.148283
0.0,100,3.205581
0.592925,100,3.263003
0.0,100,3.32062
0.0,100,3.382201
0.0,100,3.439517
0.0,100,4.363925
0.0,100,4.421499
0.0,100,4.47872
0.0,100,4.536059
0.0,100,4.592838
0.0,100,4.649821
0.0,100,4.70625
0.0,100,4.762163
0.0,100,4.818273
0.0,100,4.873477
0.0,100,4.920442
0.0,100,4.967189
0.0,100,5.014148
0.0,100,5.061146
0.0,100,5.127981
0.0,100,5.186462
0.0,100,5.243044
0.0,100,5.300428
0.0,100,5.360345
0.0,100,5.418481
0.0,100,5.476596
0.0,100,5.536273
0.0,100,5.594445
0.0,100,5.652409
0.0,100,5.710524
0.0,100,6.734265
0.0,100,6.791392
0.0,100,6.848157
0.0,100,6.905152
0.0,100,6.962224
0.0,100,7.019296
0.0,100,7.077145
0.0,100,7.134089
0.0,100,7.190567
0.0,100,7.247012
0.0,100,7.303575
0.0,100,7.360011
0.0,100,7.416564
0.0,100,7.478333
0.0,100,7.535809
0.0,100,7.59246
0.0,100,7.648787
0.0,100,7.705172
0.0,100,7.761433
0.0,100,7.818239
0.0,100,8.742168
0.0,100,8.800055
0.0,100,8.857534
0.0,100,8.914856
0.0,100,8.972475
0.0,100,9.030459
0.0,100,9.08771
0.0,100,9.146909
0.0,100,9.205173
0.0,100,9.262469
0.0,100,9.320525
0.0,100,9.381259
0.0,100,9.438978
0.0,100,9.496932
0.0,100,9.554266
0.0,100,9.612301
0.0,100,9.672896
0.0,100,9.736223
0.0,100,9.793423
0.0,100,9.841564
0.0,100,9.888721
0.0,100,9.93598
0.0,100,9.983078
0.0,100,10.030068
0.0,100,10.088926
0.0,100,10.14557
0.0,100,11.059473
0.0,100,11.117503
0.0,100,11.175718
0.0,100,11.233021
0.0,100,11.292434
0.0,100,11.353361
0.0,100,11.412187
0.0,100,11.470156
0.0,100,11.527781
0.0,100,11.58618
0.0,100,11.646296
0.0,100,11.705174
0.0,100,11.762719
0.0,100,11.820076
0.0,100,11.877614
0.0,100,11.93595
0.0,100,11.99483
0.0,100,12.061408
0.0,100,12.119139
0.0,100,12.179185
0.0,100,13.077972
0.0,100,13.135523
0.0,100,13.19474
0.0,100,13.253133
0.0,100,13.311301
0.0,100,13.369389
0.0,100,13.427472
