#{"t_start": 1745976305.3066747, "env_id": "None"}
r,l,t
0.718121,100,0.091811
4.126042,100,0.151089
2.280858,5,0.154866
25.526097,41,0.179581
-1.0,1,0.180624
0.0,100,0.239084
11.44171,14,0.248217
0.718121,100,0.307699
14.845598,25,0.323887
71.577767,17,0.335431
45.508091,13,0.344713
3.081626,10,0.351905
0.0,100,0.41124
36.58487,56,0.444913
6.908066,100,0.504474
1.088997,11,0.511583
0.0,100,0.570327
1.377262,10,0.576988
-0.198827,5,0.580476
31.43761,52,0.611194
17.705816,9,0.617128
2.04656,3,0.619401
12.009564,4,0.622405
25.894892,100,0.680005
0.345385,100,0.737906
0.0,100,0.796998
35.24421,13,0.805635
0.0,100,0.867677
65.047457,18,0.8796
3.366181,3,0.882072
16.010847,3,0.884506
13.125638,5,0.888168
0.0,100,0.946918
41.749,5,0.959122
3.081626,8,0.964696
0.0,100,1.023937
32.502661,10,1.030807
53.927638,10,1.037596
-0.530603,5,1.041341
0.0,100,1.100212
47.419623,17,1.110985
54.422091,65,1.149999
0.001326,22,1.163772
1.088997,3,1.166183
0.009709,25,1.181497
9.981132,8,1.187291
30.041513,9,1.19341
16.905031,56,1.227006
0.0,100,2.147787
0.0,100,2.207453
0.0,100,2.266451
0.576088,9,2.272527
0.709909,11,2.27982
93.961464,8,2.285378
6.588219,100,2.345201
-1.0,1,2.346456
12.032639,3,2.349009
83.954956,9,2.355489
48.067,17,2.367054
35.447269,82,2.419033
16.810644,8,2.424823
0.0,100,2.484329
0.0,100,2.546707
0.345385,100,2.606505
0.0,100,2.664923
0.161827,4,2.667889
45.353928,24,2.682963
27.437252,100,2.743351
0.0,100,2.801926
0.576297,4,2.80516
29.523415,28,2.822704
7.849761,10,2.829277
2.04205,13,2.837863
0.0,100,2.896751
6.741326,20,2.909762
13.092328,14,2.918782
-1.0,75,2.963569
1.377471,6,2.978641
0.345385,100,3.038784
0.0,100,3.098244
10.247834,2,3.100154
3.87719,100,3.161291
34.258082,34,3.182605
51.522475,8,3.188267
111.35175,11,3.195632
0.0,100,3.255671
12.52939,3,3.258135
16.084977,100,3.318335
1.088997,5,3.322205
0.0,100,3.381817
12.393079,28,4.309231
0.0,100,4.368853
4.364091,100,4.428347
17.684736,7,4.434639
30.153539,14,4.445551
0.0,100,4.510215
23.610397,5,4.514164
0.0,100,4.576195
0.576088,15,4.585986
12.097458,3,4.588308
84.264623,6,4.592682
0.0,100,4.651077
17.813854,33,4.672091
0.613369,100,4.737133
0.161827,3,4.739689
56.504119,10,4.746848
16.108683,9,4.753322
12.097458,3,4.755797
12.52939,5,4.759492
0.0,100,4.824688
8.876696,58,4.861931
16.165101,4,4.865117
-0.660004,9,4.871004
12.097458,2,4.884434
0.0,100,4.93603
14.897706,100,4.988868
16.165101,3,4.990791
78.348939,5,4.993802
12.976756,29,5.02085
1.056352,4,5.023818
-1.0,1,5.024858
0.0,100,5.082728
11.374853,9,5.08858
16.165101,4,5.091512
56.008794,10,5.098065
-1.0,79,5.143502
20.853605,9,5.149514
10.90408,3,5.151803
62.004062,14,5.160661
0.0,100,5.220015
10.247834,3,5.222395
1.200863,14,5.231319
22.846151,66,5.272831
84.264623,7,5.277722
3.784274,93,5.331252
0.576297,21,5.343951
50.074035,12,5.351699
0.0,100,5.409068
0.0,100,5.466392
59.931153,73,5.509043
37.26642,23,5.523102
21.430651,7,5.52785
9.101301,100,5.586131
1.377262,7,5.59099
36.995642,8,5.596366
27.661572,15,5.605985
1.088997,5,5.609512
91.967422,8,5.614979
21.547419,12,5.622666
12.009564,27,5.644959
0.085075,5,5.648844
-1.0,1,5.649879
56.008794,6,5.654179
4.796943,100,6.559293
0.0,100,6.617
0.0,100,6.675015
55.125256,8,6.680473
49.416181,62,6.717045
0.0,100,6.774818
0.0,100,6.832012
17.832242,40,6.85572
15.20515,8,6.861135
68.039362,15,6.870649
2.61299,7,6.875251
0.0,100,6.932837
0.0,100,6.990265
2.765006,5,6.99388
32.354697,9,6.999914
0.009709,12,7.007517
1.413086,28,7.024344
2.04656,8,7.029473
10.90408,3,7.031768
0.0,100,7.090654
0.0,100,7.157328
56.538391,15,7.166997
11.973518,100,7.224906
12.097458,2,7.226663
-1.0,27,7.243006
0.0,100,7.300847
14.648016,13,7.309148
-0.696565,63,7.346427
15.23,100,7.404479
-1.0,7,7.409221
0.709909,14,7.417878
-1.0,6,7.421846
0.0,100,7.479961
22.92564,5,7.483724
17.832242,12,7.491406
41.749,4,7.494462
-0.24825,5,7.497873
15.880531,8,7.503378
0.0,100,7.561446
65.596631,8,7.566954
68.476246,26,7.582813
0.0,100,7.641428
33.330202,16,7.651556
0.0,100,7.709219
1.982742,18,7.728212
-1.0,6,7.732154
20.986861,26,7.748195
35.776932,5,7.751956
5.786714,100,8.686268
60.078248,17,8.697034
0.0,100,8.754933
6.908066,100,8.813166
44.100143,32,8.832391
19.195944,19,8.84421
70.52907,22,8.857625
50.397294,5,8.861283
46.958035,6,8.865482
0.0,100,8.923391
19.113639,17,8.934056
0.0,100,8.99188
0.0,100,9.04936
15.37487,8,9.054914
2.18857,3,9.05728
15.83166,13,9.065707
25.807363,25,9.080934
24.48485,7,9.085811
39.540286,31,9.104366
57.957382,9,9.110328
1.043788,4,9.113289
38.544003,55,9.145799
1.36614,38,9.169361
0.0,100,9.228244
36.457751,7,9.23304
43.944392,20,9.245586
51.29551,43,9.271408
2.657157,100,9.335943
17.931311,100,9.394037
0.576088,10,9.400494
0.0,100,9.458048
0.0,100,9.516022
34.073964,8,9.522858
1.305184,14,9.531831
40.35927,54,9.563919
2.607647,100,9.622082
12.52939,2,9.623823
63.671181,22,9.63741
0.0,100,9.694765
54.993844,13,9.703187
10.572692,2,9.723454
0.0,100,9.771265
0.0,100,9.818474
0.0,100,9.866393
50.397294,5,9.869361
0.0,100,9.92839
0.0,100,9.986063
2.420382,6,9.990315
1.200863,8,9.995962
0.0,100,10.915509
0.0,100,10.973785
30.006417,20,10.986221
2.13653,21,10.999279
11.185681,39,11.022477
66.618224,17,11.033159
32.83399,65,11.071189
5.318785,12,11.078896
0.0,100,11.137314
21.766778,15,11.147024
0.0,100,11.205267
0.0,100,11.262958
20.497576,5,11.266745
10.645068,7,11.271717
10.261787,100,11.329643
0.0,100,11.386959
15.800978,5,11.390569
22.152267,8,11.396141
22.363958,100,11.453965
0.0,100,11.516573
15.020046,31,11.535153
6.488384,100,11.593223
2.407523,14,11.602123
0.009709,37,11.623921
21.222637,44,11.649886
18.446234,7,11.654591
55.144454,10,11.661181
114.735856,25,11.676355
0.0,100,11.734736
70.369597,16,11.74475
-1.0,29,11.761675
0.0,100,11.819426
1.363765,4,11.82261
-1.0,47,11.851698
40.404425,6,11.856384
0.0,100,11.9154
54.066702,7,11.920435
4.935094,9,11.926254
0.0,100,11.984359
-1.0,12,11.992124
74.35207,35,12.012954
36.819443,14,12.021833
-0.521483,2,12.023529
-0.486906,27,12.040456
10.122857,100,12.93224
34.162674,12,12.940235
-1.0,4,12.943045
10.578318,4,12.946053
12.29427,3,12.948412
11.295198,10,12.95496
-1.0,2,12.956562
0.0,100,13.016501
3.545698,14,13.025489
7.41583,6,13.029754
17.705816,7,13.03467
17.931311,100,13.096123
0.0,100,13.153717
0.0,100,13.212116
59.974546,24,13.227085
52.911673,7,13.235436
2.142597,50,13.264699
25.972825,45,13.291434
12.097458,2,13.293458
7.143341,4,13.29664
0.576088,8,13.301998
17.1384,100,13.362452
31.192992,18,13.375001
107.386908,15,13.385077
0.0,100,13.442921
29.693483,17,13.453496
0.0,100,13.511504
-1.0,7,13.516043
65.728602,18,13.527224
3.519067,5,13.530838
38.325195,17,13.541543
70.52907,80,13.58807
0.0,100,13.646234
0.0,100,13.703766
-1.0,1,13.70483
2.564079,13,13.712935
65.608588,23,13.726945
115.31909,8,13.732321
2.280858,18,13.743427
-1.0,1,13.744434
23.749706,8,13.749833
-1.0,71,13.79097
65.608588,49,13.819702
16.010847,3,13.822057
0.709909,33,13.841835
1.056352,4,13.844844
30.304375,11,13.851927
35.554691,74,13.896916
30.228896,10,13.904091
5.519449,20,13.91752
0.613291,3,13.920128
1.156804,3,13.922476
0.0,100,13.982208
0.0,100,14.040604
0.0,100,14.098423
46.447355,19,14.110069
57.125843,35,14.131412
33.091839,62,15.034549
-0.198827,3,15.03709
1.056352,3,15.0395
66.091725,7,15.044428
1.056352,3,15.046856
1.305184,13,15.055227
0.0,100,15.11331
28.595639,7,15.117965
46.07048,8,15.123447
49.967496,100,15.181995
1.108599,72,15.22457
0.0,100,15.282669
12.29427,4,15.285613
10.247834,2,15.287323
0.0,100,15.345498
-0.309748,4,15.348573
17.705816,9,15.354694
6.588219,100,15.413142
10.643876,4,15.416069
0.0,100,15.472321
0.0,100,15.521263
0.0,100,15.569334
0.0,100,15.617156
0.0,100,15.664636
0.0,100,15.724286
19.521517,8,15.729668
35.24421,6,15.733976
0.0,100,15.79255
31.349563,57,15.826432
0.718121,100,15.884162
41.765005,58,15.918333
35.24421,6,15.922585
0.0,100,15.980275
0.0,100,16.038266
1.047521,100,16.097034
35.389923,7,16.101786
0.0,100,16.159614
12.52939,5,16.163055
54.422091,35,16.184046
48.660431,10,16.190603
0.0,100,16.248885
67.088789,10,16.255598
4.392581,5,16.259222
0.0,100,16.324171
0.0,100,16.38283
-0.609835,5,16.386393
16.710896,6,16.390838
13.125638,23,16.404851
1.413086,74,16.448136
0.0,100,17.332206
1.413086,18,17.343577
0.653813,54,17.375905
70.52907,12,17.383743
14.527832,19,17.395537
8.640166,7,17.400561
17.684736,6,17.404814
30.402626,5,17.408309
0.0,100,17.466249
0.599964,32,17.485713
14.251428,100,17.543972
10.173762,10,17.550617
15.386796,3,17.552988
47.8921,12,17.560738
-0.521483,5,17.564192
-1.0,1,17.565276
7.321771,100,17.623848
12.976756,11,17.631071
5.839215,5,17.634651
0.0,100,17.693746
65.296259,6,17.698069
0.0,100,17.756037
1.363765,2,17.757738
-1.0,6,17.761673
51.957011,6,17.76602
35.663766,12,17.773851
26.652861,7,17.778632
-0.198827,2,17.780305
10.247834,2,17.782027
1.305983,18,17.793021
9.687893,19,17.805363
0.0,100,17.863334
0.0,100,17.920845
0.0,100,17.978957
1.200863,12,17.987216
30.628241,5,17.990744
15.83166,36,18.012582
42.125029,7,18.01754
17.165541,35,18.038514
9.786775,2,18.04019
12.097458,3,18.042519
-0.24825,5,18.045919
48.156175,19,18.057801
4.645216,100,18.115881
0.0,100,18.174702
0.0,100,18.233564
