#{"t_start": 1745974707.1351383, "env_id": "None"}
r,l,t
0.0,100,0.074869
0.0,100,0.133651
0.0,100,0.193976
12.828333,100,0.254377
0.0,100,0.314211
0.0,100,0.374394
0.0,100,0.434786
0.658684,100,0.4942
0.0,100,0.553727
0.0,100,0.623774
12.828333,100,0.683773
12.828333,100,0.74412
12.828333,100,0.804746
12.828333,100,0.862892
12.828333,100,0.921191
-1.0,10,0.934444
12.828333,100,0.994137
12.828333,100,1.053872
0.0,100,1.113539
0.658684,100,1.174095
0.0,100,1.233997
0.0,100,2.26596
12.828333,100,2.326738
0.658684,100,2.388303
0.658684,100,2.450848
-1.0,70,2.494188
-1.0,1,2.495322
12.828333,100,2.553932
0.658684,100,2.612854
-1.0,1,2.613983
0.0,100,2.673261
-1.0,1,2.674503
0.658684,100,2.733219
12.828333,100,2.793027
0.0,100,2.859526
-1.0,1,2.860811
-1.0,1,2.862103
12.828333,100,2.922682
12.828333,100,2.981121
-1.0,46,3.008428
0.0,100,3.066183
12.828333,100,3.125092
-1.0,1,3.126284
0.0,100,3.184768
0.0,100,3.242433
12.828333,100,3.301178
-1.0,1,3.302637
0.0,100,3.360849
0.0,100,3.424809
-1.0,51,3.455717
0.0,100,4.554167
-1.0,1,4.55551
-1.0,1,4.556572
0.658684,100,4.614236
0.0,100,4.671079
0.0,100,4.727603
0.0,100,4.784894
0.0,100,4.841685
0.0,100,4.899245
0.658684,100,4.958169
0.0,100,5.01809
-1.0,1,5.039083
0.658684,100,5.087959
-1.0,1,5.08908
0.0,100,5.138717
0.0,100,5.187113
0.0,100,5.25696
12.828333,100,5.315802
0.0,100,5.374877
0.0,100,5.433397
0.0,100,5.496666
0.0,100,5.553657
12.828333,100,5.611968
0.0,100,5.669197
-1.0,86,5.721244
12.828333,100,5.779714
0.0,100,5.848806
0.0,100,6.836077
0.658684,100,6.897613
0.0,100,6.958428
0.0,100,7.018791
0.0,100,7.079045
0.0,100,7.137937
0.0,100,7.198526
0.0,100,7.259662
0.0,100,7.319638
-1.0,1,7.32111
0.0,100,7.380515
0.658684,100,7.458588
-1.0,92,7.513491
-1.0,1,7.514784
0.658684,100,7.573826
-1.0,1,7.575034
12.828333,100,7.634703
12.828333,100,7.696956
-1.0,1,7.698346
0.658684,100,7.757634
12.828333,100,7.81768
0.0,100,7.877495
12.828333,100,7.937474
0.658684,100,7.997265
0.0,100,8.067899
-1.0,1,8.069227
12.828333,100,9.136302
0.658684,100,9.194285
12.828333,100,9.251869
-1.0,1,9.253727
0.0,100,9.310986
0.0,100,9.36808
12.828333,100,9.429791
0.0,100,9.48687
12.828333,100,9.543695
-1.0,1,9.544768
12.828333,100,9.601695
0.0,100,9.65891
-1.0,1,9.660033
12.828333,100,9.717385
0.0,100,9.774489
0.0,100,9.832159
0.0,100,9.888866
12.828333,100,9.946993
0.0,100,10.014119
0.0,100,10.071312
0.0,100,10.127723
0.0,100,10.18523
0.0,100,10.232029
0.0,100,10.279888
-1.0,1,10.280752
0.658684,100,10.327763
0.0,100,10.395875
0.658684,100,10.452724
0.0,100,11.440562
0.0,100,11.499177
0.0,100,11.555838
0.658684,100,11.613277
-1.0,1,11.61446
0.658684,100,11.672411
-1.0,1,11.67369
0.0,100,11.730815
0.0,100,11.788534
-1.0,1,11.789598
0.0,100,11.846265
0.0,100,11.904967
12.828333,100,11.978025
0.0,100,12.035254
-1.0,1,12.036368
0.0,100,12.092778
-1.0,1,12.093846
0.0,100,12.15023
0.0,100,12.208614
0.658684,100,12.26597
0.658684,100,12.323639
0.0,100,12.38219
0.0,100,12.4475
-1.0,1,12.448736
12.828333,100,12.506012
0.658684,100,12.563163
12.828333,100,13.483346
12.828333,100,13.544187
12.828333,100,13.602251
0.0,100,13.66055
0.658684,100,13.718467
0.0,100,13.776348
12.828333,100,13.83586
-1.0,1,13.837044
0.0,100,13.895224
12.828333,100,13.953231
0.0,100,14.019771
-1.0,1,14.020962
0.0,100,14.078072
0.0,100,14.135794
12.828333,100,14.193495
0.0,100,14.250083
12.828333,100,14.310188
0.658684,100,14.368033
0.0,100,14.425694
0.0,100,14.48364
0.0,100,14.540776
12.828333,100,14.598141
0.0,100,14.655143
0.0,100,15.695796
12.828333,100,15.75427
0.0,100,15.813432
12.828333,100,15.87082
0.658684,100,15.928905
0.658684,100,15.987202
-1.0,1,16.041978
0.0,100,16.100488
0.0,100,16.151388
0.0,100,16.198983
0.0,100,16.246706
0.0,100,16.307246
0.0,100,16.365384
12.828333,100,16.42357
-1.0,1,16.424712
0.0,100,16.483091
0.658684,100,16.541424
0.0,100,16.599588
0.0,100,16.65765
12.828333,100,16.716013
0.658684,100,16.7744
0.0,100,16.838706
0.0,100,16.89766
0.0,100,16.956023
0.0,100,17.014509
0.658684,100,17.975777
0.658684,100,18.034237
0.0,100,18.092776
0.0,100,18.152198
0.0,100,18.210365
0.0,100,18.267964
12.828333,100,18.324949
12.828333,100,18.381545
12.828333,100,18.4385
12.828333,100,18.495043
12.828333,100,18.551756
0.658684,100,18.608411
12.828333,100,18.670741
-1.0,1,18.671776
0.0,100,18.728151
12.828333,100,18.784844
0.0,100,18.841258
0.0,100,18.898012
12.828333,100,18.954504
0.0,100,19.010929
0.0,100,19.06693
0.0,100,19.123669
0.0,100,20.164243
-1.0,1,20.165502
0.658684,100,20.225467
0.658684,100,20.286618
12.828333,100,20.34418
12.828333,100,20.403464
0.658684,100,20.465442
0.658684,100,20.528405
-1.0,1,20.529747
0.0,100,20.588596
12.828333,100,20.648184
0.658684,100,20.704996
0.0,100,20.766447
12.828333,100,20.840438
0.0,100,20.899761
12.828333,100,20.960006
0.658684,100,21.027096
0.0,100,21.14916
0.0,100,21.197067
0.0,100,21.246665
0.0,100,21.293851
0.0,100,21.341778
0.0,100,21.411506
0.0,100,21.468609
-1.0,1,21.469725
0.0,100,21.538587
-1.0,1,21.539886
0.0,100,21.602221
-1.0,1,21.603478
0.0,100,22.701859
12.828333,100,22.765265
0.0,100,22.829037
12.828333,100,22.892568
0.0,100,22.956533
0.0,100,23.019538
0.0,100,23.082379
12.828333,100,23.145819
0.0,100,23.21053
-1.0,3,23.213362
0.0,100,23.299675
12.828333,100,23.362799
0.0,100,23.427967
12.828333,100,23.494431
12.828333,100,23.55657
12.828333,100,23.619605
0.658684,100,23.68352
-1.0,7,23.691707
0.0,100,23.74966
12.828333,100,23.80752
0.0,100,23.865411
12.828333,100,23.923351
0.0,100,23.983304
0.0,100,24.997804
0.658684,100,25.060007
0.0,100,25.117562
12.828333,100,25.175331
0.0,100,25.23316
0.0,100,25.289991
12.828333,100,25.34722
-1.0,22,25.360148
12.828333,100,25.416637
12.828333,100,25.473459
0.658684,100,25.538457
12.828333,100,25.59524
0.0,100,25.652262
0.0,100,25.71329
0.0,100,25.777258
0.0,100,25.835848
0.0,100,25.893802
-1.0,46,25.920774
0.0,100,25.979116
12.828333,100,26.037231
12.828333,100,26.095443
12.828333,100,27.119655
12.828333,100,27.180428
0.0,100,27.239936
12.828333,100,27.298663
12.828333,100,27.356989
0.0,100,27.420088
0.0,100,27.467435
0.0,100,27.514626
0.0,100,27.56322
0.0,100,27.609629
12.828333,100,27.668733
0.0,100,27.725226
12.828333,100,27.781457
0.658684,100,27.838079
12.828333,100,27.894617
0.0,100,27.950357
12.828333,100,28.006666
0.0,100,28.062788
12.828333,100,28.119621
0.658684,100,28.17583
0.0,100,28.232052
12.828333,100,28.288327
0.0,100,28.350721
0.658684,100,28.407624
0.0,100,28.464277
0.658684,100,28.520354
12.828333,100,29.555537
12.828333,100,29.615944
-1.0,27,29.635007
0.0,100,29.692882
-1.0,37,29.715255
12.828333,100,29.773105
0.0,100,29.835326
12.828333,100,29.893057
0.0,100,29.950429
0.658684,100,30.008452
12.828333,100,30.067106
0.0,100,30.132429
12.828333,100,30.190768
0.0,100,30.248609
0.0,100,30.307049
0.0,100,30.364299
0.658684,100,30.420587
0.0,100,30.47936
0.0,100,30.539102
0.0,100,30.595681
0.0,100,30.651687
12.828333,100,30.707807
12.828333,100,31.74118
0.0,100,31.799621
0.0,100,31.858417
0.658684,100,31.917127
12.828333,100,31.976081
0.0,100,32.03586
0.0,100,32.09323
12.828333,100,32.150568
0.0,100,32.208441
12.828333,100,32.266318
0.658684,100,32.324457
12.828333,100,32.382327
0.0,100,32.440187
0.0,100,32.516816
0.0,100,32.56409
0.0,100,32.611461
0.0,100,32.658905
0.0,100,32.705798
-1.0,1,32.708776
12.828333,100,32.771387
12.828333,100,32.830502
0.658684,100,32.889367
12.828333,100,32.94659
12.828333,100,33.003749
0.0,100,33.059979
0.0,100,33.116294
