#{"t_start": 1745974799.1538482, "env_id": "None"}
r,l,t
0.0,100,0.068059
0.0,100,0.124609
0.0,100,0.182251
0.0,100,0.238166
9.844736,100,0.294395
9.844736,100,0.350673
-1.0,1,0.35172
26.175631,100,0.408858
17.991428,100,0.464801
-1.0,4,0.467545
0.641993,100,0.52336
20.826751,100,0.579386
0.0,100,0.635459
-1.0,3,0.637619
0.641993,100,0.693747
0.0,100,0.757766
21.632814,100,0.821409
0.0,100,0.891013
0.0,100,0.959502
0.641993,100,1.016719
0.0,100,1.072721
0.0,100,1.128399
26.175631,100,1.185516
0.0,100,2.099782
0.0,100,2.156359
20.826751,100,2.212786
20.826751,100,2.268828
21.632814,100,2.324921
0.0,100,2.383441
26.175631,100,2.440975
0.0,100,2.498651
26.175631,100,2.556384
0.0,100,2.614039
0.0,100,2.671786
26.175631,100,2.742224
17.991428,100,2.813742
16.755139,84,2.864534
0.0,100,2.922962
21.632814,100,2.98188
0.0,100,3.042523
20.826751,100,3.100697
0.0,100,3.169342
0.0,100,3.228083
17.991428,100,3.285932
-1.0,2,3.287667
21.632814,100,4.192551
21.632814,100,4.249011
9.844736,100,4.306155
0.0,100,4.364901
0.0,100,4.422395
21.632814,100,4.478796
21.632814,100,4.534847
21.632814,100,4.591015
0.0,100,4.647143
0.0,100,4.702617
-1.0,1,4.703392
0.0,100,4.749372
0.0,100,4.795409
0.0,100,4.841501
0.0,100,4.909137
21.632814,100,4.96615
0.0,100,5.023432
0.0,100,5.080671
17.991428,100,5.13786
26.175631,100,5.195885
26.175631,100,5.253552
26.175631,100,5.311566
0.0,100,5.368941
0.0,100,5.426538
-1.0,1,5.427594
26.175631,100,5.485135
0.0,100,6.437438
16.755139,19,6.449283
0.0,100,6.508924
31.06386,20,6.52094
0.0,100,6.578847
20.632814,13,6.586888
31.06386,5,6.590341
0.0,100,6.647937
26.175631,100,6.705552
26.175631,100,6.76302
0.0,100,6.820451
21.632814,100,6.878274
19.826751,14,6.886874
0.0,100,6.944558
26.175631,100,7.002275
20.632814,5,7.005755
21.632814,100,7.063538
0.641993,100,7.121207
9.844736,100,7.178752
0.0,100,7.244779
0.0,100,7.302451
-1.0,2,7.304125
0.0,100,7.361498
17.991428,100,7.421172
-1.0,2,7.423222
0.0,100,7.482089
26.175631,100,7.541664
0.0,100,7.601583
0.0,100,8.554398
0.0,100,8.614945
19.826751,2,8.616812
-1.0,3,8.618987
0.0,100,8.676395
26.175631,100,8.734384
0.0,100,8.792018
0.0,100,8.850768
16.755139,4,8.853717
21.632814,100,8.911652
11.005089,4,8.917807
26.175631,100,8.976272
0.0,100,9.03423
1.814961,100,9.091959
0.0,100,9.14961
0.0,100,9.20748
9.844736,100,9.266787
11.005089,4,9.26967
-1.0,1,9.270708
26.175631,100,9.328194
0.0,100,9.384856
21.632814,100,9.440843
0.0,100,9.496833
0.0,100,9.552789
0.0,100,9.603402
0.0,100,9.651077
0.0,100,9.697261
0.0,100,9.743393
0.0,100,9.789473
21.632814,100,9.854287
21.632814,100,9.910961
9.844736,100,10.837956
0.0,100,10.896873
21.632814,100,10.95512
16.755139,7,10.959796
0.0,100,11.017272
21.632814,100,11.074366
17.991428,100,11.133245
0.0,100,11.190346
26.175631,100,11.249106
26.175631,100,11.306317
20.826751,100,11.363549
0.0,100,11.421535
26.175631,100,11.478852
11.005089,3,11.481131
0.0,100,11.538164
21.632814,100,11.604573
0.0,100,11.6613
-1.0,9,11.66714
1.814961,100,11.723877
17.991428,100,11.781115
23.161521,100,11.837476
0.0,100,11.894213
0.641993,100,11.951799
-1.0,19,11.963622
0.0,100,12.874574
0.0,100,12.93117
0.0,100,12.987194
0.0,100,13.044571
0.0,100,13.101815
26.175631,100,13.159412
16.991428,5,13.162923
0.641993,100,13.220247
17.991428,100,13.277485
-1.0,16,13.292036
0.0,100,13.349324
21.632814,100,13.405943
0.0,100,13.462114
0.0,100,13.518053
16.755139,6,13.522036
21.632814,100,13.578442
0.0,100,13.63472
0.0,100,13.690994
20.826751,100,13.747702
0.0,100,13.808722
31.06386,10,13.815255
0.0,100,13.871443
21.632814,100,13.927425
26.175631,100,13.983603
0.0,100,14.906879
21.632814,100,14.965487
0.0,100,15.024312
0.0,100,15.081541
0.641993,100,15.13904
17.991428,100,15.196378
11.005089,6,15.200399
0.0,100,15.257761
0.0,100,15.319466
0.641993,100,15.36681
0.0,100,15.414243
0.0,100,15.461451
0.0,100,15.508797
0.0,100,15.575991
9.844736,100,15.633505
26.175631,100,15.69187
0.641993,100,15.748893
1.814961,100,15.807414
26.175631,100,15.864531
16.755139,16,15.874317
1.814961,100,15.93318
0.0,100,15.990464
26.175631,100,16.047737
31.06386,3,16.056336
20.632814,7,16.060892
0.0,100,16.117553
1.814961,100,16.173822
16.755139,6,16.17803
11.005089,19,16.189181
16.755139,12,16.196646
20.632814,19,16.207799
0.641993,100,16.263621
20.632814,8,16.268646
26.175631,100,17.247864
21.632814,100,17.30836
0.0,100,17.370058
0.0,100,17.432691
26.175631,100,17.496028
21.632814,100,17.563433
31.06386,7,17.568498
26.175631,100,17.627867
9.844736,100,17.686228
0.0,100,17.744829
0.0,100,17.801707
9.844736,100,17.85855
26.175631,100,17.915595
21.632814,100,17.972574
21.632814,100,18.030156
17.991428,100,18.086963
0.0,100,18.143544
26.175631,100,18.208371
26.175631,100,18.265018
17.991428,100,18.321468
21.632814,100,18.377979
31.06386,13,18.38599
0.0,100,18.442984
21.632814,100,19.40123
17.991428,100,19.459528
0.0,100,19.517319
17.991428,100,19.574919
17.991428,100,19.632825
0.0,100,19.690722
0.0,100,19.748024
0.641993,100,19.804637
17.991428,100,19.866649
0.0,100,19.9482
0.0,100,20.006746
26.175631,100,20.065847
-1.0,32,20.085247
0.0,100,20.145313
0.0,100,20.204897
21.632814,100,20.264876
0.0,100,20.35371
0.0,100,20.401613
0.0,100,20.451372
0.0,100,20.499085
0.0,100,20.548408
26.175631,100,20.609962
0.0,100,20.672052
23.161521,100,20.731389
0.0,100,20.789587
26.175631,100,21.742539
21.632814,100,21.801892
16.991428,15,21.811539
17.991428,100,21.872946
0.0,100,21.931042
0.641993,100,21.989094
0.0,100,22.046925
0.0,100,22.104539
17.991428,100,22.162495
0.0,100,22.220097
31.06386,28,22.244384
0.0,100,22.30179
0.0,100,22.358923
0.0,100,22.416153
0.0,100,22.473483
1.814961,100,22.531139
11.005089,11,22.538308
0.641993,100,22.596208
31.06386,34,22.616533
0.0,100,22.674649
31.06386,18,22.685553
0.0,100,22.742885
0.0,100,22.800226
17.991428,100,22.857546
17.991428,100,22.915261
9.844736,100,23.85572
21.632814,100,23.91232
17.991428,100,23.969711
0.0,100,24.027545
0.0,100,24.085766
0.0,100,24.143401
17.991428,100,24.201327
0.0,100,24.258999
0.0,100,24.321144
21.632814,100,24.387984
21.632814,100,24.446865
0.0,100,24.504637
0.0,100,24.562395
0.0,100,24.619302
11.005089,16,24.629001
21.632814,100,24.68761
11.005089,10,24.693913
9.844736,100,24.751011
0.0,100,24.807828
0.0,100,24.864311
0.0,100,24.921443
0.0,100,24.979038
0.0,100,25.924035
0.0,100,25.981189
0.0,100,26.03806
20.826751,100,26.09569
0.0,100,26.182227
20.826751,100,26.229399
0.0,100,26.276197
0.0,100,26.322798
0.0,100,26.369628
0.0,100,26.435056
0.0,100,26.491336
0.0,100,26.547598
21.632814,100,26.604464
17.991428,100,26.663089
26.175631,100,26.720028
21.632814,100,26.777219
21.632814,100,26.834042
17.991428,100,26.89098
21.632814,100,26.94757
0.0,100,27.005715
26.175631,100,27.062996
0.0,100,27.119638
0.0,100,27.177222
20.826751,100,27.233779
0.0,100,27.290447
9.844736,100,28.264779
20.826751,100,28.32625
9.844736,100,28.3842
16.755139,20,28.396907
0.0,100,28.454319
0.0,100,28.511918
0.0,100,28.570782
0.0,100,28.628483
0.0,100,28.685882
0.0,100,28.74341
26.175631,100,28.801226
21.632814,100,28.858848
0.0,100,28.915949
21.632814,100,28.9834
0.0,100,29.041068
0.0,100,29.098689
20.826751,100,29.157238
23.161521,100,29.214939
21.632814,100,29.272642
0.0,100,29.330006
0.0,100,29.390386
0.0,100,30.35812
0.0,100,30.415322
21.632814,100,30.472043
1.814961,100,30.528396
31.06386,11,30.5351
0.0,100,30.591166
0.0,100,30.647596
0.0,100,30.703567
17.991428,100,30.759652
0.0,100,30.815961
21.632814,100,30.872302
0.0,100,30.928946
0.0,100,30.984934
21.632814,100,31.04847
0.0,100,31.134214
0.0,100,31.180472
0.0,100,31.226799
20.826751,100,31.273074
0.0,100,31.319236
0.641993,100,31.377234
9.844736,100,31.433878
17.991428,100,31.49021
0.0,100,31.546246
0.0,100,31.602453
0.0,100,31.658368
