#{"t_start": 1745974660.1630456, "env_id": "None"}
r,l,t
0.0,100,0.754667
0.0,100,0.815723
0.0,100,0.876559
0.0,100,0.934683
0.0,100,0.993452
0.0,100,1.051864
0.0,100,1.111592
0.0,100,1.176822
0.0,100,1.235221
0.0,100,1.293813
0.0,100,1.351702
0.0,100,1.408973
0.0,100,1.467329
0.0,100,1.524914
0.0,100,1.581958
-1.0,6,1.586042
0.0,100,1.64515
0.0,100,1.702597
0.0,100,1.759811
-1.0,7,1.764412
0.0,100,1.822123
0.0,100,1.879183
-1.0,8,1.884254
0.0,100,2.890486
0.0,100,2.94887
0.0,100,3.006304
0.0,100,3.064728
0.0,100,3.122168
-1.0,1,3.123256
0.0,100,3.181247
0.0,100,3.238872
-1.0,95,3.294414
0.0,100,3.356536
0.0,100,3.415097
0.0,100,3.473498
-1.0,99,3.531242
0.0,100,3.589652
0.0,100,3.648337
0.0,100,3.704994
-1.0,51,3.734374
0.0,100,3.791084
0.0,100,3.851767
0.0,100,3.907708
0.0,100,3.96348
0.0,100,4.01909
0.0,100,4.985055
0.0,100,5.042135
-1.0,5,5.045607
-1.0,74,5.087477
0.0,100,5.143853
-1.0,81,5.189774
0.0,100,5.245953
0.0,100,5.302263
-1.0,1,5.303285
0.0,100,5.359715
0.0,100,5.424356
0.0,100,5.525147
0.0,100,5.582582
0.0,100,5.633195
0.0,100,5.683953
0.0,100,5.734424
0.0,100,5.810418
0.0,100,5.874682
-1.0,1,5.875877
0.0,100,5.937936
0.0,100,5.999907
0.0,100,6.061551
0.0,100,6.122902
0.0,100,6.184606
-1.0,1,6.185829
0.0,100,6.247333
-1.0,1,6.248471
-1.0,1,6.249556
0.0,100,6.315429
0.0,100,6.377571
0.0,100,6.438855
0.0,100,7.468284
-1.0,1,7.470325
0.0,100,7.533175
0.0,100,7.595694
0.0,100,7.653517
0.0,100,7.712307
0.0,100,7.771426
0.0,100,7.830465
0.0,100,7.889278
-1.0,1,7.890697
-1.0,11,7.898096
-1.0,53,7.929928
0.0,100,8.000334
0.0,100,8.059789
-1.0,21,8.073005
0.0,100,8.132388
0.0,100,8.191769
0.0,100,8.251026
0.0,100,8.309994
0.0,100,8.369265
0.0,100,8.428474
0.0,100,8.495236
0.0,100,8.553085
