#{"t_start": 1745977540.566009, "env_id": "None"}
r,l,t
5.938143,4,0.025383
56.154018,4,0.028427
1.207298,4,0.031376
6.856978,4,0.034307
-1.889207,4,0.037298
33.818136,4,0.040246
-2.146863,4,0.043175
52.710243,4,0.046096
-100.0,100,0.10291
1.207298,4,0.105933
26.802104,4,0.10888
51.882292,4,0.111847
15.642409,4,0.114667
0.901903,4,0.117667
49.760101,4,0.120611
16.764952,4,0.123587
4.075043,4,0.126616
8.098527,4,0.129568
15.692134,4,0.132498
-0.779538,4,0.135531
0.187529,4,0.138568
43.731864,4,0.141521
-4.328668,5,0.144901
-2.191589,4,0.147924
-26.328668,27,0.163668
8.098527,4,0.16661
-2.401674,4,0.16949
-1.482935,6,0.173508
-7.609835,9,0.179255
14.740268,4,0.182192
-2.872358,4,0.185201
-1.582326,4,0.188143
4.811549,4,0.191215
46.522187,4,0.194145
68.184835,4,0.197079
1.192101,4,0.200225
-80.688714,100,0.257221
-1.872335,4,0.260249
-2.250151,4,0.263098
-2.755751,4,0.266111
29.879469,4,0.269028
38.921752,4,0.27198
-1.865834,4,0.274955
26.70239,4,0.277903
-1.872335,4,0.280885
20.522965,4,0.283835
-3.328668,4,0.28667
7.162288,4,0.289505
-100.0,100,0.346412
-2.755751,4,0.349465
12.414815,5,0.352986
-100.0,100,0.409802
-1.865834,4,0.412802
8.659748,4,0.41576
-26.328668,27,0.431581
-1.609835,4,0.434665
-5.053008,9,0.440352
9.726396,4,0.443302
-2.43094,4,0.446322
4.075043,4,0.449374
5.519814,4,0.452352
-2.858922,4,0.455382
-1.460429,4,0.458316
4.560295,4,0.461186
53.500638,5,0.464698
-3.328668,4,0.467531
-2.328509,4,0.470532
-2.146863,4,0.473452
-1.763509,4,0.476389
-4.064357,6,0.480501
-1.907764,4,0.483491
0.460843,4,0.486445
48.667551,4,0.489363
11.672845,4,0.492256
24.90503,4,0.495348
0.018814,5,0.498876
0.784145,4,0.501863
2.058628,4,0.504759
