#{"t_start": 1745976891.601838, "env_id": "None"}
r,l,t
-97.105915,100,0.069139
-2.156526,5,0.072788
-3.085662,5,0.076336
-3.192189,6,0.080774
-100.0,100,0.137509
28.640977,5,0.14113
5.897679,11,0.148012
-99.0,100,0.204753
6.484265,5,0.20837
-98.591135,100,0.265223
-3.08496,6,0.269526
28.880369,5,0.273067
-100.0,100,0.329966
66.383142,5,0.333566
-100.0,100,0.390381
-27.324716,28,0.406623
-99.0,100,0.463099
-2.748663,5,0.466641
-2.041775,5,0.470242
-3.597228,5,0.473772
-3.134594,6,0.478032
-2.597853,5,0.481428
-98.487883,100,0.538096
-100.0,100,0.594478
33.753501,5,0.601694
14.271129,5,0.605126
-100.0,100,0.661724
-100.0,100,0.71791
0.783842,12,0.725284
-100.0,100,0.781688
-100.0,100,0.839578
23.221913,6,0.843769
-99.105461,100,0.900138
18.05041,5,0.903705
1.190723,5,0.907156
-97.134594,100,0.963696
-99.0,100,1.020132
-57.034851,77,1.065495
-3.82777,6,1.069677
-100.0,100,1.127681
-39.0,39,1.150574
-14.324716,15,1.15982
58.756943,5,1.163498
-100.0,100,2.048595
51.970152,5,2.052396
-2.907019,5,2.056019
-2.443274,5,2.059765
27.715762,5,2.063543
44.732601,6,2.067771
-100.0,100,2.125831
-96.959775,100,2.184367
-96.467235,100,2.242545
-100.0,100,2.300776
-100.0,100,2.35879
-100.0,100,2.416508
-3.562536,5,2.421571
-100.0,100,2.480383
-10.0,10,2.486639
-2.670258,5,2.490383
-100.0,100,2.548583
-99.105461,100,2.606558
-21.0,21,2.619124
-100.0,100,2.676805
49.574169,5,2.680843
-3.822651,6,2.685229
-2.191444,5,2.695009
21.906284,5,2.698755
-2.219995,5,2.702452
-62.545669,100,2.760942
11.844672,5,2.764666
-17.728365,19,2.776294
-12.0,12,2.783844
0.112334,5,2.787376
44.267794,5,2.791064
-100.0,100,2.849096
-100.0,100,2.90689
35.726248,5,2.910603
-89.0,89,2.962525
-97.889207,100,3.020312
-100.0,100,3.078554
0.552748,5,3.082039
8.518195,5,3.085636
0.73096,5,3.089106
-100.0,100,3.146136
-100.0,100,3.204088
-96.467235,100,4.092404
-82.0,82,4.140589
-6.320262,7,4.14528
-36.0,36,4.166573
-97.182271,100,4.225324
7.695394,13,4.233441
-11.0,12,4.241032
-64.0,64,4.278389
-28.0,29,4.295732
-2.34252,6,4.300304
-27.0,27,4.316497
-99.0,100,4.374413
-10.0,10,4.380625
-100.0,100,4.438445
-100.0,100,4.496274
-100.0,100,4.554189
-99.095511,100,4.651104
75.587508,5,4.65413
-100.0,100,4.701767
-84.939487,100,4.749564
-100.0,100,4.797199
-5.227775,6,4.810009
0.909117,5,4.813646
16.536828,5,4.817283
-100.0,100,4.875615
