#{"t_start": 1745977854.494085, "env_id": "None"}
r,l,t
15.506307,5,0.015473
7.705672,5,0.019575
82.375101,5,0.023505
5.195279,5,0.027433
2.928482,5,0.031429
84.3368,5,0.035376
3.828578,5,0.039495
0.938688,5,0.04332
1.175274,5,0.047218
3.323129,5,0.051191
1.147569,5,0.055083
4.7769,5,0.058852
0.674849,5,0.062676
11.106578,5,0.066579
1.175274,5,0.070546
7.587779,5,0.074427
11.93187,5,0.078372
4.072108,5,0.082232
12.458715,5,0.086106
24.221913,5,0.090003
10.791637,5,0.093831
1.052422,5,0.097731
20.117882,5,0.101614
1.011506,5,0.105435
5.302258,5,0.109375
5.819787,5,0.113245
32.313467,5,0.117258
-1.972293,5,0.121101
-2.435195,5,0.12474
10.679992,5,0.128949
3.777116,5,0.13267
-94.333989,100,0.190789
3.656102,5,0.194795
1.104679,5,0.198539
3.323129,5,0.202215
29.782288,5,0.20594
21.181901,6,0.210166
-1.827416,5,0.213859
73.85088,5,0.217566
11.717928,5,0.221259
0.728131,5,0.224906
-4.244172,5,0.228614
40.506156,5,0.232314
-17.0,17,0.242711
4.346347,5,0.246364
15.611093,5,0.250034
82.375101,5,0.254111
4.558331,5,0.258034
34.21289,5,0.261786
12.411689,5,0.265478
-2.192189,6,0.270046
2.411812,5,0.273763
7.757065,5,0.277495
54.124806,5,0.281148
34.21289,5,0.284749
10.664527,5,0.288494
-1.97595,5,0.292283
-3.568201,5,0.295883
-12.719835,17,0.306714
5.302258,5,0.310372
7.051544,5,0.314032
36.845606,5,0.317788
-2.43443,5,0.321556
81.101995,5,0.325265
-2.192189,6,0.329849
4.676774,5,0.333549
-2.157271,5,0.337217
-15.0,15,0.346474
58.094184,5,0.350187
0.35689,5,0.354023
79.30355,5,0.357704
5.224668,5,0.361334
79.327206,5,0.364967
12.244209,5,0.368545
71.651569,5,0.37218
7.389493,5,0.375824
-37.715955,100,0.433393
53.575271,5,0.43698
11.717928,5,0.440683
-2.340517,6,0.44518
11.964651,5,0.448776
37.925633,5,0.452462
10.148083,5,0.456046
77.092184,5,0.459699
3.323129,5,0.463298
-0.860776,5,0.466956
1.011506,5,0.470557
20.997648,5,0.474145
70.502524,5,0.477798
-1.933231,5,0.481417
82.375101,5,0.48503
21.636246,5,0.488668
4.815593,5,0.492229
-1.532663,5,0.495746
21.423414,5,0.499392
-2.022261,5,0.503011
89.972738,5,0.506627
1.170158,5,0.510184
-2.340517,6,0.514639
4.7769,5,0.518208
39.413641,5,0.521796
5.195279,5,0.525432
10.899155,5,0.529411
11.225494,6,0.533583
10.703202,5,0.537295
68.196204,5,0.540923
8.725923,5,0.544568
14.316136,5,0.548208
7.689888,5,0.551816
8.310522,5,0.558195
73.214055,5,0.56212
-1.97595,5,0.565775
37.403778,6,0.569871
5.302258,5,0.573509
8.351909,5,0.577147
14.316136,5,0.580797
-2.081357,6,0.585288
4.072108,5,0.588949
21.370028,5,0.592545
10.791637,5,0.596327
7.410761,5,0.599973
3.327905,5,0.603613
35.297257,5,0.60718
-2.460948,5,0.610827
80.329918,5,0.614456
9.687928,5,0.618106
6.56074,5,0.621836
10.286972,5,0.625463
19.497655,6,0.629543
-93.333989,99,0.686856
-2.49717,6,0.69089
-3.307952,5,0.694407
1.717834,5,0.697984
-2.704433,5,0.701547
71.28801,5,0.705156
8.464566,5,0.708914
-4.846006,8,0.71421
3.425714,5,0.71785
0.651432,5,0.721448
83.655081,6,0.725637
-2.156526,5,0.72924
73.794845,5,0.732856
80.388258,5,0.736473
-3.460948,7,0.741467
10.821434,5,0.745069
-2.081357,5,0.748801
74.062631,5,0.752405
3.064615,5,0.756032
60.719131,5,0.759664
48.284474,5,0.763943
4.815593,5,0.767536
-2.080871,6,0.771993
0.564339,5,0.775553
-13.0,13,0.783484
10.692595,5,0.787105
4.676774,5,0.79064
23.748954,5,0.794264
1.49198,5,0.797892
1.337544,5,0.801552
7.757065,5,0.805181
7.860567,5,0.80892
11.717928,5,0.812554
-1.827416,5,0.816141
-2.297827,12,0.823568
76.997182,5,0.827219
1.147569,5,0.830863
8.586482,5,0.834662
29.394632,5,0.838327
0.207298,5,0.841908
8.462815,5,0.845553
1.783648,5,0.849145
10.821434,5,0.852806
13.251257,5,0.856411
-2.022261,5,0.860556
7.730675,5,0.864178
20.140531,5,0.867887
-0.644185,5,0.871555
3.587243,5,0.875106
56.817055,5,0.878739
3.30226,5,0.882317
8.262234,14,0.890982
17.224692,5,0.894606
8.586482,5,0.898265
75.514015,5,0.901917
73.245861,5,0.905576
3.323129,5,0.909127
-2.340517,6,0.913595
4.452015,5,0.917195
62.467562,5,0.920859
4.072108,5,0.924474
-1.196992,5,0.928038
4.815593,5,0.931593
32.638904,5,0.935108
47.778415,5,0.9387
7.757065,5,0.942305
-2.827416,6,0.946485
53.575271,5,0.950097
4.361298,5,0.953741
20.997648,5,0.957321
6.776538,5,0.960938
49.312426,5,0.964559
7.688766,5,0.968689
13.942324,5,0.972281
26.668228,6,0.976412
71.94043,5,0.980083
16.057925,5,0.983668
-0.644185,5,0.987297
18.479189,5,0.990831
89.512578,5,0.994442
4.7769,5,0.99802
5.716359,5,1.001615
-5.0,5,1.004987
-1.97595,5,1.008703
5.178784,5,1.012295
2.489302,5,1.015943
-0.595691,5,1.019479
-3.568806,5,1.023005
-4.568806,6,1.027099
-0.444394,5,1.030594
14.506307,6,1.034781
72.616857,5,1.038468
14.486812,5,1.042084
54.343444,5,1.04569
-3.468429,6,1.04999
4.452015,5,1.053625
-2.157271,5,1.057252
12.244209,5,1.060835
-1.532663,5,1.064374
-2.340602,6,1.068891
31.502545,5,1.072545
13.942324,5,1.076142
79.577629,6,1.080471
58.96809,5,1.084134
-9.0,9,1.090394
-1.972293,5,1.094207
-30.0,30,1.111931
74.988459,5,1.115596
4.452015,5,1.119183
-32.11155,37,1.14091
18.841326,5,1.144533
-2.435195,5,1.148087
27.668228,5,1.151652
75.533377,5,1.155396
-4.220775,5,1.158875
13.942324,5,1.162476
28.21289,11,1.16945
17.107746,5,1.173064
34.679455,5,1.176697
3.841129,5,1.180317
27.890535,5,1.183935
-4.561127,7,1.18855
-3.490972,5,1.19206
71.28801,5,1.195791
44.446034,5,1.19942
-2.022261,5,1.203034
82.711803,5,1.208046
-27.333989,33,1.227562
0.35689,5,1.231143
2.928482,5,1.234753
24.476094,5,1.238369
-2.340602,6,1.242838
35.583714,5,1.246459
7.502908,5,1.250209
72.596266,5,1.253821
-2.192189,6,1.25827
1.041628,5,1.261998
49.312426,5,1.265607
7.416809,5,1.269165
0.353673,5,1.272724
-0.644185,5,1.277274
0.787386,8,1.282471
10.664527,5,1.286067
-2.425654,5,1.289618
-0.429181,5,1.293059
23.044031,5,1.297061
-84.61079,100,1.354525
-1.695666,6,1.359084
4.815593,5,1.362644
5.195279,5,1.366282
13.251257,5,1.369917
1.337544,5,1.373557
-6.846006,10,1.380072
25.814022,5,1.38374
-1.97595,5,1.387414
37.156187,5,1.39109
-2.192189,6,1.395574
39.413641,5,1.399211
-1.677837,5,1.402834
11.964651,5,1.406435
15.506307,5,1.410082
-27.356514,35,2.282581
-20.623091,22,2.296195
-2.157271,5,2.299914
23.290355,5,2.303474
58.094184,5,2.307193
4.614471,5,2.310952
5.26013,5,2.314521
6.176511,5,2.31815
7.449438,6,2.322381
-5.406269,8,2.327869
81.320203,5,2.331526
27.890535,5,2.335177
2.893323,5,2.338789
-11.0,11,2.345644
2.489302,5,2.349291
-3.460948,6,2.353603
-2.192189,5,2.357383
-2.207666,29,2.37477
2.785705,5,2.378303
60.090184,6,2.383085
3.380928,5,2.386721
50.331839,5,2.390411
-2.340602,6,2.394898
38.683087,5,2.398534
73.997204,6,2.402744
0.728131,5,2.406318
22.602916,5,2.409927
0.942354,5,2.413499
19.491665,5,2.417099
77.690491,5,2.42079
1.104679,5,2.424423
-2.340602,6,2.428915
5.726704,5,2.432523
