#{"t_start": 1745977744.5842812, "env_id": "None"}
r,l,t
17.833088,4,0.01644
-4.0,4,0.0193
62.712314,4,0.022373
14.450058,4,0.025358
-100.0,100,0.082569
20.449568,4,0.085572
55.713461,4,0.088637
7.816023,4,0.091584
47.047899,4,0.094584
9.485888,4,0.097561
-1.884207,4,0.10049
16.09646,4,0.103463
9.004346,4,0.106407
-2.670258,5,0.110232
7.853234,4,0.113393
-1.816258,4,0.116426
-99.0,100,0.173571
3.464524,4,0.176515
34.159639,4,0.179454
0.195885,4,0.182428
5.286719,4,0.185533
13.886065,4,0.188603
3.990125,4,0.191657
15.565077,4,0.194613
3.974496,4,0.197538
-1.889207,4,0.200502
4.12566,4,0.203418
2.337731,4,0.206303
3.682246,5,0.209913
28.30819,4,0.212904
4.780947,4,0.215806
4.076415,4,0.218736
-100.0,100,0.275429
1.601068,4,0.278616
-3.225929,4,0.281552
-2.773434,4,0.284553
-100.0,100,0.34199
-100.0,100,0.398846
-5.0,5,0.402221
14.721576,4,0.405192
-3.791008,5,0.408704
-1.591684,4,0.411702
12.501452,4,0.414655
-1.816258,4,0.417616
4.138413,4,0.420643
-11.0,11,0.427419
-100.0,100,0.485561
-1.889207,4,0.488554
2.990125,5,0.492207
-7.0,7,0.496724
3.779258,4,0.49962
8.556628,4,0.502609
-3.234904,4,0.505684
-98.55702,100,0.56282
8.557332,4,0.565802
-100.0,100,0.62304
7.125272,4,0.626077
6.837652,4,0.629022
-1.814,4,0.632202
7.086625,4,0.635046
6.662325,4,0.638017
-2.529616,5,0.641681
55.530909,4,0.644646
14.692803,4,0.647589
4.780947,4,0.650503
54.780544,4,0.653512
7.405938,4,0.656433
2.957724,4,0.659522
-2.858922,4,0.6626
49.695191,4,0.66575
0.871936,4,0.668696
-2.315533,4,0.671593
6.856978,4,0.674524
-1.551999,4,0.677497
-10.635407,14,0.686026
2.337731,4,0.688946
3.64825,4,0.691921
1.207298,4,0.694884
-1.82777,4,0.697846
1.551447,4,0.700835
2.958855,4,0.704157
68.26383,4,0.707276
2.957724,4,0.710195
-0.62567,4,0.713232
7.006252,4,0.716321
16.211292,4,0.719265
7.61963,4,0.722193
-1.907019,4,0.725132
-1.801486,4,0.728048
10.185609,4,0.731011
-2.192189,4,0.742109
-4.006092,5,0.745685
7.216301,4,0.74901
-1.892871,4,0.752014
-4.325669,5,0.755599
1.207298,4,0.75852
0.360192,4,0.761555
-28.0,28,0.777872
-17.0,18,0.788636
14.692803,4,0.791604
22.721418,4,0.794595
-1.162741,5,0.798211
-1.801486,4,0.801199
0.726008,4,0.804083
7.975275,4,0.806895
-96.635407,100,0.86357
8.557332,4,0.86654
62.938836,4,0.869679
1.207298,4,0.872731
1.195268,4,0.87674
33.818136,4,0.879794
-1.746736,4,0.882774
-1.779606,5,0.886429
15.565077,4,0.889384
7.086625,4,0.89224
-1.884207,4,0.895333
5.043431,4,0.898289
11.417563,4,0.901332
20.533762,4,0.90424
4.075043,4,0.907331
-2.858922,4,0.910357
1.397076,4,0.913625
10.185609,4,0.917474
-2.62567,6,0.922325
8.556628,4,0.925539
11.803627,4,0.928545
-1.551999,4,0.931529
-11.0,11,0.938334
13.886065,4,0.941385
4.064282,5,0.945218
-8.325669,9,0.950924
4.362999,4,0.954055
-2.140839,4,0.95701
23.699498,4,0.959928
1.891973,4,0.96285
-1.53706,4,0.96579
61.31147,4,0.968722
7.992116,4,0.971688
4.076415,4,0.974629
61.31147,4,0.977755
62.993708,4,0.980701
-14.11155,19,0.992079
4.138413,4,0.995155
0.536054,4,0.998058
0.726008,4,1.000954
33.818136,4,1.003886
48.423266,4,1.006816
-0.162741,4,1.009859
-1.907019,4,1.01282
5.223766,4,1.016207
7.922739,4,1.019217
