#{"t_start": 1745977443.744875, "env_id": "None"}
r,l,t
50.093566,8,0.018352
33.913391,6,0.022616
-4.333236,6,0.026654
7.643289,5,0.030255
21.819272,5,0.034001
-6.0,6,0.038124
10.328636,5,0.041671
3.511172,5,0.045256
42.284474,11,0.05233
10.328636,5,0.055887
-100.0,100,0.112815
22.911708,5,0.116436
22.911708,5,0.120019
14.755646,6,0.124135
-5.823797,6,0.12815
38.109357,5,0.131738
-3.871328,6,0.135963
16.467285,5,0.139583
33.913391,6,0.1437
-2.822898,6,0.148114
-3.11404,6,0.152479
-8.11404,11,0.159764
-3.644993,6,0.163857
17.9878,5,0.167464
-2.622416,5,0.171144
-2.244831,6,0.175621
-2.822898,6,0.18006
35.297257,5,0.183684
4.036745,5,0.187249
-11.305696,13,0.195366
-100.0,100,0.252253
18.364224,5,0.255803
73.707978,5,0.259408
8.449438,5,0.262904
27.038324,6,0.266959
-2.622416,5,0.270646
12.327086,5,0.274152
13.245534,5,0.27769
18.123592,5,0.28125
38.041764,5,0.285166
-7.521483,8,0.29113
6.453361,6,0.295232
-3.421581,5,0.298766
-2.82777,5,0.302345
28.486865,5,0.306148
46.870259,5,0.310208
-2.244831,6,0.314681
30.022279,6,0.318792
-1.854124,5,0.322402
31.509241,5,0.326015
72.570653,5,0.329631
48.001407,5,0.333264
-100.0,100,0.390911
-2.822898,6,0.395385
32.710225,5,0.398984
-2.244831,6,0.403452
-1.847711,5,0.409285
-2.407075,5,0.412985
22.891645,5,0.416879
80.100432,5,0.420468
15.828135,5,0.424025
16.102161,5,0.427631
-19.462209,24,0.441835
-0.463946,5,0.445303
18.47261,5,0.448905
-2.622416,5,0.452571
-5.0,5,0.455986
75.599497,5,0.45959
9.775585,5,0.46305
-3.488866,5,0.466541
53.411515,5,0.470139
-2.622416,5,0.473804
16.233023,5,0.477244
-7.0,7,0.481723
19.81574,5,0.485312
59.078027,5,0.488867
-2.462209,7,0.493449
-1.445045,5,0.497047
16.057925,5,0.500606
72.834492,5,0.504209
-4.382841,5,0.507781
9.016635,5,0.511421
27.890535,5,0.515015
0.131911,5,0.518453
-2.55702,5,0.522136
48.001407,5,0.525752
-3.421581,5,0.529221
63.667386,6,0.533311
54.631029,5,0.536849
-4.559044,5,0.540402
44.69088,5,0.543897
48.001352,5,0.547424
-12.381948,13,0.555454
52.777834,5,0.55906
16.467285,5,0.562657
16.588219,7,0.567316
22.471453,5,0.570946
-1.931227,5,0.574414
-12.0,13,0.58238
-100.0,100,0.641537
3.511172,5,0.645165
14.387022,5,0.648702
15.405278,5,0.652159
-5.0,5,0.655557
19.025534,5,0.659108
-2.019641,5,0.662714
3.284474,50,0.69171
-100.0,100,0.749084
-1.843161,5,0.75271
-1.81415,6,0.75904
5.69202,5,0.762598
4.392323,5,0.766148
10.924954,13,0.7743
1.749867,5,0.777914
-2.244831,6,0.782321
61.076647,5,0.785907
16.502461,5,0.789487
1.749867,5,0.79311
1.271227,5,0.796705
-100.0,100,0.853557
-7.118089,8,0.858913
84.655081,5,0.862505
100.019195,5,0.866107
13.245534,5,0.86965
12.093876,5,0.873168
-1.782984,5,0.876842
27.745242,5,0.880325
1.123571,5,0.883836
10.284474,43,0.908921
-4.198168,5,0.913147
75.251663,5,0.916758
0.564339,5,0.920305
74.600756,5,0.923877
