#{"t_start": 1745977557.527734, "env_id": "None"}
r,l,t
54.35181,4,0.034809
-14.909214,35,0.055385
-0.527732,4,0.058319
16.587583,4,0.061228
52.581576,4,0.064151
40.496991,4,0.067045
15.597107,4,0.069953
-2.11085,5,0.07366
56.234828,4,0.076549
57.4023,4,0.079455
0.089768,4,0.082633
-2.184262,4,0.085556
-0.561774,4,0.088559
-2.205468,4,0.091484
-0.23777,4,0.094476
-2.11085,5,0.098189
0.55421,4,0.101162
56.443541,4,0.104112
-2.773412,4,0.1071
-1.880447,4,0.110095
-1.365812,4,0.113169
11.150795,4,0.116083
0.725731,4,0.119032
0.006052,4,0.122055
3.199776,4,0.124977
-0.23777,4,0.127982
7.950465,4,0.130942
7.411784,4,0.133894
-1.798453,4,0.136808
-1.880447,4,0.139795
-2.880447,4,0.142659
5.059965,4,0.145696
1.544106,4,0.148558
1.284738,4,0.151551
-39.909214,60,0.185792
31.344632,4,0.188668
4.821219,4,0.191603
5.059965,4,0.194613
-2.205468,4,0.197551
59.785404,4,0.200453
54.486054,4,0.203397
4.006119,4,0.206429
19.518147,4,0.209377
34.644782,4,0.212295
58.136297,4,0.215216
-3.301312,5,0.218843
57.464635,4,0.221824
33.811444,4,0.224683
61.232781,4,0.227601
0.006052,4,0.230626
4.821219,4,0.233566
6.432576,4,0.236476
-0.561774,4,0.23948
50.432434,4,0.242417
8.339486,4,0.245373
0.725731,4,0.248312
15.597107,4,0.251449
0.454414,4,0.254688
-0.561774,4,0.25772
52.691977,4,0.260635
17.581914,4,0.26358
59.013482,4,0.266526
3.732908,4,0.269395
12.615507,4,0.272278
54.486054,4,0.2752
-50.0,50,0.303867
3.160243,4,0.306791
4.029161,4,0.309825
16.776394,4,0.312778
-2.205468,4,0.315733
10.989864,4,0.318652
1.284738,4,0.321551
-2.395212,4,0.324473
-2.197873,4,0.327397
6.432576,4,0.330383
32.981854,4,0.333405
-63.0,63,0.369286
52.691977,4,0.372283
3.732908,4,0.375184
-2.773412,4,0.378203
-1.688381,4,0.3812
