#{"t_start": 1745978078.8427913, "env_id": "None"}
r,l,t
22.865592,6,0.015092
32.211443,5,0.018742
17.607379,5,0.022547
34.447007,5,0.026875
-2.67126,5,0.03057
5.387107,5,0.034097
30.917958,5,0.037713
38.406507,5,0.041318
45.124934,5,0.044894
7.428069,5,0.048494
31.386229,5,0.052238
1.272987,5,0.055864
25.77391,5,0.059446
23.039527,5,0.06308
18.47261,5,0.066702
-2.409446,5,0.070379
26.80977,5,0.073953
-1.202733,7,0.078597
-98.601821,100,0.13509
4.072108,5,0.138702
50.68957,5,0.142281
48.652101,5,0.14584
10.821434,5,0.149368
2.781313,5,0.152949
30.815746,5,0.156513
33.843172,5,0.160102
2.779705,6,0.164192
16.954019,6,0.168349
-95.0,95,0.222475
48.652101,5,0.226063
46.213507,5,0.229678
72.797952,5,0.23331
20.010994,5,0.236911
-59.0,59,0.271849
-7.622682,10,0.278396
14.114536,5,0.281964
3.162803,5,0.285567
6.83216,5,0.289091
29.544526,5,0.29269
71.528222,5,0.296269
-2.442418,5,0.299817
19.736854,5,0.303392
4.344265,5,0.307039
0.882591,5,0.310702
-1.128217,5,0.314335
5.59399,5,0.317925
14.898982,5,0.321445
7.290749,5,0.325089
0.373292,5,0.328617
38.667449,5,0.332176
-2.771552,5,0.335732
-1.84719,5,0.339267
5.745907,5,0.342844
-1.847711,5,0.346454
-3.67126,6,0.350689
16.659873,5,0.354155
12.660579,5,0.357779
-2.98987,5,0.3614
5.745907,5,0.365085
80.652318,5,0.368731
0.863913,5,0.372416
48.652101,5,0.376178
-3.885776,5,0.379766
3.972262,5,0.383465
2.979129,5,0.387124
41.016022,5,0.3908
0.882591,5,0.394507
-2.98987,5,0.398102
40.006852,5,0.401968
86.448718,5,0.406117
21.512573,5,0.409822
18.983172,5,0.413575
14.064568,5,0.417233
50.616613,5,0.420938
7.744832,5,0.424622
86.219253,5,0.428309
19.319252,5,0.431987
0.411126,5,0.43567
-4.646723,8,0.441093
-2.159074,5,0.444691
19.282597,5,0.44896
-2.43443,5,0.452488
18.734638,5,0.456096
-2.042966,6,0.46053
23.862845,5,0.464139
-2.591589,5,0.467828
27.39437,5,0.471435
-2.596094,5,0.476623
0.882591,5,0.480257
16.19011,5,0.483892
4.060516,5,0.487517
40.872442,5,0.491145
89.082633,5,0.494794
1.003934,5,0.498418
-1.128708,5,0.502025
-2.236572,5,0.505652
7.913972,5,0.509277
77.589924,5,0.51291
-15.0,15,0.522228
3.922992,5,0.526223
-3.709936,7,0.530966
-1.681895,5,0.534697
-2.236572,5,0.538315
-30.0,30,0.556282
4.535219,5,0.559936
17.677548,5,0.563609
-2.438697,5,0.567236
19.087739,5,0.570936
18.47261,5,0.574641
20.567835,6,0.584245
35.56196,6,0.588483
1.094166,5,0.592108
-30.0,30,0.609582
23.044031,5,0.613207
-2.340517,6,0.617636
77.018835,5,0.621271
-6.0,6,0.62518
4.072108,5,0.62878
10.821434,5,0.632353
-98.601821,100,0.689396
11.944958,5,0.693057
21.349307,5,0.696683
32.543984,5,0.700304
-3.435072,7,0.705508
-2.042966,6,0.709974
14.114536,5,0.713586
2.781313,5,0.717197
4.072108,5,0.720806
33.662437,5,0.724435
42.717567,5,0.728822
16.498753,5,0.732455
44.854,5,0.736065
24.522806,5,0.739684
1.271227,5,0.743328
3.589342,5,0.746969
-2.596094,5,0.750661
18.575188,5,0.754238
-3.771552,6,0.758391
0.207298,5,0.761884
39.329114,5,0.765497
2.801473,5,0.769111
