#{"t_start": 1745977715.4197755, "env_id": "None"}
r,l,t
-5.0,5,0.017339
-6.0,6,0.021332
-94.46025,100,0.079604
-2.471203,5,0.083413
18.575188,5,0.087068
-4.249507,5,0.090491
10.819328,5,0.094016
24.94507,5,0.097608
5.595012,5,0.101173
-4.406269,7,0.105972
23.52593,8,0.111161
-5.0,5,0.11459
34.988567,5,0.118209
26.511388,5,0.121812
-7.214732,8,0.126902
-20.214732,21,0.139315
33.06794,11,0.146324
73.244076,6,0.150524
-2.485301,5,0.154217
13.407648,5,0.15773
48.038685,5,0.161329
36.360666,5,0.16491
2.138616,5,0.168561
83.073645,5,0.172153
8.25415,5,0.175674
-8.575123,22,0.188735
-2.157271,5,0.192338
-3.487975,5,0.195817
-10.214732,11,0.202676
25.919929,5,0.206363
18.165757,5,0.20996
-5.0,5,0.213331
12.23146,5,0.217004
81.259968,5,0.22079
-6.36935,14,0.229353
24.221913,5,0.233207
-94.46025,100,0.290342
-2.485301,5,0.293997
1.030562,5,0.297603
24.448274,5,0.301125
11.755905,5,0.30467
29.740747,5,0.308229
66.519499,5,0.311836
14.143379,5,0.315438
3.840962,5,0.319031
-5.249507,6,0.323003
40.269758,5,0.326672
-0.860776,5,0.330319
2.229753,6,0.334345
3.510463,5,0.337879
83.377213,5,0.341457
32.632821,5,0.34501
22.96723,5,0.348672
11.147831,5,0.352272
5.224668,5,0.355967
-5.293112,6,0.359935
20.92343,5,0.363522
52.135834,5,0.367117
-100.0,100,0.425458
21.906284,5,0.429081
0.468386,5,0.432639
-2.828142,5,0.436186
4.825131,5,0.439712
0.730661,5,0.443181
-5.214732,6,0.44725
13.407648,5,0.450786
-3.468429,6,0.455035
6.75748,6,0.459166
-5.0,5,0.462533
65.17626,5,0.466162
-2.157271,5,0.469763
24.432655,5,0.473303
65.17626,5,0.476908
46.351007,5,0.48051
12.23146,5,0.484047
0.286547,5,0.487578
15.511076,5,0.491461
64.89486,5,0.495065
0.089972,5,0.498586
