#{"t_start": 1745977155.7241712, "env_id": "None"}
r,l,t
-73.8343,85,0.062704
-6.0,6,0.066657
14.041598,3,0.069016
0.1657,11,0.075872
14.424625,3,0.078201
-1.596094,4,0.081363
-2.0,3,0.083692
14.424625,3,0.086017
19.336963,3,0.088332
19.336963,3,0.090655
-91.444774,100,0.148081
-96.0,96,0.203266
-2.0,3,0.205626
19.336963,3,0.207957
-91.444774,100,0.265719
14.424625,3,0.268043
-97.0,97,0.323956
-2.444774,11,0.330818
-1.596094,4,0.333994
-15.0,15,0.34308
-5.8343,17,0.353324
14.424625,3,0.355638
14.041598,3,0.357959
14.041598,3,0.360259
14.424625,3,0.362567
14.424625,3,0.364899
14.424625,3,0.367187
19.336963,3,0.369516
14.041598,3,0.371821
14.041598,3,0.374124
-1.596094,4,0.37724
18.752592,3,0.379529
-1.596094,4,0.382629
-3.0,3,0.384815
-79.0,79,0.430393
-51.8343,63,0.466764
14.424625,3,0.469307
-56.0,56,0.501812
5.555226,3,0.504074
-19.444774,28,0.52053
-1.596094,4,0.523674
-88.8343,100,0.581422
-1.596094,4,0.584533
14.424625,3,0.586849
-35.8343,47,0.614092
14.424625,3,0.616406
-2.0,3,0.61873
-52.8343,64,0.655918
18.752592,3,0.658262
-100.0,100,0.719512
18.752592,3,0.721859
18.752592,3,0.724174
-26.0,26,0.73987
19.336963,3,0.742213
14.041598,3,0.744529
18.752592,3,0.746842
14.041598,3,0.749182
-100.0,100,0.806421
14.041598,3,0.808741
-88.8343,100,0.86763
-68.0,68,0.906965
-11.444774,20,0.918986
14.424625,3,0.921349
-12.444774,21,0.933893
14.041598,3,0.936214
14.424625,3,0.938537
-46.0,46,0.965179
14.424625,3,0.967495
-100.0,100,1.025201
14.424625,3,1.02751
19.336963,3,1.02983
-2.0,3,1.03215
14.424625,3,1.03446
-2.0,3,1.036777
14.424625,3,1.039091
-9.0,9,1.044724
14.424625,3,1.047041
14.041598,3,1.049382
14.041598,3,1.051687
-2.0,3,1.054002
14.424625,3,1.056305
-27.0,27,1.07228
18.752592,3,1.074626
-13.0,13,1.082615
19.336963,3,1.084974
18.752592,3,1.087294
14.424625,3,1.089624
14.424625,3,1.09194
5.36757,3,1.094185
-8.0,8,1.09923
7.1657,4,1.102071
19.336963,3,1.104382
12.041598,5,1.107861
18.752592,3,1.110174
18.752592,3,1.112472
14.041598,3,1.11477
-24.444774,33,1.13423
14.424625,3,1.136553
13.041598,4,1.139476
14.041598,3,1.141816
14.041598,3,1.144146
-1.596094,4,1.147285
19.336963,3,1.149639
18.752592,3,1.151944
14.041598,3,1.154249
-2.0,3,1.156564
-1.596094,4,1.159683
5.555226,3,1.161933
-2.596094,5,1.16563
-1.596094,4,1.171574
5.36757,3,1.173853
-88.8343,100,1.23113
-91.444774,100,2.112704
19.336963,3,2.115113
-1.596094,4,2.118262
14.424625,3,2.120595
-100.0,100,2.17782
14.041598,3,2.1802
-100.0,100,2.237766
14.041598,3,2.240099
14.041598,3,2.24244
14.041598,3,2.244744
-88.8343,100,2.302048
-6.0,6,2.306015
-1.596094,4,2.309174
14.424625,3,2.311541
18.752592,3,2.313888
-3.0,3,2.31608
-100.0,100,2.374184
14.424625,3,2.378226
-10.0,10,2.384479
19.336963,3,2.386835
14.041598,3,2.389199
14.424625,3,2.391527
-15.0,15,2.400681
14.041598,3,2.403021
-100.0,100,2.461958
-100.0,100,2.519413
-91.444774,100,2.576948
14.424625,3,2.579291
-2.0,3,2.58165
14.041598,3,2.583976
-1.596094,4,2.587108
-1.596094,4,2.590278
18.752592,3,2.592613
-19.0,19,2.604009
-1.596094,4,2.607157
14.041598,3,2.609508
