#{"t_start": 1745977810.4837418, "env_id": "None"}
r,l,t
85.085777,5,0.03237
-100.0,100,0.09184
-2.109736,6,0.096456
-14.96763,17,0.107289
17.699694,5,0.110833
15.457233,5,0.114483
-1.094468,5,0.11837
3.741831,6,0.122465
-100.0,100,0.180108
85.085777,5,0.183729
46.822837,5,0.187311
37.087198,6,0.191361
35.889274,5,0.194836
1.057342,5,0.198379
41.992055,6,0.202614
5.77202,7,0.20721
-1.741292,5,0.210959
11.353391,6,0.215141
-7.070068,16,0.225
4.676774,5,0.228571
29.10018,5,0.232268
4.846032,5,0.235972
20.126062,5,0.239561
57.708105,5,0.243169
4.008342,7,0.24777
3.192588,5,0.251449
-2.191444,5,0.255009
1.352764,5,0.258742
1.72717,5,0.262975
4.614386,5,0.26677
1.336775,5,0.270362
-0.183875,5,0.273986
-2.34252,6,0.278533
1.72717,5,0.282362
7.703623,5,0.285922
-2.109736,6,0.290555
-2.48164,5,0.294158
3.823302,5,0.297822
-100.0,100,0.35681
26.823674,5,0.360446
38.687551,5,0.363997
-0.418367,5,0.367723
15.457233,5,0.371372
2.284895,6,0.375504
73.22461,5,0.3792
-43.0,43,0.40518
4.676774,5,0.408845
99.160467,5,0.412532
31.505688,5,0.416209
-2.191444,5,0.419857
-100.0,100,0.478038
-2.340517,6,0.482702
22.112336,5,0.486333
-57.243407,58,0.52073
29.509345,5,0.524428
36.952375,5,0.528067
-2.34252,6,0.532607
58.632523,5,0.536443
4.676774,5,0.54007
5.305531,5,0.54374
20.520766,5,0.547349
25.056356,5,0.551032
-6.190802,13,0.559025
-2.136154,6,0.56345
24.29817,9,0.569323
-1.96104,5,0.572847
25.968828,5,0.576414
15.873264,5,0.579974
-100.0,100,0.637365
-2.244517,5,0.640971
-43.377751,100,0.698187
-100.0,100,0.75596
19.342885,5,0.759576
-31.827107,33,0.77915
23.597982,5,0.782819
15.137032,7,0.787427
-2.182271,6,0.791938
0.622194,5,0.804216
-0.070068,9,0.8101
-2.063672,5,0.813937
-0.903706,5,0.817444
1.694172,5,0.82107
64.691339,5,0.824684
76.681546,5,0.828294
-1.695666,6,0.832741
-6.0,6,0.836685
26.657786,5,0.840389
9.832309,5,0.843967
2.886424,5,0.847557
81.320203,5,0.851167
1.12382,5,0.854897
4.846032,5,0.858452
14.989862,5,0.862072
-7.0,7,0.866973
20.158999,5,0.870716
4.676774,5,0.874268
-2.398134,5,0.877802
91.087629,5,0.881499
10.607907,5,0.885244
28.80276,5,0.889151
-3.390259,7,0.894279
-79.0,79,0.940431
55.700162,6,0.944755
22.021,6,0.949012
-2.339191,6,0.953594
3.835442,5,0.957252
92.002875,5,0.960968
51.825819,5,0.964673
11.167141,5,0.968237
21.370028,5,0.972706
32.809713,5,0.976416
3.823302,5,0.980076
30.298053,5,0.983718
14.352684,5,0.987393
37.596381,5,0.99144
20.904919,5,0.995119
-6.0,6,0.999153
81.320203,5,1.002859
-42.827107,44,1.02945
39.223416,5,1.033195
17.063631,5,1.036737
-77.362574,100,1.095043
24.622238,5,1.098799
-11.890868,15,1.110214
14.302017,5,1.113926
-2.340517,6,1.118503
15.457233,5,1.122155
58.094184,5,1.125776
-0.3454,11,1.132832
22.900654,5,1.138087
21.370028,5,1.141727
5.107386,5,1.145487
-5.0,5,1.148872
23.927261,5,1.152529
2.477932,5,1.156215
28.296826,5,1.159884
-90.590462,100,1.218069
-100.0,100,1.276232
12.443803,5,1.279964
1.377648,12,1.287639
-2.109736,6,1.292288
18.676536,5,1.296038
15.873264,5,1.299697
1.352764,5,1.303389
2.886424,5,1.307079
-1.679367,5,1.310748
3.787085,5,1.31432
83.615487,5,1.318007
-2.460948,6,1.322457
4.504972,5,1.328208
41.447761,5,1.331885
1.104679,5,1.335569
-2.34252,6,1.340123
-27.244172,28,2.217189
3.192588,5,2.221095
-17.0,17,2.231442
57.708105,5,2.235266
11.141729,10,2.241781
-32.134333,33,2.261981
4.676774,5,2.265645
4.676774,5,2.269241
7.757065,5,2.272832
11.077701,5,2.27646
-100.0,100,2.334924
-41.0,41,2.359134
-90.346227,100,2.416941
28.296826,5,2.420671
-0.776562,6,2.424825
-30.190802,37,2.447057
-11.880231,18,2.458249
0.631154,5,2.461787
76.307292,5,2.465503
1.576866,5,2.469185
43.583356,5,2.475129
12.17212,5,2.478934
84.3368,5,2.482543
1.352764,5,2.486142
3.823302,5,2.489976
-0.715105,9,2.495759
11.978955,5,2.499302
75.885515,6,2.503556
-1.695666,5,2.507277
36.952375,5,2.510919
82.375101,5,2.514604
5.154913,5,2.518273
-0.142547,5,2.521826
20.818068,5,2.525481
22.058025,5,2.529048
-2.044502,5,2.532737
-0.9631,5,2.536292
-1.741292,5,2.540043
-1.094468,5,2.543671
25.592592,5,2.547343
-2.390259,5,2.551068
34.216067,5,2.554768
22.112336,5,2.558387
24.772223,6,2.562713
3.823302,5,2.566447
74.664851,5,2.570124
33.145203,11,2.577145
12.17212,5,2.581087
7.451126,5,2.585634
26.955641,5,2.589475
5.334831,5,2.593223
14.440097,5,2.597075
-2.182271,6,2.601849
-2.191444,5,2.60569
-96.330143,100,2.668243
-1.381771,5,2.672228
3.1114,5,2.676115
-80.758695,100,2.749352
6.349975,5,2.753096
23.657786,8,2.758831
25.230109,5,2.763134
3.326315,6,2.767519
-1.754032,5,2.771312
0.853664,6,2.77565
37.001067,5,2.779511
-2.468418,5,2.783433
-2.340517,6,2.788266
10.791637,5,2.792127
15.457233,5,2.795953
-2.191444,5,2.800255
-7.0,7,2.805092
-3.761075,6,2.809528
-2.435406,5,2.813447
-34.134333,35,2.836241
-6.976491,10,2.842885
-2.460948,6,2.847626
13.307435,5,2.851531
43.179859,5,2.855405
-50.248646,100,2.915285
25.4025,6,2.919516
26.4025,5,2.926304
64.369045,5,2.930156
42.589889,5,2.93384
7.579499,5,2.93735
-100.0,100,2.994811
13.178316,5,2.998538
60.689873,5,3.002188
-3.570252,5,3.005684
50.413538,5,3.00936
22.900654,5,3.013006
-100.0,100,3.070664
21.31153,5,3.074329
14.510091,5,3.078107
82.004286,5,3.081701
-2.785741,6,3.086042
10.607907,5,3.089774
0.525769,5,3.093283
26.02213,5,3.096829
39.223416,5,3.100542
-2.182271,6,3.104968
4.100787,5,3.108472
73.838992,5,3.112163
14.274941,5,3.115742
17.100125,5,3.119358
-0.063748,6,3.12358
26.192676,5,3.12719
5.154913,5,3.130871
17.063631,5,3.13438
-1.754032,5,3.137916
6.56074,5,3.141608
18.051249,5,3.145232
13.307435,5,3.148865
11.38456,5,3.152399
-0.418367,5,3.156084
43.603873,5,3.159633
36.952375,5,3.163186
-2.780863,5,3.168609
-2.136472,5,3.172155
-1.513524,5,3.175796
-4.327508,7,3.18048
-26.0,26,3.196102
35.034996,5,3.199869
7.757065,5,3.203499
35.034996,5,3.207114
-2.977312,5,3.210747
-10.043528,12,3.218291
24.257583,7,3.223094
-2.390259,5,3.226758
28.175141,5,3.23034
-2.731905,5,3.234135
30.24427,5,3.237989
-2.044502,5,3.241636
37.001067,5,3.245656
73.22461,5,3.24926
29.251742,8,3.254928
11.569789,5,3.258703
-100.0,100,3.316179
-100.0,100,3.374402
-1.073849,5,3.378249
52.988149,5,3.381847
13.307435,5,3.385539
-8.244172,9,3.391301
1.72717,5,3.39491
22.000912,5,3.398612
-100.0,100,3.456235
5.154913,5,3.459831
-1.827416,5,3.463473
-1.381771,5,3.467156
38.59525,5,3.470654
-2.575164,7,3.47549
23.927261,5,3.479185
-2.352252,6,3.483633
-3.206207,5,3.487252
-2.136154,6,3.491752
54.498346,5,3.495293
38.59525,5,3.49896
8.373373,6,3.506992
19.890733,5,3.510774
26.833193,5,3.514347
-1.880231,8,3.519584
32.407352,5,3.523286
-2.53706,5,3.526848
-1.201305,5,3.530544
2.675259,5,3.534166
-99.0,99,4.448802
73.795381,5,4.452605
-2.182271,6,4.457175
7.967586,5,4.460734
0.525769,5,4.464404
13.088577,5,4.468061
21.370028,5,4.471702
32.838922,5,4.475323
5.469697,6,4.479383
4.440883,5,4.482918
27.844127,5,4.486593
-5.622259,7,4.491302
32.347539,6,4.495843
87.778126,5,4.499577
54.856753,6,4.503905
19.733873,5,4.507676
11.978955,5,4.51127
58.85916,5,4.514939
5.84039,5,4.51863
-100.0,100,4.577892
3.6546,7,4.582602
